Train Epoch: [1/30] Iters:[170/468] gen_loss -0.8892, rec_loss 0.0174, lpips_loss 0.1963, g_loss -0.0910, disc_weight 0.4000, disc_adaptive_weight 12.2277, d_loss 0.7036, logits_real 0.0440, logits_fake 0.0920,
Train Epoch: [1/30] Iters:[180/468] gen_loss -0.8765, rec_loss 0.0182, lpips_loss 0.2024, g_loss -0.0895, disc_weight 0.4000, disc_adaptive_weight 12.3920, d_loss 0.6839, logits_real 0.0427, logits_fake 0.0901,
Train Epoch: [1/30] Iters:[190/468] gen_loss -0.8439, rec_loss 0.0192, lpips_loss 0.2071, g_loss -0.0868, disc_weight 0.4000, disc_adaptive_weight 12.4284, d_loss 0.6660, logits_real 0.0413, logits_fake 0.0875,
Train Epoch: [1/30] Iters:[200/468] gen_loss -0.8327, rec_loss 0.0198, lpips_loss 0.2106, g_loss -0.0838, disc_weight 0.4000, disc_adaptive_weight 12.7515, d_loss 0.6497, logits_real 0.0396, logits_fake 0.0846,
Train Epoch: [1/30] Iters:[210/468] gen_loss -0.7321, rec_loss 0.0204, lpips_loss 0.2134, g_loss -0.0812, disc_weight 0.4000, disc_adaptive_weight 11.8699, d_loss 0.6365, logits_real 0.0384, logits_fake 0.0826,
Train Epoch: [1/30] Iters:[220/468] gen_loss -0.5364, rec_loss 0.0203, lpips_loss 0.2110, g_loss -0.0767, disc_weight 0.4000, disc_adaptive_weight 9.8248, d_loss 0.6225, logits_real 0.0368, logits_fake 0.0776,
Train Epoch: [1/30] Iters:[230/468] gen_loss -0.3803, rec_loss 0.0197, lpips_loss 0.2045, g_loss -0.0702, disc_weight 0.4000, disc_adaptive_weight 8.2592, d_loss 0.6091, logits_real 0.0350, logits_fake 0.0707,
Train Epoch: [1/30] Iters:[240/468] gen_loss -0.2197, rec_loss 0.0186, lpips_loss 0.1964, g_loss -0.0637, disc_weight 0.4000, disc_adaptive_weight 6.4429, d_loss 0.5975, logits_real 0.0335, logits_fake 0.0644,
Train Epoch: [1/30] Iters:[250/468] gen_loss -0.0945, rec_loss 0.0176, lpips_loss 0.1891, g_loss -0.0576, disc_weight 0.4000, disc_adaptive_weight 4.9815, d_loss 0.5872, logits_real 0.0321, logits_fake 0.0578,
Train Epoch: [1/30] Iters:[260/468] gen_loss -0.0185, rec_loss 0.0166, lpips_loss 0.1820, g_loss -0.0517, disc_weight 0.4000, disc_adaptive_weight 4.1092, d_loss 0.5777, logits_real 0.0306, logits_fake 0.0519,
Train Epoch: [1/30] Iters:[270/468] gen_loss 0.0160, rec_loss 0.0159, lpips_loss 0.1772, g_loss -0.0475, disc_weight 0.4000, disc_adaptive_weight 3.7087, d_loss 0.5701, logits_real 0.0293, logits_fake 0.0479,
Train Epoch: [1/30] Iters:[280/468] gen_loss 0.0425, rec_loss 0.0156, lpips_loss 0.1747, g_loss -0.0445, disc_weight 0.4000, disc_adaptive_weight 3.3229, d_loss 0.5634, logits_real 0.0280, logits_fake 0.0449,
Train Epoch: [1/30] Iters:[290/468] gen_loss 0.0453, rec_loss 0.0152, lpips_loss 0.1720, g_loss -0.0421, disc_weight 0.4000, disc_adaptive_weight 3.3751, d_loss 0.5559, logits_real 0.0266, logits_fake 0.0419,
Train Epoch: [1/30] Iters:[300/468] gen_loss 0.0433, rec_loss 0.0148, lpips_loss 0.1698, g_loss -0.0405, disc_weight 0.4000, disc_adaptive_weight 3.5147, d_loss 0.5497, logits_real 0.0253, logits_fake 0.0402,
Train Epoch: [1/30] Iters:[310/468] gen_loss 0.0355, rec_loss 0.0146, lpips_loss 0.1688, g_loss -0.0394, disc_weight 0.4000, disc_adaptive_weight 3.8092, d_loss 0.5435, logits_real 0.0240, logits_fake 0.0389,
Train Epoch: [1/30] Iters:[320/468] gen_loss 0.0397, rec_loss 0.0146, lpips_loss 0.1682, g_loss -0.0382, disc_weight 0.4000, disc_adaptive_weight 3.7827, d_loss 0.5381, logits_real 0.0226, logits_fake 0.0375,
Train Epoch: [1/30] Iters:[330/468] gen_loss 0.0375, rec_loss 0.0144, lpips_loss 0.1678, g_loss -0.0369, disc_weight 0.4000, disc_adaptive_weight 3.9418, d_loss 0.5323, logits_real 0.0214, logits_fake 0.0361,
Train Epoch: [1/30] Iters:[340/468] gen_loss 0.0386, rec_loss 0.0144, lpips_loss 0.1682, g_loss -0.0353, disc_weight 0.4000, disc_adaptive_weight 4.0973, d_loss 0.5273, logits_real 0.0201, logits_fake 0.0345,
Train Epoch: [1/30] Iters:[350/468] gen_loss 0.0552, rec_loss 0.0146, lpips_loss 0.1690, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 3.8349, d_loss 0.5227, logits_real 0.0189, logits_fake 0.0328,
