Train Epoch: [1/30] Iters:[170/468] gen_loss 0.6400, rec_loss 0.0530, lpips_loss 0.3319, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 6.4714, d_loss 0.7439, logits_real -0.0034, logits_fake -0.0386,
Train Epoch: [1/30] Iters:[180/468] gen_loss 0.5247, rec_loss 0.0454, lpips_loss 0.3000, g_loss 0.0300, disc_weight 0.4000, disc_adaptive_weight 5.7654, d_loss 0.7179, logits_real -0.0017, logits_fake -0.0307,
Train Epoch: [1/30] Iters:[190/468] gen_loss 0.4509, rec_loss 0.0401, lpips_loss 0.2784, g_loss 0.0226, disc_weight 0.4000, disc_adaptive_weight 5.5833, d_loss 0.6945, logits_real 0.0002, logits_fake -0.0229,
Train Epoch: [1/30] Iters:[200/468] gen_loss 0.3844, rec_loss 0.0368, lpips_loss 0.2633, g_loss 0.0153, disc_weight 0.4000, disc_adaptive_weight 5.3911, d_loss 0.6751, logits_real 0.0017, logits_fake -0.0158,
Train Epoch: [1/30] Iters:[210/468] gen_loss 0.3354, rec_loss 0.0341, lpips_loss 0.2522, g_loss 0.0093, disc_weight 0.4000, disc_adaptive_weight 4.9865, d_loss 0.6580, logits_real 0.0028, logits_fake -0.0102,
Train Epoch: [1/30] Iters:[220/468] gen_loss 0.2915, rec_loss 0.0316, lpips_loss 0.2408, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.5594, d_loss 0.6418, logits_real 0.0043, logits_fake -0.0044,
Train Epoch: [1/30] Iters:[230/468] gen_loss 0.2628, rec_loss 0.0293, lpips_loss 0.2320, g_loss -0.0005, disc_weight 0.4000, disc_adaptive_weight 4.4304, d_loss 0.6271, logits_real 0.0056, logits_fake 0.0004,
Train Epoch: [1/30] Iters:[240/468] gen_loss 0.2397, rec_loss 0.0279, lpips_loss 0.2259, g_loss -0.0039, disc_weight 0.4000, disc_adaptive_weight 4.0629, d_loss 0.6151, logits_real 0.0065, logits_fake 0.0037,
Train Epoch: [1/30] Iters:[250/468] gen_loss 0.2268, rec_loss 0.0268, lpips_loss 0.2227, g_loss -0.0061, disc_weight 0.4000, disc_adaptive_weight 3.7329, d_loss 0.6040, logits_real 0.0073, logits_fake 0.0059,
Train Epoch: [1/30] Iters:[260/468] gen_loss 0.2154, rec_loss 0.0262, lpips_loss 0.2203, g_loss -0.0083, disc_weight 0.4000, disc_adaptive_weight 3.7049, d_loss 0.5935, logits_real 0.0083, logits_fake 0.0081,
Train Epoch: [1/30] Iters:[270/468] gen_loss 0.2085, rec_loss 0.0263, lpips_loss 0.2194, g_loss -0.0103, disc_weight 0.4000, disc_adaptive_weight 3.6423, d_loss 0.5853, logits_real 0.0090, logits_fake 0.0102,
Train Epoch: [1/30] Iters:[280/468] gen_loss 0.2017, rec_loss 0.0266, lpips_loss 0.2195, g_loss -0.0118, disc_weight 0.4000, disc_adaptive_weight 3.7739, d_loss 0.5784, logits_real 0.0098, logits_fake 0.0119,
Train Epoch: [1/30] Iters:[290/468] gen_loss 0.1961, rec_loss 0.0267, lpips_loss 0.2190, g_loss -0.0131, disc_weight 0.4000, disc_adaptive_weight 3.8062, d_loss 0.5705, logits_real 0.0106, logits_fake 0.0132,
Train Epoch: [1/30] Iters:[300/468] gen_loss 0.1877, rec_loss 0.0265, lpips_loss 0.2176, g_loss -0.0144, disc_weight 0.4000, disc_adaptive_weight 3.8845, d_loss 0.5635, logits_real 0.0114, logits_fake 0.0142,
Train Epoch: [1/30] Iters:[310/468] gen_loss 0.1818, rec_loss 0.0259, lpips_loss 0.2162, g_loss -0.0153, disc_weight 0.4000, disc_adaptive_weight 3.9328, d_loss 0.5563, logits_real 0.0121, logits_fake 0.0153,
Train Epoch: [1/30] Iters:[320/468] gen_loss 0.1766, rec_loss 0.0248, lpips_loss 0.2146, g_loss -0.0160, disc_weight 0.4000, disc_adaptive_weight 3.9328, d_loss 0.5490, logits_real 0.0128, logits_fake 0.0164,
