Train Epoch: [1/30] Iters:[170/468] gen_loss -0.4848, rec_loss 0.0182, lpips_loss 0.1827, g_loss -0.0644, disc_weight 0.4000, disc_adaptive_weight 10.7224, d_loss 0.7028, logits_real 0.0562, logits_fake 0.0642,
Train Epoch: [1/30] Iters:[180/468] gen_loss -0.4674, rec_loss 0.0189, lpips_loss 0.1862, g_loss -0.0616, disc_weight 0.4000, disc_adaptive_weight 11.1272, d_loss 0.6830, logits_real 0.0564, logits_fake 0.0615,
Train Epoch: [1/30] Iters:[190/468] gen_loss -0.3872, rec_loss 0.0199, lpips_loss 0.1922, g_loss -0.0576, disc_weight 0.4000, disc_adaptive_weight 10.6659, d_loss 0.6660, logits_real 0.0565, logits_fake 0.0573,
Train Epoch: [1/30] Iters:[200/468] gen_loss -0.3105, rec_loss 0.0204, lpips_loss 0.1964, g_loss -0.0519, disc_weight 0.4000, disc_adaptive_weight 10.3730, d_loss 0.6499, logits_real 0.0566, logits_fake 0.0516,
Train Epoch: [1/30] Iters:[210/468] gen_loss -0.2977, rec_loss 0.0206, lpips_loss 0.1982, g_loss -0.0495, disc_weight 0.4000, disc_adaptive_weight 10.5584, d_loss 0.6367, logits_real 0.0570, logits_fake 0.0492,
Train Epoch: [1/30] Iters:[220/468] gen_loss -0.3096, rec_loss 0.0201, lpips_loss 0.1952, g_loss -0.0515, disc_weight 0.4000, disc_adaptive_weight 10.3263, d_loss 0.6233, logits_real 0.0571, logits_fake 0.0514,
Train Epoch: [1/30] Iters:[230/468] gen_loss -0.2538, rec_loss 0.0188, lpips_loss 0.1870, g_loss -0.0550, disc_weight 0.4000, disc_adaptive_weight 8.5204, d_loss 0.6120, logits_real 0.0573, logits_fake 0.0546,
Train Epoch: [1/30] Iters:[240/468] gen_loss -0.2246, rec_loss 0.0170, lpips_loss 0.1762, g_loss -0.0567, disc_weight 0.4000, disc_adaptive_weight 7.4866, d_loss 0.6013, logits_real 0.0575, logits_fake 0.0564,
Train Epoch: [1/30] Iters:[250/468] gen_loss -0.2082, rec_loss 0.0161, lpips_loss 0.1697, g_loss -0.0577, disc_weight 0.4000, disc_adaptive_weight 6.8725, d_loss 0.5923, logits_real 0.0576, logits_fake 0.0578,
Train Epoch: [1/30] Iters:[260/468] gen_loss -0.1947, rec_loss 0.0158, lpips_loss 0.1681, g_loss -0.0571, disc_weight 0.4000, disc_adaptive_weight 6.6743, d_loss 0.5824, logits_real 0.0576, logits_fake 0.0570,
Train Epoch: [1/30] Iters:[270/468] gen_loss -0.1863, rec_loss 0.0160, lpips_loss 0.1691, g_loss -0.0555, disc_weight 0.4000, disc_adaptive_weight 6.8009, d_loss 0.5746, logits_real 0.0578, logits_fake 0.0553,
Train Epoch: [1/30] Iters:[280/468] gen_loss -0.2138, rec_loss 0.0165, lpips_loss 0.1702, g_loss -0.0550, disc_weight 0.4000, disc_adaptive_weight 7.3254, d_loss 0.5676, logits_real 0.0579, logits_fake 0.0549,
Train Epoch: [1/30] Iters:[290/468] gen_loss -0.2181, rec_loss 0.0164, lpips_loss 0.1694, g_loss -0.0559, disc_weight 0.4000, disc_adaptive_weight 7.3006, d_loss 0.5605, logits_real 0.0580, logits_fake 0.0558,
Train Epoch: [1/30] Iters:[300/468] gen_loss -0.2252, rec_loss 0.0156, lpips_loss 0.1655, g_loss -0.0574, disc_weight 0.4000, disc_adaptive_weight 7.1908, d_loss 0.5531, logits_real 0.0578, logits_fake 0.0572,
Train Epoch: [1/30] Iters:[310/468] gen_loss -0.2003, rec_loss 0.0144, lpips_loss 0.1593, g_loss -0.0592, disc_weight 0.4000, disc_adaptive_weight 6.4107, d_loss 0.5469, logits_real 0.0576, logits_fake 0.0594,
Train Epoch: [1/30] Iters:[320/468] gen_loss -0.1611, rec_loss 0.0132, lpips_loss 0.1529, g_loss -0.0607, disc_weight 0.4000, disc_adaptive_weight 5.4074, d_loss 0.5411, logits_real 0.0573, logits_fake 0.0610,
Train Epoch: [1/30] Iters:[330/468] gen_loss -0.1405, rec_loss 0.0120, lpips_loss 0.1483, g_loss -0.0610, disc_weight 0.4000, disc_adaptive_weight 4.9475, d_loss 0.5347, logits_real 0.0569, logits_fake 0.0612,
Train Epoch: [1/30] Iters:[340/468] gen_loss -0.1372, rec_loss 0.0114, lpips_loss 0.1457, g_loss -0.0608, disc_weight 0.4000, disc_adaptive_weight 4.8562, d_loss 0.5292, logits_real 0.0564, logits_fake 0.0607,
Train Epoch: [1/30] Iters:[350/468] gen_loss -0.1240, rec_loss 0.0112, lpips_loss 0.1442, g_loss -0.0607, disc_weight 0.4000, disc_adaptive_weight 4.6171, d_loss 0.5244, logits_real 0.0561, logits_fake 0.0604,
Train Epoch: [1/30] Iters:[360/468] gen_loss -0.1152, rec_loss 0.0109, lpips_loss 0.1431, g_loss -0.0600, disc_weight 0.4000, disc_adaptive_weight 4.4928, d_loss 0.5193, logits_real 0.0556, logits_fake 0.0594,
Train Epoch: [1/30] Iters:[370/468] gen_loss -0.1371, rec_loss 0.0110, lpips_loss 0.1432, g_loss -0.0589, disc_weight 0.4000, disc_adaptive_weight 4.9804, d_loss 0.5145, logits_real 0.0552, logits_fake 0.0584,
Train Epoch: [1/30] Iters:[380/468] gen_loss -0.1338, rec_loss 0.0111, lpips_loss 0.1430, g_loss -0.0581, disc_weight 0.4000, disc_adaptive_weight 4.9936, d_loss 0.5103, logits_real 0.0547, logits_fake 0.0578,
Train Epoch: [1/30] Iters:[390/468] gen_loss -0.1285, rec_loss 0.0110, lpips_loss 0.1424, g_loss -0.0572, disc_weight 0.4000, disc_adaptive_weight 4.9617, d_loss 0.5061, logits_real 0.0542, logits_fake 0.0571,
Train Epoch: [1/30] Iters:[400/468] gen_loss -0.1297, rec_loss 0.0109, lpips_loss 0.1419, g_loss -0.0565, disc_weight 0.4000, disc_adaptive_weight 5.0206, d_loss 0.5018, logits_real 0.0537, logits_fake 0.0565,
Train Epoch: [1/30] Iters:[410/468] gen_loss -0.1302, rec_loss 0.0109, lpips_loss 0.1415, g_loss -0.0565, disc_weight 0.4000, disc_adaptive_weight 5.0206, d_loss 0.4984, logits_real 0.0532, logits_fake 0.0567,
Train Epoch: [1/30] Iters:[420/468] gen_loss -0.0919, rec_loss 0.0108, lpips_loss 0.1409, g_loss -0.0565, disc_weight 0.4000, disc_adaptive_weight 4.3118, d_loss 0.4950, logits_real 0.0527, logits_fake 0.0566,
Train Epoch: [1/30] Iters:[430/468] gen_loss -0.0788, rec_loss 0.0107, lpips_loss 0.1401, g_loss -0.0561, disc_weight 0.4000, disc_adaptive_weight 4.0887, d_loss 0.4918, logits_real 0.0526, logits_fake 0.0562,
Train Epoch: [1/30] Iters:[440/468] gen_loss -0.0752, rec_loss 0.0107, lpips_loss 0.1402, g_loss -0.0555, disc_weight 0.4000, disc_adaptive_weight 4.0727, d_loss 0.4885, logits_real 0.0523, logits_fake 0.0557,
Train Epoch: [1/30] Iters:[450/468] gen_loss -0.0743, rec_loss 0.0106, lpips_loss 0.1399, g_loss -0.0548, disc_weight 0.4000, disc_adaptive_weight 4.1095, d_loss 0.4857, logits_real 0.0520, logits_fake 0.0554,
Train Epoch: [1/30] Iters:[460/468] gen_loss -0.0783, rec_loss 0.0106, lpips_loss 0.1400, g_loss -0.0544, disc_weight 0.4000, disc_adaptive_weight 4.2129, d_loss 0.4829, logits_real 0.0518, logits_fake 0.0549,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss -0.1421, rec_loss 0.0106, lpips_loss 0.1412, g_loss -0.0549, disc_weight 0.4000, disc_adaptive_weight 5.3717, d_loss 0.4733, logits_real 0.0507, logits_fake 0.0560,
Train Epoch: [2/30] Iters:[20/468] gen_loss -0.1824, rec_loss 0.0108, lpips_loss 0.1420, g_loss -0.0551, disc_weight 0.4000, disc_adaptive_weight 6.0893, d_loss 0.4718, logits_real 0.0507, logits_fake 0.0554,
Train Epoch: [2/30] Iters:[30/468] gen_loss -0.1583, rec_loss 0.0109, lpips_loss 0.1421, g_loss -0.0550, disc_weight 0.4000, disc_adaptive_weight 5.6675, d_loss 0.4712, logits_real 0.0503, logits_fake 0.0557,
Train Epoch: [2/30] Iters:[40/468] gen_loss -0.1713, rec_loss 0.0108, lpips_loss 0.1418, g_loss -0.0550, disc_weight 0.4000, disc_adaptive_weight 5.8928, d_loss 0.4696, logits_real 0.0503, logits_fake 0.0553,
Train Epoch: [2/30] Iters:[50/468] gen_loss -0.1674, rec_loss 0.0108, lpips_loss 0.1415, g_loss -0.0549, disc_weight 0.4000, disc_adaptive_weight 5.8261, d_loss 0.4681, logits_real 0.0502, logits_fake 0.0553,
Train Epoch: [2/30] Iters:[60/468] gen_loss -0.1563, rec_loss 0.0108, lpips_loss 0.1416, g_loss -0.0549, disc_weight 0.4000, disc_adaptive_weight 5.6248, d_loss 0.4656, logits_real 0.0499, logits_fake 0.0552,
Train Epoch: [2/30] Iters:[70/468] gen_loss -0.1367, rec_loss 0.0108, lpips_loss 0.1415, g_loss -0.0548, disc_weight 0.4000, disc_adaptive_weight 5.2798, d_loss 0.4635, logits_real 0.0495, logits_fake 0.0551,
Train Epoch: [2/30] Iters:[80/468] gen_loss -0.1356, rec_loss 0.0106, lpips_loss 0.1412, g_loss -0.0548, disc_weight 0.4000, disc_adaptive_weight 5.2545, d_loss 0.4611, logits_real 0.0494, logits_fake 0.0547,
Train Epoch: [2/30] Iters:[90/468] gen_loss -0.1156, rec_loss 0.0105, lpips_loss 0.1406, g_loss -0.0545, disc_weight 0.4000, disc_adaptive_weight 4.8975, d_loss 0.4591, logits_real 0.0491, logits_fake 0.0547,
Train Epoch: [2/30] Iters:[100/468] gen_loss -0.1037, rec_loss 0.0105, lpips_loss 0.1402, g_loss -0.0545, disc_weight 0.4000, disc_adaptive_weight 4.6768, d_loss 0.4574, logits_real 0.0489, logits_fake 0.0544,
Train Epoch: [2/30] Iters:[110/468] gen_loss -0.0976, rec_loss 0.0104, lpips_loss 0.1399, g_loss -0.0542, disc_weight 0.4000, disc_adaptive_weight 4.5710, d_loss 0.4556, logits_real 0.0488, logits_fake 0.0539,
Train Epoch: [2/30] Iters:[120/468] gen_loss -0.0905, rec_loss 0.0104, lpips_loss 0.1392, g_loss -0.0539, disc_weight 0.4000, disc_adaptive_weight 4.4601, d_loss 0.4539, logits_real 0.0487, logits_fake 0.0539,
Train Epoch: [2/30] Iters:[130/468] gen_loss -0.0921, rec_loss 0.0104, lpips_loss 0.1388, g_loss -0.0536, disc_weight 0.4000, disc_adaptive_weight 4.5128, d_loss 0.4521, logits_real 0.0485, logits_fake 0.0538,
Train Epoch: [2/30] Iters:[140/468] gen_loss -0.0876, rec_loss 0.0104, lpips_loss 0.1393, g_loss -0.0533, disc_weight 0.4000, disc_adaptive_weight 4.4627, d_loss 0.4506, logits_real 0.0483, logits_fake 0.0535,
