Train Epoch: [1/30] Iters:[170/468] gen_loss 0.8633, rec_loss 0.1710, lpips_loss 0.2884, g_loss 0.1756, disc_weight 0.4000, disc_adaptive_weight 2.3308, d_loss 0.9016, logits_real -0.2669, logits_fake -0.1777,
Train Epoch: [1/30] Iters:[180/468] gen_loss 0.7932, rec_loss 0.1569, lpips_loss 0.2768, g_loss 0.1706, disc_weight 0.4000, disc_adaptive_weight 2.1336, d_loss 0.8763, logits_real -0.2541, logits_fake -0.1712,
Train Epoch: [1/30] Iters:[190/468] gen_loss 0.7297, rec_loss 0.1413, lpips_loss 0.2686, g_loss 0.1703, disc_weight 0.4000, disc_adaptive_weight 1.9097, d_loss 0.8522, logits_real -0.2415, logits_fake -0.1713,
Train Epoch: [1/30] Iters:[200/468] gen_loss 0.6831, rec_loss 0.1267, lpips_loss 0.2599, g_loss 0.1713, disc_weight 0.4000, disc_adaptive_weight 1.7676, d_loss 0.8293, logits_real -0.2295, logits_fake -0.1712,
Train Epoch: [1/30] Iters:[210/468] gen_loss 0.6435, rec_loss 0.1185, lpips_loss 0.2525, g_loss 0.1702, disc_weight 0.4000, disc_adaptive_weight 1.6293, d_loss 0.8098, logits_real -0.2181, logits_fake -0.1698,
Train Epoch: [1/30] Iters:[220/468] gen_loss 0.6155, rec_loss 0.0976, lpips_loss 0.2427, g_loss 0.1752, disc_weight 0.4000, disc_adaptive_weight 1.5921, d_loss 0.7835, logits_real -0.2070, logits_fake -0.1735,
Train Epoch: [1/30] Iters:[230/468] gen_loss 0.6103, rec_loss 0.0843, lpips_loss 0.2362, g_loss 0.1796, disc_weight 0.4000, disc_adaptive_weight 1.6297, d_loss 0.7682, logits_real -0.1976, logits_fake -0.1790,
Train Epoch: [1/30] Iters:[240/468] gen_loss 0.5865, rec_loss 0.0741, lpips_loss 0.2302, g_loss 0.1807, disc_weight 0.4000, disc_adaptive_weight 1.5702, d_loss 0.7544, logits_real -0.1894, logits_fake -0.1790,
Train Epoch: [1/30] Iters:[250/468] gen_loss 0.6072, rec_loss 0.0619, lpips_loss 0.2250, g_loss 0.1826, disc_weight 0.4000, disc_adaptive_weight 1.7546, d_loss 0.7335, logits_real -0.1820, logits_fake -0.1818,
Train Epoch: [1/30] Iters:[260/468] gen_loss 0.8163, rec_loss 0.0406, lpips_loss 0.2176, g_loss 0.1887, disc_weight 0.4000, disc_adaptive_weight 2.9429, d_loss 0.7083, logits_real -0.1759, logits_fake -0.1883,
Train Epoch: [1/30] Iters:[270/468] gen_loss 0.9885, rec_loss 0.0384, lpips_loss 0.2141, g_loss 0.1857, disc_weight 0.4000, disc_adaptive_weight 3.9626, d_loss 0.6957, logits_real -0.1722, logits_fake -0.1853,
Train Epoch: [1/30] Iters:[280/468] gen_loss 1.0570, rec_loss 0.0279, lpips_loss 0.2082, g_loss 0.1827, disc_weight 0.4000, disc_adaptive_weight 4.4927, d_loss 0.6745, logits_real -0.1691, logits_fake -0.1831,
Train Epoch: [1/30] Iters:[290/468] gen_loss 1.1852, rec_loss 0.0210, lpips_loss 0.2019, g_loss 0.1796, disc_weight 0.4000, disc_adaptive_weight 5.3556, d_loss 0.6534, logits_real -0.1668, logits_fake -0.1803,
Train Epoch: [1/30] Iters:[300/468] gen_loss 1.2390, rec_loss 0.0194, lpips_loss 0.1971, g_loss 0.1754, disc_weight 0.4000, disc_adaptive_weight 5.7709, d_loss 0.6418, logits_real -0.1659, logits_fake -0.1759,
Train Epoch: [1/30] Iters:[310/468] gen_loss 1.0835, rec_loss 0.0197, lpips_loss 0.1937, g_loss 0.1704, disc_weight 0.4000, disc_adaptive_weight 5.0817, d_loss 0.6329, logits_real -0.1654, logits_fake -0.1704,
Train Epoch: [1/30] Iters:[320/468] gen_loss 0.9460, rec_loss 0.0203, lpips_loss 0.1910, g_loss 0.1676, disc_weight 0.4000, disc_adaptive_weight 4.3739, d_loss 0.6244, logits_real -0.1651, logits_fake -0.1674,
Train Epoch: [1/30] Iters:[330/468] gen_loss 0.9131, rec_loss 0.0203, lpips_loss 0.1895, g_loss 0.1673, disc_weight 0.4000, disc_adaptive_weight 4.1975, d_loss 0.6136, logits_real -0.1651, logits_fake -0.1667,
Train Epoch: [1/30] Iters:[340/468] gen_loss 0.8926, rec_loss 0.0204, lpips_loss 0.1887, g_loss 0.1669, disc_weight 0.4000, disc_adaptive_weight 4.0910, d_loss 0.6044, logits_real -0.1649, logits_fake -0.1662,
Train Epoch: [1/30] Iters:[350/468] gen_loss 0.8861, rec_loss 0.0209, lpips_loss 0.1891, g_loss 0.1657, disc_weight 0.4000, disc_adaptive_weight 4.0778, d_loss 0.5955, logits_real -0.1644, logits_fake -0.1652,
Train Epoch: [1/30] Iters:[360/468] gen_loss 0.8593, rec_loss 0.0207, lpips_loss 0.1883, g_loss 0.1648, disc_weight 0.4000, disc_adaptive_weight 3.9414, d_loss 0.5873, logits_real -0.1641, logits_fake -0.1645,
Train Epoch: [1/30] Iters:[370/468] gen_loss 0.8502, rec_loss 0.0201, lpips_loss 0.1873, g_loss 0.1634, disc_weight 0.4000, disc_adaptive_weight 3.9242, d_loss 0.5782, logits_real -0.1634, logits_fake -0.1634,
Train Epoch: [1/30] Iters:[380/468] gen_loss 0.8425, rec_loss 0.0200, lpips_loss 0.1862, g_loss 0.1613, disc_weight 0.4000, disc_adaptive_weight 3.9338, d_loss 0.5708, logits_real -0.1623, logits_fake -0.1615,
Train Epoch: [1/30] Iters:[390/468] gen_loss 0.8222, rec_loss 0.0194, lpips_loss 0.1847, g_loss 0.1593, disc_weight 0.4000, disc_adaptive_weight 3.8811, d_loss 0.5636, logits_real -0.1613, logits_fake -0.1595,
Train Epoch: [1/30] Iters:[400/468] gen_loss 0.8212, rec_loss 0.0186, lpips_loss 0.1827, g_loss 0.1579, disc_weight 0.4000, disc_adaptive_weight 3.9330, d_loss 0.5561, logits_real -0.1605, logits_fake -0.1581,
Train Epoch: [1/30] Iters:[410/468] gen_loss 0.8407, rec_loss 0.0190, lpips_loss 0.1832, g_loss 0.1562, disc_weight 0.4000, disc_adaptive_weight 4.0949, d_loss 0.5503, logits_real -0.1592, logits_fake -0.1564,
Train Epoch: [1/30] Iters:[420/468] gen_loss 0.9301, rec_loss 0.0202, lpips_loss 0.1855, g_loss 0.1556, disc_weight 0.4000, disc_adaptive_weight 4.6600, d_loss 0.5460, logits_real -0.1580, logits_fake -0.1553,
Train Epoch: [1/30] Iters:[430/468] gen_loss 0.9664, rec_loss 0.0212, lpips_loss 0.1872, g_loss 0.1541, disc_weight 0.4000, disc_adaptive_weight 4.9171, d_loss 0.5418, logits_real -0.1570, logits_fake -0.1540,
Train Epoch: [1/30] Iters:[440/468] gen_loss 0.9864, rec_loss 0.0215, lpips_loss 0.1885, g_loss 0.1530, disc_weight 0.4000, disc_adaptive_weight 5.0738, d_loss 0.5360, logits_real -0.1558, logits_fake -0.1530,
Train Epoch: [1/30] Iters:[450/468] gen_loss 1.0446, rec_loss 0.0220, lpips_loss 0.1894, g_loss 0.1508, disc_weight 0.4000, disc_adaptive_weight 5.5316, d_loss 0.5320, logits_real -0.1545, logits_fake -0.1509,
Train Epoch: [1/30] Iters:[460/468] gen_loss 1.0532, rec_loss 0.0216, lpips_loss 0.1896, g_loss 0.1492, disc_weight 0.4000, disc_adaptive_weight 5.6441, d_loss 0.5264, logits_real -0.1535, logits_fake -0.1491,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.8846, rec_loss 0.0187, lpips_loss 0.1857, g_loss 0.1444, disc_weight 0.4000, disc_adaptive_weight 4.7078, d_loss 0.5064, logits_real -0.1489, logits_fake -0.1450,
Train Epoch: [2/30] Iters:[20/468] gen_loss 1.0285, rec_loss 0.0193, lpips_loss 0.1861, g_loss 0.1435, disc_weight 0.4000, disc_adaptive_weight 5.7330, d_loss 0.5054, logits_real -0.1484, logits_fake -0.1438,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.9490, rec_loss 0.0192, lpips_loss 0.1856, g_loss 0.1420, disc_weight 0.4000, disc_adaptive_weight 5.2273, d_loss 0.5039, logits_real -0.1478, logits_fake -0.1428,
Train Epoch: [2/30] Iters:[40/468] gen_loss 0.9286, rec_loss 0.0187, lpips_loss 0.1843, g_loss 0.1415, disc_weight 0.4000, disc_adaptive_weight 5.1185, d_loss 0.5018, logits_real -0.1476, logits_fake -0.1420,
Train Epoch: [2/30] Iters:[50/468] gen_loss 0.9101, rec_loss 0.0184, lpips_loss 0.1835, g_loss 0.1411, disc_weight 0.4000, disc_adaptive_weight 5.0077, d_loss 0.5002, logits_real -0.1471, logits_fake -0.1415,
Train Epoch: [2/30] Iters:[60/468] gen_loss 0.8964, rec_loss 0.0181, lpips_loss 0.1825, g_loss 0.1397, disc_weight 0.4000, disc_adaptive_weight 4.9659, d_loss 0.4965, logits_real -0.1464, logits_fake -0.1401,
Train Epoch: [2/30] Iters:[70/468] gen_loss 0.8145, rec_loss 0.0173, lpips_loss 0.1815, g_loss 0.1386, disc_weight 0.4000, disc_adaptive_weight 4.4360, d_loss 0.4928, logits_real -0.1458, logits_fake -0.1389,
Train Epoch: [2/30] Iters:[80/468] gen_loss 0.8733, rec_loss 0.0168, lpips_loss 0.1807, g_loss 0.1380, disc_weight 0.4000, disc_adaptive_weight 4.8954, d_loss 0.4892, logits_real -0.1451, logits_fake -0.1381,
Train Epoch: [2/30] Iters:[90/468] gen_loss 0.9049, rec_loss 0.0167, lpips_loss 0.1808, g_loss 0.1373, disc_weight 0.4000, disc_adaptive_weight 5.1557, d_loss 0.4861, logits_real -0.1445, logits_fake -0.1374,
Train Epoch: [2/30] Iters:[100/468] gen_loss 0.9521, rec_loss 0.0167, lpips_loss 0.1811, g_loss 0.1361, disc_weight 0.4000, disc_adaptive_weight 5.5466, d_loss 0.4831, logits_real -0.1438, logits_fake -0.1363,
Train Epoch: [2/30] Iters:[110/468] gen_loss 0.9664, rec_loss 0.0170, lpips_loss 0.1820, g_loss 0.1351, disc_weight 0.4000, disc_adaptive_weight 5.6807, d_loss 0.4807, logits_real -0.1431, logits_fake -0.1353,
Train Epoch: [2/30] Iters:[120/468] gen_loss 1.0161, rec_loss 0.0172, lpips_loss 0.1823, g_loss 0.1342, disc_weight 0.4000, disc_adaptive_weight 6.0782, d_loss 0.4780, logits_real -0.1423, logits_fake -0.1342,
Train Epoch: [2/30] Iters:[130/468] gen_loss 1.0283, rec_loss 0.0174, lpips_loss 0.1827, g_loss 0.1331, disc_weight 0.4000, disc_adaptive_weight 6.2179, d_loss 0.4756, logits_real -0.1415, logits_fake -0.1332,
Train Epoch: [2/30] Iters:[140/468] gen_loss 0.9785, rec_loss 0.0175, lpips_loss 0.1835, g_loss 0.1321, disc_weight 0.4000, disc_adaptive_weight 5.8775, d_loss 0.4732, logits_real -0.1406, logits_fake -0.1320,
Train Epoch: [2/30] Iters:[150/468] gen_loss 0.9426, rec_loss 0.0172, lpips_loss 0.1831, g_loss 0.1313, disc_weight 0.4000, disc_adaptive_weight 5.6426, d_loss 0.4703, logits_real -0.1400, logits_fake -0.1314,
Train Epoch: [2/30] Iters:[160/468] gen_loss 0.9388, rec_loss 0.0168, lpips_loss 0.1820, g_loss 0.1309, disc_weight 0.4000, disc_adaptive_weight 5.6442, d_loss 0.4674, logits_real -0.1392, logits_fake -0.1309,
Train Epoch: [2/30] Iters:[170/468] gen_loss 0.9069, rec_loss 0.0166, lpips_loss 0.1814, g_loss 0.1302, disc_weight 0.4000, disc_adaptive_weight 5.4379, d_loss 0.4652, logits_real -0.1385, logits_fake -0.1303,
Train Epoch: [2/30] Iters:[180/468] gen_loss 0.8484, rec_loss 0.0163, lpips_loss 0.1804, g_loss 0.1298, disc_weight 0.4000, disc_adaptive_weight 5.0130, d_loss 0.4629, logits_real -0.1379, logits_fake -0.1299,
Train Epoch: [2/30] Iters:[190/468] gen_loss 0.8317, rec_loss 0.0161, lpips_loss 0.1796, g_loss 0.1296, disc_weight 0.4000, disc_adaptive_weight 4.9001, d_loss 0.4606, logits_real -0.1373, logits_fake -0.1297,
Train Epoch: [2/30] Iters:[200/468] gen_loss 0.8398, rec_loss 0.0160, lpips_loss 0.1791, g_loss 0.1295, disc_weight 0.4000, disc_adaptive_weight 4.9735, d_loss 0.4588, logits_real -0.1366, logits_fake -0.1294,
Train Epoch: [2/30] Iters:[210/468] gen_loss 0.8386, rec_loss 0.0158, lpips_loss 0.1786, g_loss 0.1291, disc_weight 0.4000, disc_adaptive_weight 4.9854, d_loss 0.4569, logits_real -0.1361, logits_fake -0.1290,
Train Epoch: [2/30] Iters:[220/468] gen_loss 0.8734, rec_loss 0.0156, lpips_loss 0.1786, g_loss 0.1289, disc_weight 0.4000, disc_adaptive_weight 5.2656, d_loss 0.4551, logits_real -0.1356, logits_fake -0.1289,
Train Epoch: [2/30] Iters:[230/468] gen_loss 0.8830, rec_loss 0.0156, lpips_loss 0.1792, g_loss 0.1283, disc_weight 0.4000, disc_adaptive_weight 5.3652, d_loss 0.4534, logits_real -0.1349, logits_fake -0.1283,
Train Epoch: [2/30] Iters:[240/468] gen_loss 0.9157, rec_loss 0.0156, lpips_loss 0.1789, g_loss 0.1275, disc_weight 0.4000, disc_adaptive_weight 5.6547, d_loss 0.4519, logits_real -0.1341, logits_fake -0.1274,
Train Epoch: [2/30] Iters:[250/468] gen_loss 0.9125, rec_loss 0.0157, lpips_loss 0.1795, g_loss 0.1266, disc_weight 0.4000, disc_adaptive_weight 5.6612, d_loss 0.4505, logits_real -0.1334, logits_fake -0.1268,
Train Epoch: [2/30] Iters:[260/468] gen_loss 0.9243, rec_loss 0.0159, lpips_loss 0.1801, g_loss 0.1259, disc_weight 0.4000, disc_adaptive_weight 5.7849, d_loss 0.4492, logits_real -0.1328, logits_fake -0.1261,
Train Epoch: [2/30] Iters:[270/468] gen_loss 0.8761, rec_loss 0.0160, lpips_loss 0.1801, g_loss 0.1251, disc_weight 0.4000, disc_adaptive_weight 5.4354, d_loss 0.4477, logits_real -0.1320, logits_fake -0.1254,
Train Epoch: [2/30] Iters:[280/468] gen_loss 0.8721, rec_loss 0.0159, lpips_loss 0.1792, g_loss 0.1249, disc_weight 0.4000, disc_adaptive_weight 5.4215, d_loss 0.4463, logits_real -0.1316, logits_fake -0.1252,
