Train Epoch: [1/30] Iters:[170/468] gen_loss 0.0121, rec_loss 0.0189, lpips_loss 0.1448, g_loss -0.0619, disc_weight 0.4000, disc_adaptive_weight 2.4636, d_loss 0.7227, logits_real 0.0594, logits_fake 0.0612,
Train Epoch: [1/30] Iters:[180/468] gen_loss 0.0117, rec_loss 0.0184, lpips_loss 0.1433, g_loss -0.0637, disc_weight 0.4000, disc_adaptive_weight 2.3643, d_loss 0.7000, logits_real 0.0598, logits_fake 0.0631,
Train Epoch: [1/30] Iters:[190/468] gen_loss 0.0170, rec_loss 0.0184, lpips_loss 0.1436, g_loss -0.0645, disc_weight 0.4000, disc_adaptive_weight 2.2469, d_loss 0.6813, logits_real 0.0604, logits_fake 0.0640,
Train Epoch: [1/30] Iters:[200/468] gen_loss 0.0059, rec_loss 0.0183, lpips_loss 0.1435, g_loss -0.0653, disc_weight 0.4000, disc_adaptive_weight 2.3847, d_loss 0.6656, logits_real 0.0612, logits_fake 0.0652,
Train Epoch: [1/30] Iters:[210/468] gen_loss 0.0010, rec_loss 0.0186, lpips_loss 0.1437, g_loss -0.0665, disc_weight 0.4000, disc_adaptive_weight 2.4221, d_loss 0.6519, logits_real 0.0623, logits_fake 0.0666,
Train Epoch: [1/30] Iters:[220/468] gen_loss -0.0043, rec_loss 0.0191, lpips_loss 0.1443, g_loss -0.0681, disc_weight 0.4000, disc_adaptive_weight 2.4633, d_loss 0.6394, logits_real 0.0639, logits_fake 0.0684,
Train Epoch: [1/30] Iters:[230/468] gen_loss -0.0049, rec_loss 0.0191, lpips_loss 0.1447, g_loss -0.0699, disc_weight 0.4000, disc_adaptive_weight 2.4194, d_loss 0.6264, logits_real 0.0656, logits_fake 0.0703,
Train Epoch: [1/30] Iters:[240/468] gen_loss -0.0163, rec_loss 0.0186, lpips_loss 0.1437, g_loss -0.0722, disc_weight 0.4000, disc_adaptive_weight 2.4760, d_loss 0.6147, logits_real 0.0672, logits_fake 0.0726,
Train Epoch: [1/30] Iters:[250/468] gen_loss -0.0177, rec_loss 0.0183, lpips_loss 0.1439, g_loss -0.0745, disc_weight 0.4000, disc_adaptive_weight 2.4116, d_loss 0.6039, logits_real 0.0686, logits_fake 0.0746,
Train Epoch: [1/30] Iters:[260/468] gen_loss -0.0285, rec_loss 0.0182, lpips_loss 0.1437, g_loss -0.0762, disc_weight 0.4000, disc_adaptive_weight 2.4906, d_loss 0.5938, logits_real 0.0703, logits_fake 0.0764,
Train Epoch: [1/30] Iters:[270/468] gen_loss -0.0428, rec_loss 0.0178, lpips_loss 0.1432, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 2.5964, d_loss 0.5847, logits_real 0.0720, logits_fake 0.0782,
Train Epoch: [1/30] Iters:[280/468] gen_loss -0.0641, rec_loss 0.0176, lpips_loss 0.1432, g_loss -0.0799, disc_weight 0.4000, disc_adaptive_weight 2.8116, d_loss 0.5771, logits_real 0.0732, logits_fake 0.0798,
Train Epoch: [1/30] Iters:[290/468] gen_loss -0.0785, rec_loss 0.0173, lpips_loss 0.1429, g_loss -0.0811, disc_weight 0.4000, disc_adaptive_weight 2.9405, d_loss 0.5693, logits_real 0.0749, logits_fake 0.0812,
Train Epoch: [1/30] Iters:[300/468] gen_loss -0.0888, rec_loss 0.0168, lpips_loss 0.1416, g_loss -0.0823, disc_weight 0.4000, disc_adaptive_weight 3.0044, d_loss 0.5621, logits_real 0.0766, logits_fake 0.0822,
Train Epoch: [1/30] Iters:[310/468] gen_loss -0.0970, rec_loss 0.0158, lpips_loss 0.1404, g_loss -0.0830, disc_weight 0.4000, disc_adaptive_weight 3.0523, d_loss 0.5548, logits_real 0.0778, logits_fake 0.0831,
Train Epoch: [1/30] Iters:[320/468] gen_loss -0.1028, rec_loss 0.0150, lpips_loss 0.1390, g_loss -0.0840, disc_weight 0.4000, disc_adaptive_weight 3.0595, d_loss 0.5483, logits_real 0.0788, logits_fake 0.0838,
Train Epoch: [1/30] Iters:[330/468] gen_loss -0.0908, rec_loss 0.0142, lpips_loss 0.1382, g_loss -0.0850, disc_weight 0.4000, disc_adaptive_weight 2.8648, d_loss 0.5417, logits_real 0.0798, logits_fake 0.0846,
Train Epoch: [1/30] Iters:[340/468] gen_loss -0.0837, rec_loss 0.0134, lpips_loss 0.1375, g_loss -0.0858, disc_weight 0.4000, disc_adaptive_weight 2.7351, d_loss 0.5360, logits_real 0.0806, logits_fake 0.0853,
Train Epoch: [1/30] Iters:[350/468] gen_loss -0.0765, rec_loss 0.0127, lpips_loss 0.1369, g_loss -0.0864, disc_weight 0.4000, disc_adaptive_weight 2.6175, d_loss 0.5306, logits_real 0.0813, logits_fake 0.0860,
Train Epoch: [1/30] Iters:[360/468] gen_loss -0.0905, rec_loss 0.0121, lpips_loss 0.1359, g_loss -0.0874, disc_weight 0.4000, disc_adaptive_weight 2.7261, d_loss 0.5254, logits_real 0.0819, logits_fake 0.0871,
Train Epoch: [1/30] Iters:[370/468] gen_loss -0.0860, rec_loss 0.0118, lpips_loss 0.1356, g_loss -0.0885, disc_weight 0.4000, disc_adaptive_weight 2.6316, d_loss 0.5203, logits_real 0.0826, logits_fake 0.0881,
Train Epoch: [1/30] Iters:[380/468] gen_loss -0.1096, rec_loss 0.0117, lpips_loss 0.1353, g_loss -0.0890, disc_weight 0.4000, disc_adaptive_weight 2.8782, d_loss 0.5157, logits_real 0.0834, logits_fake 0.0889,
Train Epoch: [1/30] Iters:[390/468] gen_loss -0.1226, rec_loss 0.0117, lpips_loss 0.1350, g_loss -0.0902, disc_weight 0.4000, disc_adaptive_weight 2.9833, d_loss 0.5114, logits_real 0.0844, logits_fake 0.0899,
Train Epoch: [1/30] Iters:[400/468] gen_loss -0.1493, rec_loss 0.0117, lpips_loss 0.1348, g_loss -0.0913, disc_weight 0.4000, disc_adaptive_weight 3.2431, d_loss 0.5076, logits_real 0.0852, logits_fake 0.0914,
Train Epoch: [1/30] Iters:[410/468] gen_loss -0.1611, rec_loss 0.0118, lpips_loss 0.1351, g_loss -0.0925, disc_weight 0.4000, disc_adaptive_weight 3.3307, d_loss 0.5039, logits_real 0.0862, logits_fake 0.0922,
Train Epoch: [1/30] Iters:[420/468] gen_loss -0.1747, rec_loss 0.0119, lpips_loss 0.1361, g_loss -0.0930, disc_weight 0.4000, disc_adaptive_weight 3.4740, d_loss 0.5005, logits_real 0.0870, logits_fake 0.0930,
Train Epoch: [1/30] Iters:[430/468] gen_loss -0.1699, rec_loss 0.0119, lpips_loss 0.1360, g_loss -0.0940, disc_weight 0.4000, disc_adaptive_weight 3.3838, d_loss 0.4971, logits_real 0.0879, logits_fake 0.0939,
Train Epoch: [1/30] Iters:[440/468] gen_loss -0.1791, rec_loss 0.0118, lpips_loss 0.1362, g_loss -0.0944, disc_weight 0.4000, disc_adaptive_weight 3.4669, d_loss 0.4938, logits_real 0.0885, logits_fake 0.0945,
Train Epoch: [1/30] Iters:[450/468] gen_loss -0.1804, rec_loss 0.0118, lpips_loss 0.1362, g_loss -0.0953, disc_weight 0.4000, disc_adaptive_weight 3.4457, d_loss 0.4908, logits_real 0.0890, logits_fake 0.0952,
Train Epoch: [1/30] Iters:[460/468] gen_loss -0.1732, rec_loss 0.0117, lpips_loss 0.1363, g_loss -0.0959, disc_weight 0.4000, disc_adaptive_weight 3.3487, d_loss 0.4876, logits_real 0.0897, logits_fake 0.0961,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss -0.1326, rec_loss 0.0116, lpips_loss 0.1367, g_loss -0.0993, disc_weight 0.4000, disc_adaptive_weight 2.8311, d_loss 0.4784, logits_real 0.0911, logits_fake 0.0999,
Train Epoch: [2/30] Iters:[20/468] gen_loss -0.1848, rec_loss 0.0117, lpips_loss 0.1369, g_loss -0.0990, disc_weight 0.4000, disc_adaptive_weight 3.3705, d_loss 0.4767, logits_real 0.0918, logits_fake 0.0993,
Train Epoch: [2/30] Iters:[30/468] gen_loss -0.1778, rec_loss 0.0115, lpips_loss 0.1365, g_loss -0.0991, disc_weight 0.4000, disc_adaptive_weight 3.2892, d_loss 0.4749, logits_real 0.0924, logits_fake 0.0992,
Train Epoch: [2/30] Iters:[40/468] gen_loss -0.1870, rec_loss 0.0114, lpips_loss 0.1358, g_loss -0.0994, disc_weight 0.4000, disc_adaptive_weight 3.3626, d_loss 0.4737, logits_real 0.0926, logits_fake 0.0996,
Train Epoch: [2/30] Iters:[50/468] gen_loss -0.1906, rec_loss 0.0113, lpips_loss 0.1357, g_loss -0.0995, disc_weight 0.4000, disc_adaptive_weight 3.3952, d_loss 0.4722, logits_real 0.0928, logits_fake 0.0998,
Train Epoch: [2/30] Iters:[60/468] gen_loss -0.1985, rec_loss 0.0112, lpips_loss 0.1354, g_loss -0.0997, disc_weight 0.4000, disc_adaptive_weight 3.4614, d_loss 0.4694, logits_real 0.0936, logits_fake 0.0999,
Train Epoch: [2/30] Iters:[70/468] gen_loss -0.1911, rec_loss 0.0110, lpips_loss 0.1352, g_loss -0.1000, disc_weight 0.4000, disc_adaptive_weight 3.3709, d_loss 0.4671, logits_real 0.0939, logits_fake 0.1004,
Train Epoch: [2/30] Iters:[80/468] gen_loss -0.2016, rec_loss 0.0108, lpips_loss 0.1351, g_loss -0.1003, disc_weight 0.4000, disc_adaptive_weight 3.4640, d_loss 0.4648, logits_real 0.0942, logits_fake 0.1008,
Train Epoch: [2/30] Iters:[90/468] gen_loss -0.2026, rec_loss 0.0106, lpips_loss 0.1349, g_loss -0.1005, disc_weight 0.4000, disc_adaptive_weight 3.4623, d_loss 0.4626, logits_real 0.0944, logits_fake 0.1009,
Train Epoch: [2/30] Iters:[100/468] gen_loss -0.2066, rec_loss 0.0105, lpips_loss 0.1346, g_loss -0.1009, disc_weight 0.4000, disc_adaptive_weight 3.4803, d_loss 0.4607, logits_real 0.0948, logits_fake 0.1011,
Train Epoch: [2/30] Iters:[110/468] gen_loss -0.2126, rec_loss 0.0105, lpips_loss 0.1347, g_loss -0.1012, disc_weight 0.4000, disc_adaptive_weight 3.5321, d_loss 0.4590, logits_real 0.0949, logits_fake 0.1014,
Train Epoch: [2/30] Iters:[120/468] gen_loss -0.2173, rec_loss 0.0104, lpips_loss 0.1346, g_loss -0.1014, disc_weight 0.4000, disc_adaptive_weight 3.5692, d_loss 0.4570, logits_real 0.0950, logits_fake 0.1013,
Train Epoch: [2/30] Iters:[130/468] gen_loss -0.2118, rec_loss 0.0103, lpips_loss 0.1346, g_loss -0.1016, disc_weight 0.4000, disc_adaptive_weight 3.5091, d_loss 0.4555, logits_real 0.0951, logits_fake 0.1014,
Train Epoch: [2/30] Iters:[140/468] gen_loss -0.2199, rec_loss 0.0104, lpips_loss 0.1353, g_loss -0.1017, disc_weight 0.4000, disc_adaptive_weight 3.5902, d_loss 0.4538, logits_real 0.0953, logits_fake 0.1016,
Train Epoch: [2/30] Iters:[150/468] gen_loss -0.2270, rec_loss 0.0103, lpips_loss 0.1354, g_loss -0.1022, disc_weight 0.4000, disc_adaptive_weight 3.6459, d_loss 0.4522, logits_real 0.0956, logits_fake 0.1020,
Train Epoch: [2/30] Iters:[160/468] gen_loss -0.2321, rec_loss 0.0103, lpips_loss 0.1352, g_loss -0.1026, disc_weight 0.4000, disc_adaptive_weight 3.6790, d_loss 0.4506, logits_real 0.0959, logits_fake 0.1024,
