Train Epoch: [1/30] Iters:[170/468] gen_loss 0.0084, rec_loss 0.0125, lpips_loss 0.1563, g_loss -0.0222, disc_weight 0.4000, disc_adaptive_weight 7.4589, d_loss 0.6907, logits_real 0.0443, logits_fake 0.0220,
Train Epoch: [1/30] Iters:[180/468] gen_loss 0.0203, rec_loss 0.0125, lpips_loss 0.1542, g_loss -0.0242, disc_weight 0.4000, disc_adaptive_weight 6.2923, d_loss 0.6723, logits_real 0.0429, logits_fake 0.0243,
Train Epoch: [1/30] Iters:[190/468] gen_loss 0.0270, rec_loss 0.0123, lpips_loss 0.1521, g_loss -0.0258, disc_weight 0.4000, disc_adaptive_weight 5.4416, d_loss 0.6556, logits_real 0.0415, logits_fake 0.0263,
Train Epoch: [1/30] Iters:[200/468] gen_loss 0.0360, rec_loss 0.0120, lpips_loss 0.1496, g_loss -0.0268, disc_weight 0.4000, disc_adaptive_weight 4.7166, d_loss 0.6402, logits_real 0.0398, logits_fake 0.0271,
Train Epoch: [1/30] Iters:[210/468] gen_loss 0.0493, rec_loss 0.0117, lpips_loss 0.1473, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 4.0533, d_loss 0.6273, logits_real 0.0386, logits_fake 0.0274,
Train Epoch: [1/30] Iters:[220/468] gen_loss 0.0550, rec_loss 0.0114, lpips_loss 0.1450, g_loss -0.0274, disc_weight 0.4000, disc_adaptive_weight 3.7166, d_loss 0.6150, logits_real 0.0370, logits_fake 0.0277,
Train Epoch: [1/30] Iters:[230/468] gen_loss 0.0402, rec_loss 0.0111, lpips_loss 0.1433, g_loss -0.0283, disc_weight 0.4000, disc_adaptive_weight 4.0230, d_loss 0.6034, logits_real 0.0353, logits_fake 0.0286,
Train Epoch: [1/30] Iters:[240/468] gen_loss 0.0319, rec_loss 0.0109, lpips_loss 0.1419, g_loss -0.0298, disc_weight 0.4000, disc_adaptive_weight 4.0527, d_loss 0.5932, logits_real 0.0337, logits_fake 0.0301,
Train Epoch: [1/30] Iters:[250/468] gen_loss 0.0269, rec_loss 0.0109, lpips_loss 0.1415, g_loss -0.0312, disc_weight 0.4000, disc_adaptive_weight 4.0319, d_loss 0.5843, logits_real 0.0325, logits_fake 0.0316,
Train Epoch: [1/30] Iters:[260/468] gen_loss 0.0286, rec_loss 0.0108, lpips_loss 0.1408, g_loss -0.0320, disc_weight 0.4000, disc_adaptive_weight 3.8456, d_loss 0.5761, logits_real 0.0311, logits_fake 0.0325,
Train Epoch: [1/30] Iters:[270/468] gen_loss 0.0283, rec_loss 0.0107, lpips_loss 0.1405, g_loss -0.0320, disc_weight 0.4000, disc_adaptive_weight 3.8382, d_loss 0.5691, logits_real 0.0299, logits_fake 0.0326,
Train Epoch: [1/30] Iters:[280/468] gen_loss 0.0403, rec_loss 0.0108, lpips_loss 0.1405, g_loss -0.0315, disc_weight 0.4000, disc_adaptive_weight 3.5222, d_loss 0.5626, logits_real 0.0286, logits_fake 0.0319,
Train Epoch: [1/30] Iters:[290/468] gen_loss 0.0426, rec_loss 0.0107, lpips_loss 0.1396, g_loss -0.0308, disc_weight 0.4000, disc_adaptive_weight 3.5030, d_loss 0.5554, logits_real 0.0275, logits_fake 0.0308,
Train Epoch: [1/30] Iters:[300/468] gen_loss 0.0490, rec_loss 0.0105, lpips_loss 0.1384, g_loss -0.0302, disc_weight 0.4000, disc_adaptive_weight 3.3251, d_loss 0.5493, logits_real 0.0263, logits_fake 0.0299,
Train Epoch: [1/30] Iters:[310/468] gen_loss 0.0481, rec_loss 0.0104, lpips_loss 0.1378, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 3.3911, d_loss 0.5431, logits_real 0.0251, logits_fake 0.0293,
Train Epoch: [1/30] Iters:[320/468] gen_loss 0.0487, rec_loss 0.0104, lpips_loss 0.1372, g_loss -0.0290, disc_weight 0.4000, disc_adaptive_weight 3.4270, d_loss 0.5378, logits_real 0.0238, logits_fake 0.0287,
Train Epoch: [1/30] Iters:[330/468] gen_loss 0.0450, rec_loss 0.0103, lpips_loss 0.1374, g_loss -0.0284, disc_weight 0.4000, disc_adaptive_weight 3.6532, d_loss 0.5320, logits_real 0.0226, logits_fake 0.0280,
