Train Epoch: [1/30] Iters:[170/468] gen_loss 1.5330, rec_loss 0.2705, lpips_loss 0.5900, g_loss 0.1829, disc_weight 0.4000, disc_adaptive_weight 3.8547, d_loss 0.8490, logits_real -0.2239, logits_fake -0.1826,
Train Epoch: [1/30] Iters:[180/468] gen_loss 1.5440, rec_loss 0.3006, lpips_loss 0.5636, g_loss 0.1593, disc_weight 0.4000, disc_adaptive_weight 4.4746, d_loss 0.8332, logits_real -0.2093, logits_fake -0.1581,
Train Epoch: [1/30] Iters:[190/468] gen_loss 1.6029, rec_loss 0.3221, lpips_loss 0.5416, g_loss 0.1450, disc_weight 0.4000, disc_adaptive_weight 5.2201, d_loss 0.8216, logits_real -0.1928, logits_fake -0.1435,
Train Epoch: [1/30] Iters:[200/468] gen_loss 1.6245, rec_loss 0.3307, lpips_loss 0.5241, g_loss 0.1338, disc_weight 0.4000, disc_adaptive_weight 5.8477, d_loss 0.8214, logits_real -0.1755, logits_fake -0.1306,
Train Epoch: [1/30] Iters:[210/468] gen_loss 1.6103, rec_loss 0.3399, lpips_loss 0.5144, g_loss 0.1218, disc_weight 0.4000, disc_adaptive_weight 6.4242, d_loss 0.8189, logits_real -0.1583, logits_fake -0.1177,
Train Epoch: [1/30] Iters:[220/468] gen_loss 1.6035, rec_loss 0.3527, lpips_loss 0.5078, g_loss 0.1077, disc_weight 0.4000, disc_adaptive_weight 7.1322, d_loss 0.8129, logits_real -0.1414, logits_fake -0.1047,
Train Epoch: [1/30] Iters:[230/468] gen_loss 1.5124, rec_loss 0.3302, lpips_loss 0.5043, g_loss 0.0971, disc_weight 0.4000, disc_adaptive_weight 7.1407, d_loss 0.8037, logits_real -0.1245, logits_fake -0.0963,
Train Epoch: [1/30] Iters:[240/468] gen_loss 1.4588, rec_loss 0.2723, lpips_loss 0.5027, g_loss 0.0888, disc_weight 0.4000, disc_adaptive_weight 7.9189, d_loss 0.7739, logits_real -0.1087, logits_fake -0.0882,
Train Epoch: [1/30] Iters:[250/468] gen_loss 1.4112, rec_loss 0.2149, lpips_loss 0.4910, g_loss 0.0775, disc_weight 0.4000, disc_adaptive_weight 9.5389, d_loss 0.7313, logits_real -0.0948, logits_fake -0.0778,
Train Epoch: [1/30] Iters:[260/468] gen_loss 1.2958, rec_loss 0.1480, lpips_loss 0.4657, g_loss 0.0721, disc_weight 0.4000, disc_adaptive_weight 9.8279, d_loss 0.6930, logits_real -0.0838, logits_fake -0.0721,
Train Epoch: [1/30] Iters:[270/468] gen_loss 1.3991, rec_loss 0.0818, lpips_loss 0.4356, g_loss 0.0682, disc_weight 0.4000, disc_adaptive_weight 13.8062, d_loss 0.6592, logits_real -0.0762, logits_fake -0.0679,
Train Epoch: [1/30] Iters:[280/468] gen_loss 1.8052, rec_loss 0.0378, lpips_loss 0.4125, g_loss 0.0628, disc_weight 0.4000, disc_adaptive_weight 23.5922, d_loss 0.6332, logits_real -0.0720, logits_fake -0.0616,
Train Epoch: [1/30] Iters:[290/468] gen_loss 2.1364, rec_loss 0.0359, lpips_loss 0.3968, g_loss 0.0571, disc_weight 0.4000, disc_adaptive_weight 30.9972, d_loss 0.6238, logits_real -0.0706, logits_fake -0.0562,
Train Epoch: [1/30] Iters:[300/468] gen_loss 2.2708, rec_loss 0.0374, lpips_loss 0.3912, g_loss 0.0585, disc_weight 0.4000, disc_adaptive_weight 32.8519, d_loss 0.6181, logits_real -0.0709, logits_fake -0.0579,
Train Epoch: [1/30] Iters:[310/468] gen_loss 2.4137, rec_loss 0.0377, lpips_loss 0.3901, g_loss 0.0594, disc_weight 0.4000, disc_adaptive_weight 34.9438, d_loss 0.6102, logits_real -0.0715, logits_fake -0.0590,
Train Epoch: [1/30] Iters:[320/468] gen_loss 2.2462, rec_loss 0.0382, lpips_loss 0.3850, g_loss 0.0608, disc_weight 0.4000, disc_adaptive_weight 31.8078, d_loss 0.6029, logits_real -0.0723, logits_fake -0.0608,
Train Epoch: [1/30] Iters:[330/468] gen_loss 1.7799, rec_loss 0.0366, lpips_loss 0.3639, g_loss 0.0650, disc_weight 0.4000, disc_adaptive_weight 22.4998, d_loss 0.5946, logits_real -0.0730, logits_fake -0.0655,
Train Epoch: [1/30] Iters:[340/468] gen_loss 1.3795, rec_loss 0.0323, lpips_loss 0.3286, g_loss 0.0686, disc_weight 0.4000, disc_adaptive_weight 15.1302, d_loss 0.5853, logits_real -0.0734, logits_fake -0.0694,
Train Epoch: [1/30] Iters:[350/468] gen_loss 1.1324, rec_loss 0.0267, lpips_loss 0.2881, g_loss 0.0691, disc_weight 0.4000, disc_adaptive_weight 11.9746, d_loss 0.5762, logits_real -0.0738, logits_fake -0.0701,
Train Epoch: [1/30] Iters:[360/468] gen_loss 0.9025, rec_loss 0.0225, lpips_loss 0.2495, g_loss 0.0697, disc_weight 0.4000, disc_adaptive_weight 9.0641, d_loss 0.5683, logits_real -0.0740, logits_fake -0.0707,
Train Epoch: [1/30] Iters:[370/468] gen_loss 0.7738, rec_loss 0.0190, lpips_loss 0.2170, g_loss 0.0709, disc_weight 0.4000, disc_adaptive_weight 7.5733, d_loss 0.5611, logits_real -0.0742, logits_fake -0.0718,
Train Epoch: [1/30] Iters:[380/468] gen_loss 0.7050, rec_loss 0.0161, lpips_loss 0.1933, g_loss 0.0709, disc_weight 0.4000, disc_adaptive_weight 6.9965, d_loss 0.5537, logits_real -0.0747, logits_fake -0.0715,
Train Epoch: [1/30] Iters:[390/468] gen_loss 0.6205, rec_loss 0.0140, lpips_loss 0.1768, g_loss 0.0707, disc_weight 0.4000, disc_adaptive_weight 6.0933, d_loss 0.5481, logits_real -0.0751, logits_fake -0.0712,
Train Epoch: [1/30] Iters:[400/468] gen_loss 0.5448, rec_loss 0.0129, lpips_loss 0.1648, g_loss 0.0714, disc_weight 0.4000, disc_adaptive_weight 5.1397, d_loss 0.5423, logits_real -0.0756, logits_fake -0.0716,
Train Epoch: [1/30] Iters:[410/468] gen_loss 0.5177, rec_loss 0.0122, lpips_loss 0.1579, g_loss 0.0721, disc_weight 0.4000, disc_adaptive_weight 4.8113, d_loss 0.5372, logits_real -0.0761, logits_fake -0.0721,
Train Epoch: [1/30] Iters:[420/468] gen_loss 0.5124, rec_loss 0.0119, lpips_loss 0.1541, g_loss 0.0721, disc_weight 0.4000, disc_adaptive_weight 4.7991, d_loss 0.5321, logits_real -0.0765, logits_fake -0.0721,
Train Epoch: [1/30] Iters:[430/468] gen_loss 0.4894, rec_loss 0.0116, lpips_loss 0.1515, g_loss 0.0723, disc_weight 0.4000, disc_adaptive_weight 4.5090, d_loss 0.5280, logits_real -0.0770, logits_fake -0.0722,
Train Epoch: [1/30] Iters:[440/468] gen_loss 0.4697, rec_loss 0.0115, lpips_loss 0.1503, g_loss 0.0730, disc_weight 0.4000, disc_adaptive_weight 4.2102, d_loss 0.5226, logits_real -0.0775, logits_fake -0.0727,
Train Epoch: [1/30] Iters:[450/468] gen_loss 0.4700, rec_loss 0.0114, lpips_loss 0.1492, g_loss 0.0737, disc_weight 0.4000, disc_adaptive_weight 4.1980, d_loss 0.5184, logits_real -0.0778, logits_fake -0.0733,
Train Epoch: [1/30] Iters:[460/468] gen_loss 0.4735, rec_loss 0.0113, lpips_loss 0.1486, g_loss 0.0743, disc_weight 0.4000, disc_adaptive_weight 4.2244, d_loss 0.5140, logits_real -0.0783, logits_fake -0.0736,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.3953, rec_loss 0.0114, lpips_loss 0.1471, g_loss 0.0746, disc_weight 0.4000, disc_adaptive_weight 3.1708, d_loss 0.5007, logits_real -0.0796, logits_fake -0.0749,
Train Epoch: [2/30] Iters:[20/468] gen_loss 0.4569, rec_loss 0.0114, lpips_loss 0.1471, g_loss 0.0754, disc_weight 0.4000, disc_adaptive_weight 3.9478, d_loss 0.4983, logits_real -0.0796, logits_fake -0.0755,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.4635, rec_loss 0.0113, lpips_loss 0.1466, g_loss 0.0750, disc_weight 0.4000, disc_adaptive_weight 4.0650, d_loss 0.4969, logits_real -0.0795, logits_fake -0.0753,
