Train Epoch: [1/30] Iters:[170/468] gen_loss -0.3952, rec_loss 0.0646, lpips_loss 0.2306, g_loss -0.1284, disc_weight 0.4000, disc_adaptive_weight 5.3868, d_loss 0.7742, logits_real 0.1352, logits_fake 0.1279,
Train Epoch: [1/30] Iters:[180/468] gen_loss -0.3860, rec_loss 0.0687, lpips_loss 0.2380, g_loss -0.1276, disc_weight 0.4000, disc_adaptive_weight 5.4216, d_loss 0.7500, logits_real 0.1355, logits_fake 0.1273,
Train Epoch: [1/30] Iters:[190/468] gen_loss -0.3913, rec_loss 0.0677, lpips_loss 0.2417, g_loss -0.1295, disc_weight 0.4000, disc_adaptive_weight 5.4177, d_loss 0.7279, logits_real 0.1368, logits_fake 0.1292,
Train Epoch: [1/30] Iters:[200/468] gen_loss -0.4253, rec_loss 0.0675, lpips_loss 0.2423, g_loss -0.1326, disc_weight 0.4000, disc_adaptive_weight 5.5295, d_loss 0.7102, logits_real 0.1385, logits_fake 0.1317,
Train Epoch: [1/30] Iters:[210/468] gen_loss -0.4665, rec_loss 0.0653, lpips_loss 0.2378, g_loss -0.1351, disc_weight 0.4000, disc_adaptive_weight 5.6637, d_loss 0.6940, logits_real 0.1403, logits_fake 0.1345,
Train Epoch: [1/30] Iters:[220/468] gen_loss -0.4616, rec_loss 0.0549, lpips_loss 0.2252, g_loss -0.1358, disc_weight 0.4000, disc_adaptive_weight 5.4221, d_loss 0.6727, logits_real 0.1424, logits_fake 0.1356,
Train Epoch: [1/30] Iters:[230/468] gen_loss -0.5223, rec_loss 0.0439, lpips_loss 0.2107, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 5.6075, d_loss 0.6555, logits_real 0.1445, logits_fake 0.1375,
Train Epoch: [1/30] Iters:[240/468] gen_loss -0.5745, rec_loss 0.0381, lpips_loss 0.1968, g_loss -0.1411, disc_weight 0.4000, disc_adaptive_weight 5.7366, d_loss 0.6411, logits_real 0.1458, logits_fake 0.1406,
Train Epoch: [1/30] Iters:[250/468] gen_loss -0.5306, rec_loss 0.0281, lpips_loss 0.1811, g_loss -0.1428, disc_weight 0.4000, disc_adaptive_weight 5.1878, d_loss 0.6253, logits_real 0.1463, logits_fake 0.1427,
Train Epoch: [1/30] Iters:[260/468] gen_loss -0.5167, rec_loss 0.0184, lpips_loss 0.1664, g_loss -0.1432, disc_weight 0.4000, disc_adaptive_weight 4.9039, d_loss 0.6097, logits_real 0.1463, logits_fake 0.1432,
Train Epoch: [1/30] Iters:[270/468] gen_loss -0.5009, rec_loss 0.0158, lpips_loss 0.1577, g_loss -0.1449, disc_weight 0.4000, disc_adaptive_weight 4.6575, d_loss 0.5997, logits_real 0.1459, logits_fake 0.1448,
Train Epoch: [1/30] Iters:[280/468] gen_loss -0.4342, rec_loss 0.0136, lpips_loss 0.1518, g_loss -0.1448, disc_weight 0.4000, disc_adaptive_weight 4.1344, d_loss 0.5899, logits_real 0.1447, logits_fake 0.1448,
Train Epoch: [1/30] Iters:[290/468] gen_loss -0.3962, rec_loss 0.0124, lpips_loss 0.1478, g_loss -0.1438, disc_weight 0.4000, disc_adaptive_weight 3.8647, d_loss 0.5804, logits_real 0.1434, logits_fake 0.1439,
Train Epoch: [1/30] Iters:[300/468] gen_loss -0.3775, rec_loss 0.0118, lpips_loss 0.1449, g_loss -0.1427, disc_weight 0.4000, disc_adaptive_weight 3.7354, d_loss 0.5724, logits_real 0.1420, logits_fake 0.1430,
Train Epoch: [1/30] Iters:[310/468] gen_loss -0.3466, rec_loss 0.0115, lpips_loss 0.1431, g_loss -0.1418, disc_weight 0.4000, disc_adaptive_weight 3.5372, d_loss 0.5648, logits_real 0.1408, logits_fake 0.1421,
Train Epoch: [1/30] Iters:[320/468] gen_loss -0.3387, rec_loss 0.0114, lpips_loss 0.1415, g_loss -0.1408, disc_weight 0.4000, disc_adaptive_weight 3.4943, d_loss 0.5578, logits_real 0.1395, logits_fake 0.1412,
Train Epoch: [1/30] Iters:[330/468] gen_loss -0.3610, rec_loss 0.0112, lpips_loss 0.1409, g_loss -0.1405, disc_weight 0.4000, disc_adaptive_weight 3.6528, d_loss 0.5508, logits_real 0.1389, logits_fake 0.1408,
Train Epoch: [1/30] Iters:[340/468] gen_loss -0.3653, rec_loss 0.0113, lpips_loss 0.1408, g_loss -0.1405, disc_weight 0.4000, disc_adaptive_weight 3.6820, d_loss 0.5448, logits_real 0.1385, logits_fake 0.1406,
Train Epoch: [1/30] Iters:[350/468] gen_loss -0.4051, rec_loss 0.0115, lpips_loss 0.1412, g_loss -0.1404, disc_weight 0.4000, disc_adaptive_weight 3.9708, d_loss 0.5394, logits_real 0.1381, logits_fake 0.1404,
Train Epoch: [1/30] Iters:[360/468] gen_loss -0.3866, rec_loss 0.0114, lpips_loss 0.1408, g_loss -0.1405, disc_weight 0.4000, disc_adaptive_weight 3.8341, d_loss 0.5339, logits_real 0.1375, logits_fake 0.1405,
Train Epoch: [1/30] Iters:[370/468] gen_loss -0.3926, rec_loss 0.0115, lpips_loss 0.1409, g_loss -0.1405, disc_weight 0.4000, disc_adaptive_weight 3.8784, d_loss 0.5286, logits_real 0.1369, logits_fake 0.1402,
Train Epoch: [1/30] Iters:[380/468] gen_loss -0.4630, rec_loss 0.0116, lpips_loss 0.1410, g_loss -0.1403, disc_weight 0.4000, disc_adaptive_weight 4.3933, d_loss 0.5243, logits_real 0.1362, logits_fake 0.1400,
Train Epoch: [1/30] Iters:[390/468] gen_loss -0.4479, rec_loss 0.0116, lpips_loss 0.1410, g_loss -0.1401, disc_weight 0.4000, disc_adaptive_weight 4.2908, d_loss 0.5203, logits_real 0.1355, logits_fake 0.1399,
Train Epoch: [1/30] Iters:[400/468] gen_loss -0.4351, rec_loss 0.0115, lpips_loss 0.1405, g_loss -0.1403, disc_weight 0.4000, disc_adaptive_weight 4.1916, d_loss 0.5160, logits_real 0.1350, logits_fake 0.1399,
Train Epoch: [1/30] Iters:[410/468] gen_loss -0.4858, rec_loss 0.0116, lpips_loss 0.1410, g_loss -0.1404, disc_weight 0.4000, disc_adaptive_weight 4.5503, d_loss 0.5125, logits_real 0.1349, logits_fake 0.1401,
Train Epoch: [1/30] Iters:[420/468] gen_loss -0.4735, rec_loss 0.0117, lpips_loss 0.1419, g_loss -0.1403, disc_weight 0.4000, disc_adaptive_weight 4.4724, d_loss 0.5087, logits_real 0.1347, logits_fake 0.1404,
Train Epoch: [1/30] Iters:[430/468] gen_loss -0.4318, rec_loss 0.0117, lpips_loss 0.1423, g_loss -0.1402, disc_weight 0.4000, disc_adaptive_weight 4.1810, d_loss 0.5054, logits_real 0.1345, logits_fake 0.1401,
Train Epoch: [1/30] Iters:[440/468] gen_loss -0.5367, rec_loss 0.0119, lpips_loss 0.1431, g_loss -0.1397, disc_weight 0.4000, disc_adaptive_weight 4.9617, d_loss 0.5018, logits_real 0.1343, logits_fake 0.1399,
Train Epoch: [1/30] Iters:[450/468] gen_loss -0.5318, rec_loss 0.0121, lpips_loss 0.1439, g_loss -0.1392, disc_weight 0.4000, disc_adaptive_weight 4.9504, d_loss 0.4985, logits_real 0.1341, logits_fake 0.1393,
Train Epoch: [1/30] Iters:[460/468] gen_loss -0.5118, rec_loss 0.0123, lpips_loss 0.1446, g_loss -0.1383, disc_weight 0.4000, disc_adaptive_weight 4.8451, d_loss 0.4951, logits_real 0.1335, logits_fake 0.1383,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss -0.5518, rec_loss 0.0121, lpips_loss 0.1446, g_loss -0.1386, disc_weight 0.4000, disc_adaptive_weight 5.1172, d_loss 0.4827, logits_real 0.1327, logits_fake 0.1388,
Train Epoch: [2/30] Iters:[20/468] gen_loss -0.6066, rec_loss 0.0123, lpips_loss 0.1450, g_loss -0.1384, disc_weight 0.4000, disc_adaptive_weight 5.5192, d_loss 0.4817, logits_real 0.1325, logits_fake 0.1381,
Train Epoch: [2/30] Iters:[30/468] gen_loss -0.5580, rec_loss 0.0123, lpips_loss 0.1449, g_loss -0.1386, disc_weight 0.4000, disc_adaptive_weight 5.1615, d_loss 0.4802, logits_real 0.1323, logits_fake 0.1382,
Train Epoch: [2/30] Iters:[40/468] gen_loss -0.5250, rec_loss 0.0121, lpips_loss 0.1444, g_loss -0.1383, disc_weight 0.4000, disc_adaptive_weight 4.9240, d_loss 0.4792, logits_real 0.1324, logits_fake 0.1384,
Train Epoch: [2/30] Iters:[50/468] gen_loss -0.5082, rec_loss 0.0120, lpips_loss 0.1441, g_loss -0.1381, disc_weight 0.4000, disc_adaptive_weight 4.8089, d_loss 0.4779, logits_real 0.1324, logits_fake 0.1383,
Train Epoch: [2/30] Iters:[60/468] gen_loss -0.4872, rec_loss 0.0120, lpips_loss 0.1439, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 4.6602, d_loss 0.4755, logits_real 0.1325, logits_fake 0.1384,
Train Epoch: [2/30] Iters:[70/468] gen_loss -0.4874, rec_loss 0.0118, lpips_loss 0.1436, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 4.6640, d_loss 0.4730, logits_real 0.1326, logits_fake 0.1387,
Train Epoch: [2/30] Iters:[80/468] gen_loss -0.5235, rec_loss 0.0118, lpips_loss 0.1433, g_loss -0.1383, disc_weight 0.4000, disc_adaptive_weight 4.9094, d_loss 0.4708, logits_real 0.1327, logits_fake 0.1390,
Train Epoch: [2/30] Iters:[90/468] gen_loss -0.6121, rec_loss 0.0118, lpips_loss 0.1433, g_loss -0.1390, disc_weight 0.4000, disc_adaptive_weight 5.5240, d_loss 0.4685, logits_real 0.1327, logits_fake 0.1395,
Train Epoch: [2/30] Iters:[100/468] gen_loss -0.6267, rec_loss 0.0119, lpips_loss 0.1435, g_loss -0.1398, disc_weight 0.4000, disc_adaptive_weight 5.6032, d_loss 0.4661, logits_real 0.1329, logits_fake 0.1401,
Train Epoch: [2/30] Iters:[110/468] gen_loss -0.6166, rec_loss 0.0119, lpips_loss 0.1440, g_loss -0.1401, disc_weight 0.4000, disc_adaptive_weight 5.5221, d_loss 0.4643, logits_real 0.1328, logits_fake 0.1402,
Train Epoch: [2/30] Iters:[120/468] gen_loss -0.5796, rec_loss 0.0119, lpips_loss 0.1439, g_loss -0.1404, disc_weight 0.4000, disc_adaptive_weight 5.2410, d_loss 0.4622, logits_real 0.1329, logits_fake 0.1405,
Train Epoch: [2/30] Iters:[130/468] gen_loss -0.5349, rec_loss 0.0118, lpips_loss 0.1437, g_loss -0.1402, disc_weight 0.4000, disc_adaptive_weight 4.9250, d_loss 0.4603, logits_real 0.1333, logits_fake 0.1405,
Train Epoch: [2/30] Iters:[140/468] gen_loss -0.4315, rec_loss 0.0116, lpips_loss 0.1438, g_loss -0.1399, disc_weight 0.4000, disc_adaptive_weight 4.1966, d_loss 0.4583, logits_real 0.1334, logits_fake 0.1402,
Train Epoch: [2/30] Iters:[150/468] gen_loss -0.4210, rec_loss 0.0114, lpips_loss 0.1432, g_loss -0.1394, disc_weight 0.4000, disc_adaptive_weight 4.1293, d_loss 0.4566, logits_real 0.1334, logits_fake 0.1397,
