Train Epoch: [1/30] Iters:[170/1093] gen_loss -0.0287, rec_loss 0.1944, lpips_loss 0.6298, g_loss -0.1321, disc_weight 0.4000, disc_adaptive_weight 6.5166, d_loss 0.7567, logits_real 0.1348, logits_fake 0.1304,
Train Epoch: [1/30] Iters:[180/1093] gen_loss -0.0615, rec_loss 0.1670, lpips_loss 0.5960, g_loss -0.1369, disc_weight 0.4000, disc_adaptive_weight 6.0780, d_loss 0.7377, logits_real 0.1354, logits_fake 0.1363,
Train Epoch: [1/30] Iters:[190/1093] gen_loss -0.1262, rec_loss 0.1385, lpips_loss 0.5491, g_loss -0.1388, disc_weight 0.4000, disc_adaptive_weight 5.8951, d_loss 0.7198, logits_real 0.1357, logits_fake 0.1385,
Train Epoch: [1/30] Iters:[200/1093] gen_loss -0.3145, rec_loss 0.1051, lpips_loss 0.4850, g_loss -0.1421, disc_weight 0.4000, disc_adaptive_weight 6.3539, d_loss 0.7049, logits_real 0.1364, logits_fake 0.1420,
Train Epoch: [1/30] Iters:[210/1093] gen_loss -0.6027, rec_loss 0.0796, lpips_loss 0.4065, g_loss -0.1432, disc_weight 0.4000, disc_adaptive_weight 7.5894, d_loss 0.6898, logits_real 0.1366, logits_fake 0.1432,
Train Epoch: [1/30] Iters:[220/1093] gen_loss -0.8469, rec_loss 0.0600, lpips_loss 0.3334, g_loss -0.1438, disc_weight 0.4000, disc_adaptive_weight 8.6068, d_loss 0.6724, logits_real 0.1363, logits_fake 0.1437,
Train Epoch: [1/30] Iters:[230/1093] gen_loss -0.9999, rec_loss 0.0442, lpips_loss 0.2687, g_loss -0.1440, disc_weight 0.4000, disc_adaptive_weight 9.1031, d_loss 0.6580, logits_real 0.1356, logits_fake 0.1440,
Train Epoch: [1/30] Iters:[240/1093] gen_loss -0.9972, rec_loss 0.0318, lpips_loss 0.2154, g_loss -0.1433, disc_weight 0.4000, disc_adaptive_weight 8.6413, d_loss 0.6440, logits_real 0.1350, logits_fake 0.1433,
Train Epoch: [1/30] Iters:[250/1093] gen_loss -0.8901, rec_loss 0.0235, lpips_loss 0.1806, g_loss -0.1410, disc_weight 0.4000, disc_adaptive_weight 7.6769, d_loss 0.6303, logits_real 0.1339, logits_fake 0.1413,
Train Epoch: [1/30] Iters:[260/1093] gen_loss -0.7069, rec_loss 0.0189, lpips_loss 0.1650, g_loss -0.1387, disc_weight 0.4000, disc_adaptive_weight 6.3454, d_loss 0.6163, logits_real 0.1327, logits_fake 0.1389,
Train Epoch: [1/30] Iters:[270/1093] gen_loss -0.5509, rec_loss 0.0166, lpips_loss 0.1562, g_loss -0.1361, disc_weight 0.4000, disc_adaptive_weight 5.2829, d_loss 0.6049, logits_real 0.1318, logits_fake 0.1361,
Train Epoch: [1/30] Iters:[280/1093] gen_loss -0.4560, rec_loss 0.0147, lpips_loss 0.1505, g_loss -0.1338, disc_weight 0.4000, disc_adaptive_weight 4.6363, d_loss 0.5938, logits_real 0.1309, logits_fake 0.1338,
Train Epoch: [1/30] Iters:[290/1093] gen_loss -0.4405, rec_loss 0.0137, lpips_loss 0.1468, g_loss -0.1325, disc_weight 0.4000, disc_adaptive_weight 4.5323, d_loss 0.5851, logits_real 0.1298, logits_fake 0.1325,
Train Epoch: [1/30] Iters:[300/1093] gen_loss -0.4104, rec_loss 0.0131, lpips_loss 0.1445, g_loss -0.1317, disc_weight 0.4000, disc_adaptive_weight 4.3024, d_loss 0.5775, logits_real 0.1287, logits_fake 0.1318,
Train Epoch: [1/30] Iters:[310/1093] gen_loss -0.4128, rec_loss 0.0130, lpips_loss 0.1437, g_loss -0.1313, disc_weight 0.4000, disc_adaptive_weight 4.3320, d_loss 0.5710, logits_real 0.1280, logits_fake 0.1314,
Train Epoch: [1/30] Iters:[320/1093] gen_loss -0.3916, rec_loss 0.0127, lpips_loss 0.1432, g_loss -0.1306, disc_weight 0.4000, disc_adaptive_weight 4.1929, d_loss 0.5636, logits_real 0.1271, logits_fake 0.1309,
Train Epoch: [1/30] Iters:[330/1093] gen_loss -0.4252, rec_loss 0.0126, lpips_loss 0.1425, g_loss -0.1301, disc_weight 0.4000, disc_adaptive_weight 4.4593, d_loss 0.5571, logits_real 0.1264, logits_fake 0.1305,
Train Epoch: [1/30] Iters:[340/1093] gen_loss -0.4022, rec_loss 0.0127, lpips_loss 0.1424, g_loss -0.1299, disc_weight 0.4000, disc_adaptive_weight 4.2909, d_loss 0.5511, logits_real 0.1261, logits_fake 0.1303,
Train Epoch: [1/30] Iters:[350/1093] gen_loss -0.4165, rec_loss 0.0126, lpips_loss 0.1423, g_loss -0.1297, disc_weight 0.4000, disc_adaptive_weight 4.4050, d_loss 0.5451, logits_real 0.1260, logits_fake 0.1299,
Train Epoch: [1/30] Iters:[360/1093] gen_loss -0.4133, rec_loss 0.0126, lpips_loss 0.1422, g_loss -0.1295, disc_weight 0.4000, disc_adaptive_weight 4.3852, d_loss 0.5395, logits_real 0.1256, logits_fake 0.1298,
Train Epoch: [1/30] Iters:[370/1093] gen_loss -0.4403, rec_loss 0.0127, lpips_loss 0.1423, g_loss -0.1295, disc_weight 0.4000, disc_adaptive_weight 4.5944, d_loss 0.5346, logits_real 0.1254, logits_fake 0.1297,
Train Epoch: [1/30] Iters:[380/1093] gen_loss -0.4276, rec_loss 0.0127, lpips_loss 0.1428, g_loss -0.1300, disc_weight 0.4000, disc_adaptive_weight 4.4889, d_loss 0.5304, logits_real 0.1251, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[390/1093] gen_loss -0.4719, rec_loss 0.0126, lpips_loss 0.1421, g_loss -0.1300, disc_weight 0.4000, disc_adaptive_weight 4.8222, d_loss 0.5259, logits_real 0.1247, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[400/1093] gen_loss -0.5004, rec_loss 0.0128, lpips_loss 0.1429, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 5.0366, d_loss 0.5224, logits_real 0.1243, logits_fake 0.1306,
Train Epoch: [1/30] Iters:[410/1093] gen_loss -0.4770, rec_loss 0.0128, lpips_loss 0.1435, g_loss -0.1311, disc_weight 0.4000, disc_adaptive_weight 4.8424, d_loss 0.5184, logits_real 0.1244, logits_fake 0.1311,
Train Epoch: [1/30] Iters:[420/1093] gen_loss -0.4329, rec_loss 0.0127, lpips_loss 0.1439, g_loss -0.1313, disc_weight 0.4000, disc_adaptive_weight 4.4999, d_loss 0.5141, logits_real 0.1246, logits_fake 0.1314,
Train Epoch: [1/30] Iters:[430/1093] gen_loss -0.4122, rec_loss 0.0129, lpips_loss 0.1442, g_loss -0.1306, disc_weight 0.4000, disc_adaptive_weight 4.3611, d_loss 0.5103, logits_real 0.1248, logits_fake 0.1308,
Train Epoch: [1/30] Iters:[440/1093] gen_loss -0.4437, rec_loss 0.0130, lpips_loss 0.1452, g_loss -0.1303, disc_weight 0.4000, disc_adaptive_weight 4.6270, d_loss 0.5070, logits_real 0.1249, logits_fake 0.1302,
Train Epoch: [1/30] Iters:[450/1093] gen_loss -0.4598, rec_loss 0.0129, lpips_loss 0.1446, g_loss -0.1301, disc_weight 0.4000, disc_adaptive_weight 4.7513, d_loss 0.5029, logits_real 0.1251, logits_fake 0.1300,
Train Epoch: [1/30] Iters:[460/1093] gen_loss -0.4712, rec_loss 0.0129, lpips_loss 0.1446, g_loss -0.1298, disc_weight 0.4000, disc_adaptive_weight 4.8484, d_loss 0.4994, logits_real 0.1249, logits_fake 0.1297,
Train Epoch: [1/30] Iters:[470/1093] gen_loss -0.4842, rec_loss 0.0131, lpips_loss 0.1448, g_loss -0.1299, disc_weight 0.4000, disc_adaptive_weight 4.9462, d_loss 0.4964, logits_real 0.1247, logits_fake 0.1296,
Train Epoch: [1/30] Iters:[480/1093] gen_loss -0.4789, rec_loss 0.0129, lpips_loss 0.1449, g_loss -0.1303, disc_weight 0.4000, disc_adaptive_weight 4.8924, d_loss 0.4932, logits_real 0.1246, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[490/1093] gen_loss -0.4381, rec_loss 0.0128, lpips_loss 0.1443, g_loss -0.1308, disc_weight 0.4000, disc_adaptive_weight 4.5517, d_loss 0.4898, logits_real 0.1247, logits_fake 0.1308,
