Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.0683, rec_loss 0.0137, lpips_loss 0.1561, g_loss -0.0231, disc_weight 0.4000, disc_adaptive_weight 4.6151, d_loss 0.6985, logits_real 0.0428, logits_fake 0.0231,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.0770, rec_loss 0.0142, lpips_loss 0.1602, g_loss -0.0193, disc_weight 0.4000, disc_adaptive_weight 5.2154, d_loss 0.6793, logits_real 0.0413, logits_fake 0.0195,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.0829, rec_loss 0.0150, lpips_loss 0.1652, g_loss -0.0168, disc_weight 0.4000, disc_adaptive_weight 5.8803, d_loss 0.6624, logits_real 0.0396, logits_fake 0.0171,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.0894, rec_loss 0.0155, lpips_loss 0.1682, g_loss -0.0163, disc_weight 0.4000, disc_adaptive_weight 5.8878, d_loss 0.6469, logits_real 0.0376, logits_fake 0.0161,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.0955, rec_loss 0.0155, lpips_loss 0.1691, g_loss -0.0157, disc_weight 0.4000, disc_adaptive_weight 5.7490, d_loss 0.6335, logits_real 0.0360, logits_fake 0.0155,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.0947, rec_loss 0.0157, lpips_loss 0.1694, g_loss -0.0155, disc_weight 0.4000, disc_adaptive_weight 5.9091, d_loss 0.6212, logits_real 0.0344, logits_fake 0.0156,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.0924, rec_loss 0.0156, lpips_loss 0.1676, g_loss -0.0168, disc_weight 0.4000, disc_adaptive_weight 5.5119, d_loss 0.6095, logits_real 0.0325, logits_fake 0.0170,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.0927, rec_loss 0.0153, lpips_loss 0.1653, g_loss -0.0181, disc_weight 0.4000, disc_adaptive_weight 4.9178, d_loss 0.5994, logits_real 0.0309, logits_fake 0.0182,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.0950, rec_loss 0.0148, lpips_loss 0.1624, g_loss -0.0188, disc_weight 0.4000, disc_adaptive_weight 4.4542, d_loss 0.5903, logits_real 0.0295, logits_fake 0.0192,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.0905, rec_loss 0.0143, lpips_loss 0.1592, g_loss -0.0198, disc_weight 0.4000, disc_adaptive_weight 4.2717, d_loss 0.5817, logits_real 0.0279, logits_fake 0.0200,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.0924, rec_loss 0.0138, lpips_loss 0.1561, g_loss -0.0209, disc_weight 0.4000, disc_adaptive_weight 3.7197, d_loss 0.5746, logits_real 0.0264, logits_fake 0.0209,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.0943, rec_loss 0.0135, lpips_loss 0.1540, g_loss -0.0211, disc_weight 0.4000, disc_adaptive_weight 3.4898, d_loss 0.5678, logits_real 0.0252, logits_fake 0.0208,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.0978, rec_loss 0.0131, lpips_loss 0.1524, g_loss -0.0208, disc_weight 0.4000, disc_adaptive_weight 3.2655, d_loss 0.5606, logits_real 0.0238, logits_fake 0.0204,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.0967, rec_loss 0.0130, lpips_loss 0.1512, g_loss -0.0207, disc_weight 0.4000, disc_adaptive_weight 3.2885, d_loss 0.5553, logits_real 0.0227, logits_fake 0.0202,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.1010, rec_loss 0.0129, lpips_loss 0.1506, g_loss -0.0202, disc_weight 0.4000, disc_adaptive_weight 3.1242, d_loss 0.5493, logits_real 0.0214, logits_fake 0.0198,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.1052, rec_loss 0.0128, lpips_loss 0.1500, g_loss -0.0193, disc_weight 0.4000, disc_adaptive_weight 2.9842, d_loss 0.5436, logits_real 0.0203, logits_fake 0.0191,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.1071, rec_loss 0.0126, lpips_loss 0.1494, g_loss -0.0184, disc_weight 0.4000, disc_adaptive_weight 2.9650, d_loss 0.5383, logits_real 0.0191, logits_fake 0.0184,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.1061, rec_loss 0.0126, lpips_loss 0.1489, g_loss -0.0176, disc_weight 0.4000, disc_adaptive_weight 3.1571, d_loss 0.5331, logits_real 0.0182, logits_fake 0.0177,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.1104, rec_loss 0.0125, lpips_loss 0.1483, g_loss -0.0168, disc_weight 0.4000, disc_adaptive_weight 3.0281, d_loss 0.5279, logits_real 0.0171, logits_fake 0.0170,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.1121, rec_loss 0.0124, lpips_loss 0.1482, g_loss -0.0163, disc_weight 0.4000, disc_adaptive_weight 3.0288, d_loss 0.5235, logits_real 0.0161, logits_fake 0.0164,
