Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.0923, rec_loss 0.0164, lpips_loss 0.1739, g_loss -0.0104, disc_weight 0.4000, disc_adaptive_weight 9.3770, d_loss 0.7012, logits_real 0.0429, logits_fake 0.0101,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.0820, rec_loss 0.0169, lpips_loss 0.1773, g_loss -0.0116, disc_weight 0.4000, disc_adaptive_weight 9.7585, d_loss 0.6823, logits_real 0.0414, logits_fake 0.0116,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.0638, rec_loss 0.0170, lpips_loss 0.1778, g_loss -0.0142, disc_weight 0.4000, disc_adaptive_weight 9.4507, d_loss 0.6648, logits_real 0.0397, logits_fake 0.0144,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.0470, rec_loss 0.0166, lpips_loss 0.1741, g_loss -0.0170, disc_weight 0.4000, disc_adaptive_weight 8.5465, d_loss 0.6488, logits_real 0.0376, logits_fake 0.0168,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.0453, rec_loss 0.0157, lpips_loss 0.1689, g_loss -0.0186, disc_weight 0.4000, disc_adaptive_weight 7.7041, d_loss 0.6349, logits_real 0.0360, logits_fake 0.0184,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.0457, rec_loss 0.0150, lpips_loss 0.1635, g_loss -0.0206, disc_weight 0.4000, disc_adaptive_weight 6.7177, d_loss 0.6220, logits_real 0.0343, logits_fake 0.0206,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.0511, rec_loss 0.0142, lpips_loss 0.1570, g_loss -0.0223, disc_weight 0.4000, disc_adaptive_weight 5.5149, d_loss 0.6098, logits_real 0.0323, logits_fake 0.0225,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.0649, rec_loss 0.0134, lpips_loss 0.1519, g_loss -0.0232, disc_weight 0.4000, disc_adaptive_weight 4.3820, d_loss 0.5997, logits_real 0.0306, logits_fake 0.0233,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.0793, rec_loss 0.0127, lpips_loss 0.1478, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 3.4602, d_loss 0.5906, logits_real 0.0291, logits_fake 0.0237,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.0793, rec_loss 0.0121, lpips_loss 0.1442, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 3.2785, d_loss 0.5821, logits_real 0.0275, logits_fake 0.0237,
