Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.2575, rec_loss 0.0194, lpips_loss 0.1896, g_loss 0.0142, disc_weight 0.4000, disc_adaptive_weight 3.3728, d_loss 0.6964, logits_real -0.0175, logits_fake -0.0146,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.2520, rec_loss 0.0190, lpips_loss 0.1889, g_loss 0.0128, disc_weight 0.4000, disc_adaptive_weight 3.4250, d_loss 0.6758, logits_real -0.0171, logits_fake -0.0130,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.2476, rec_loss 0.0190, lpips_loss 0.1895, g_loss 0.0116, disc_weight 0.4000, disc_adaptive_weight 3.3665, d_loss 0.6585, logits_real -0.0166, logits_fake -0.0110,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.2437, rec_loss 0.0189, lpips_loss 0.1894, g_loss 0.0103, disc_weight 0.4000, disc_adaptive_weight 3.4128, d_loss 0.6441, logits_real -0.0161, logits_fake -0.0097,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.2404, rec_loss 0.0187, lpips_loss 0.1899, g_loss 0.0086, disc_weight 0.4000, disc_adaptive_weight 3.6581, d_loss 0.6312, logits_real -0.0157, logits_fake -0.0083,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.2328, rec_loss 0.0187, lpips_loss 0.1905, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 3.5429, d_loss 0.6193, logits_real -0.0147, logits_fake -0.0063,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.2269, rec_loss 0.0187, lpips_loss 0.1906, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 3.4017, d_loss 0.6083, logits_real -0.0135, logits_fake -0.0051,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.2235, rec_loss 0.0187, lpips_loss 0.1907, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 3.5127, d_loss 0.5979, logits_real -0.0126, logits_fake -0.0040,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.2175, rec_loss 0.0186, lpips_loss 0.1907, g_loss 0.0021, disc_weight 0.4000, disc_adaptive_weight 3.6064, d_loss 0.5886, logits_real -0.0118, logits_fake -0.0025,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.2095, rec_loss 0.0185, lpips_loss 0.1902, g_loss 0.0003, disc_weight 0.4000, disc_adaptive_weight 3.5706, d_loss 0.5793, logits_real -0.0105, logits_fake -0.0004,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.2032, rec_loss 0.0184, lpips_loss 0.1899, g_loss -0.0013, disc_weight 0.4000, disc_adaptive_weight 3.7737, d_loss 0.5717, logits_real -0.0092, logits_fake 0.0016,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.1988, rec_loss 0.0186, lpips_loss 0.1905, g_loss -0.0029, disc_weight 0.4000, disc_adaptive_weight 3.7916, d_loss 0.5655, logits_real -0.0084, logits_fake 0.0034,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.1957, rec_loss 0.0184, lpips_loss 0.1908, g_loss -0.0039, disc_weight 0.4000, disc_adaptive_weight 3.6824, d_loss 0.5590, logits_real -0.0072, logits_fake 0.0041,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.1935, rec_loss 0.0184, lpips_loss 0.1909, g_loss -0.0043, disc_weight 0.4000, disc_adaptive_weight 3.8637, d_loss 0.5532, logits_real -0.0060, logits_fake 0.0047,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.1907, rec_loss 0.0183, lpips_loss 0.1910, g_loss -0.0050, disc_weight 0.4000, disc_adaptive_weight 3.7944, d_loss 0.5474, logits_real -0.0050, logits_fake 0.0051,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.1891, rec_loss 0.0183, lpips_loss 0.1912, g_loss -0.0055, disc_weight 0.4000, disc_adaptive_weight 3.7184, d_loss 0.5415, logits_real -0.0042, logits_fake 0.0053,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.1867, rec_loss 0.0181, lpips_loss 0.1908, g_loss -0.0058, disc_weight 0.4000, disc_adaptive_weight 3.8680, d_loss 0.5358, logits_real -0.0033, logits_fake 0.0055,
