Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.1101, rec_loss 0.0139, lpips_loss 0.1541, g_loss -0.0160, disc_weight 0.4000, disc_adaptive_weight 3.6490, d_loss 0.6976, logits_real -0.0090, logits_fake 0.0161,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.1140, rec_loss 0.0134, lpips_loss 0.1516, g_loss -0.0138, disc_weight 0.4000, disc_adaptive_weight 3.7786, d_loss 0.6777, logits_real -0.0083, logits_fake 0.0136,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.1204, rec_loss 0.0133, lpips_loss 0.1511, g_loss -0.0123, disc_weight 0.4000, disc_adaptive_weight 3.6742, d_loss 0.6608, logits_real -0.0078, logits_fake 0.0127,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.1223, rec_loss 0.0132, lpips_loss 0.1504, g_loss -0.0113, disc_weight 0.4000, disc_adaptive_weight 3.7370, d_loss 0.6464, logits_real -0.0072, logits_fake 0.0118,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.1211, rec_loss 0.0131, lpips_loss 0.1504, g_loss -0.0112, disc_weight 0.4000, disc_adaptive_weight 3.8246, d_loss 0.6338, logits_real -0.0068, logits_fake 0.0115,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.1201, rec_loss 0.0132, lpips_loss 0.1507, g_loss -0.0115, disc_weight 0.4000, disc_adaptive_weight 3.8356, d_loss 0.6224, logits_real -0.0058, logits_fake 0.0118,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.1232, rec_loss 0.0132, lpips_loss 0.1505, g_loss -0.0113, disc_weight 0.4000, disc_adaptive_weight 3.5610, d_loss 0.6118, logits_real -0.0048, logits_fake 0.0111,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.1244, rec_loss 0.0133, lpips_loss 0.1504, g_loss -0.0110, disc_weight 0.4000, disc_adaptive_weight 3.5644, d_loss 0.6016, logits_real -0.0041, logits_fake 0.0108,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.1255, rec_loss 0.0134, lpips_loss 0.1504, g_loss -0.0106, disc_weight 0.4000, disc_adaptive_weight 3.5810, d_loss 0.5924, logits_real -0.0035, logits_fake 0.0103,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.1276, rec_loss 0.0134, lpips_loss 0.1499, g_loss -0.0102, disc_weight 0.4000, disc_adaptive_weight 3.4967, d_loss 0.5830, logits_real -0.0026, logits_fake 0.0101,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.1292, rec_loss 0.0134, lpips_loss 0.1494, g_loss -0.0102, disc_weight 0.4000, disc_adaptive_weight 3.3355, d_loss 0.5753, logits_real -0.0017, logits_fake 0.0103,
