Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.0701, rec_loss 0.0141, lpips_loss 0.1559, g_loss -0.0167, disc_weight 0.4000, disc_adaptive_weight 5.9978, d_loss 0.6985, logits_real 0.0426, logits_fake 0.0165,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.0621, rec_loss 0.0143, lpips_loss 0.1563, g_loss -0.0179, disc_weight 0.4000, disc_adaptive_weight 6.0968, d_loss 0.6791, logits_real 0.0410, logits_fake 0.0179,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.0482, rec_loss 0.0142, lpips_loss 0.1556, g_loss -0.0202, disc_weight 0.4000, disc_adaptive_weight 6.0504, d_loss 0.6622, logits_real 0.0392, logits_fake 0.0204,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.0268, rec_loss 0.0138, lpips_loss 0.1531, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 5.8721, d_loss 0.6466, logits_real 0.0371, logits_fake 0.0233,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.0093, rec_loss 0.0131, lpips_loss 0.1500, g_loss -0.0267, disc_weight 0.4000, disc_adaptive_weight 5.7445, d_loss 0.6329, logits_real 0.0354, logits_fake 0.0266,
Train Epoch: [1/30] Iters:[220/1093] gen_loss -0.0044, rec_loss 0.0127, lpips_loss 0.1473, g_loss -0.0299, disc_weight 0.4000, disc_adaptive_weight 5.6061, d_loss 0.6207, logits_real 0.0337, logits_fake 0.0300,
Train Epoch: [1/30] Iters:[230/1093] gen_loss -0.0054, rec_loss 0.0122, lpips_loss 0.1444, g_loss -0.0322, disc_weight 0.4000, disc_adaptive_weight 5.0976, d_loss 0.6093, logits_real 0.0317, logits_fake 0.0324,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.0072, rec_loss 0.0120, lpips_loss 0.1429, g_loss -0.0330, disc_weight 0.4000, disc_adaptive_weight 4.4658, d_loss 0.5995, logits_real 0.0302, logits_fake 0.0331,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.0318, rec_loss 0.0118, lpips_loss 0.1422, g_loss -0.0315, disc_weight 0.4000, disc_adaptive_weight 3.8215, d_loss 0.5907, logits_real 0.0288, logits_fake 0.0316,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.0479, rec_loss 0.0117, lpips_loss 0.1414, g_loss -0.0289, disc_weight 0.4000, disc_adaptive_weight 3.6389, d_loss 0.5823, logits_real 0.0273, logits_fake 0.0289,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.0596, rec_loss 0.0117, lpips_loss 0.1410, g_loss -0.0265, disc_weight 0.4000, disc_adaptive_weight 3.5486, d_loss 0.5752, logits_real 0.0258, logits_fake 0.0263,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.0625, rec_loss 0.0118, lpips_loss 0.1413, g_loss -0.0250, disc_weight 0.4000, disc_adaptive_weight 3.6826, d_loss 0.5684, logits_real 0.0246, logits_fake 0.0245,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.0624, rec_loss 0.0117, lpips_loss 0.1412, g_loss -0.0237, disc_weight 0.4000, disc_adaptive_weight 3.8316, d_loss 0.5612, logits_real 0.0233, logits_fake 0.0233,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.0624, rec_loss 0.0117, lpips_loss 0.1408, g_loss -0.0239, disc_weight 0.4000, disc_adaptive_weight 3.7911, d_loss 0.5558, logits_real 0.0221, logits_fake 0.0233,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.0618, rec_loss 0.0116, lpips_loss 0.1407, g_loss -0.0239, disc_weight 0.4000, disc_adaptive_weight 3.8228, d_loss 0.5501, logits_real 0.0209, logits_fake 0.0233,
