Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.0333, rec_loss 0.0174, lpips_loss 0.1405, g_loss -0.0577, disc_weight 0.4000, disc_adaptive_weight 2.1506, d_loss 0.7211, logits_real 0.0595, logits_fake 0.0571,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.0304, rec_loss 0.0175, lpips_loss 0.1401, g_loss -0.0597, disc_weight 0.4000, disc_adaptive_weight 2.1256, d_loss 0.7008, logits_real 0.0596, logits_fake 0.0594,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.0259, rec_loss 0.0175, lpips_loss 0.1401, g_loss -0.0608, disc_weight 0.4000, disc_adaptive_weight 2.1628, d_loss 0.6821, logits_real 0.0597, logits_fake 0.0608,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.0216, rec_loss 0.0175, lpips_loss 0.1401, g_loss -0.0623, disc_weight 0.4000, disc_adaptive_weight 2.1788, d_loss 0.6669, logits_real 0.0606, logits_fake 0.0626,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.0210, rec_loss 0.0170, lpips_loss 0.1401, g_loss -0.0634, disc_weight 0.4000, disc_adaptive_weight 2.1469, d_loss 0.6519, logits_real 0.0612, logits_fake 0.0636,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.0168, rec_loss 0.0170, lpips_loss 0.1404, g_loss -0.0645, disc_weight 0.4000, disc_adaptive_weight 2.1798, d_loss 0.6390, logits_real 0.0620, logits_fake 0.0647,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.0084, rec_loss 0.0168, lpips_loss 0.1400, g_loss -0.0659, disc_weight 0.4000, disc_adaptive_weight 2.2493, d_loss 0.6274, logits_real 0.0631, logits_fake 0.0659,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.0005, rec_loss 0.0167, lpips_loss 0.1401, g_loss -0.0674, disc_weight 0.4000, disc_adaptive_weight 2.3116, d_loss 0.6172, logits_real 0.0640, logits_fake 0.0675,
Train Epoch: [1/30] Iters:[250/1093] gen_loss -0.0133, rec_loss 0.0165, lpips_loss 0.1402, g_loss -0.0693, disc_weight 0.4000, disc_adaptive_weight 2.4419, d_loss 0.6073, logits_real 0.0649, logits_fake 0.0691,
Train Epoch: [1/30] Iters:[260/1093] gen_loss -0.0272, rec_loss 0.0167, lpips_loss 0.1401, g_loss -0.0712, disc_weight 0.4000, disc_adaptive_weight 2.5795, d_loss 0.5986, logits_real 0.0663, logits_fake 0.0711,
Train Epoch: [1/30] Iters:[270/1093] gen_loss -0.0339, rec_loss 0.0164, lpips_loss 0.1398, g_loss -0.0728, disc_weight 0.4000, disc_adaptive_weight 2.6081, d_loss 0.5902, logits_real 0.0678, logits_fake 0.0728,
Train Epoch: [1/30] Iters:[280/1093] gen_loss -0.0410, rec_loss 0.0161, lpips_loss 0.1399, g_loss -0.0743, disc_weight 0.4000, disc_adaptive_weight 2.6503, d_loss 0.5820, logits_real 0.0690, logits_fake 0.0743,
Train Epoch: [1/30] Iters:[290/1093] gen_loss -0.0426, rec_loss 0.0155, lpips_loss 0.1394, g_loss -0.0756, disc_weight 0.4000, disc_adaptive_weight 2.6178, d_loss 0.5737, logits_real 0.0705, logits_fake 0.0755,
Train Epoch: [1/30] Iters:[300/1093] gen_loss -0.0436, rec_loss 0.0150, lpips_loss 0.1388, g_loss -0.0768, disc_weight 0.4000, disc_adaptive_weight 2.5761, d_loss 0.5665, logits_real 0.0720, logits_fake 0.0765,
Train Epoch: [1/30] Iters:[310/1093] gen_loss -0.0403, rec_loss 0.0144, lpips_loss 0.1382, g_loss -0.0779, disc_weight 0.4000, disc_adaptive_weight 2.4813, d_loss 0.5593, logits_real 0.0733, logits_fake 0.0774,
Train Epoch: [1/30] Iters:[320/1093] gen_loss -0.0432, rec_loss 0.0140, lpips_loss 0.1377, g_loss -0.0790, disc_weight 0.4000, disc_adaptive_weight 2.4713, d_loss 0.5527, logits_real 0.0743, logits_fake 0.0784,
Train Epoch: [1/30] Iters:[330/1093] gen_loss -0.0488, rec_loss 0.0139, lpips_loss 0.1374, g_loss -0.0801, disc_weight 0.4000, disc_adaptive_weight 2.5003, d_loss 0.5472, logits_real 0.0752, logits_fake 0.0793,
Train Epoch: [1/30] Iters:[340/1093] gen_loss -0.0515, rec_loss 0.0140, lpips_loss 0.1374, g_loss -0.0810, disc_weight 0.4000, disc_adaptive_weight 2.5082, d_loss 0.5424, logits_real 0.0762, logits_fake 0.0805,
Train Epoch: [1/30] Iters:[350/1093] gen_loss -0.0506, rec_loss 0.0138, lpips_loss 0.1369, g_loss -0.0822, disc_weight 0.4000, disc_adaptive_weight 2.4517, d_loss 0.5376, logits_real 0.0769, logits_fake 0.0818,
Train Epoch: [1/30] Iters:[360/1093] gen_loss -0.0585, rec_loss 0.0138, lpips_loss 0.1369, g_loss -0.0832, disc_weight 0.4000, disc_adaptive_weight 2.5176, d_loss 0.5335, logits_real 0.0777, logits_fake 0.0830,
