Train Epoch: [1/30] Iters:[170/1093] gen_loss -6.1631, rec_loss 0.0245, lpips_loss 0.2445, g_loss -0.3094, disc_weight 0.4000, disc_adaptive_weight 20.7515, d_loss 0.7219, logits_real 0.2763, logits_fake 0.3084,
Train Epoch: [1/30] Iters:[180/1093] gen_loss -5.2630, rec_loss 0.0238, lpips_loss 0.2378, g_loss -0.3042, disc_weight 0.4000, disc_adaptive_weight 17.9659, d_loss 0.6982, logits_real 0.2754, logits_fake 0.3032,
Train Epoch: [1/30] Iters:[190/1093] gen_loss -4.3899, rec_loss 0.0215, lpips_loss 0.2189, g_loss -0.2964, disc_weight 0.4000, disc_adaptive_weight 15.4284, d_loss 0.6767, logits_real 0.2743, logits_fake 0.2960,
Train Epoch: [1/30] Iters:[200/1093] gen_loss -3.7073, rec_loss 0.0188, lpips_loss 0.2005, g_loss -0.2915, disc_weight 0.4000, disc_adaptive_weight 13.3630, d_loss 0.6576, logits_real 0.2734, logits_fake 0.2912,
Train Epoch: [1/30] Iters:[210/1093] gen_loss -2.8112, rec_loss 0.0163, lpips_loss 0.1849, g_loss -0.2885, disc_weight 0.4000, disc_adaptive_weight 10.4409, d_loss 0.6418, logits_real 0.2725, logits_fake 0.2884,
Train Epoch: [1/30] Iters:[220/1093] gen_loss -2.4572, rec_loss 0.0147, lpips_loss 0.1709, g_loss -0.2845, disc_weight 0.4000, disc_adaptive_weight 9.2840, d_loss 0.6289, logits_real 0.2714, logits_fake 0.2843,
Train Epoch: [1/30] Iters:[230/1093] gen_loss -2.2474, rec_loss 0.0141, lpips_loss 0.1648, g_loss -0.2829, disc_weight 0.4000, disc_adaptive_weight 8.5517, d_loss 0.6179, logits_real 0.2703, logits_fake 0.2826,
Train Epoch: [1/30] Iters:[240/1093] gen_loss -1.9242, rec_loss 0.0137, lpips_loss 0.1612, g_loss -0.2818, disc_weight 0.4000, disc_adaptive_weight 7.4022, d_loss 0.6069, logits_real 0.2693, logits_fake 0.2814,
Train Epoch: [1/30] Iters:[250/1093] gen_loss -1.5080, rec_loss 0.0132, lpips_loss 0.1570, g_loss -0.2782, disc_weight 0.4000, disc_adaptive_weight 6.0129, d_loss 0.5973, logits_real 0.2686, logits_fake 0.2782,
Train Epoch: [1/30] Iters:[260/1093] gen_loss -1.3931, rec_loss 0.0126, lpips_loss 0.1518, g_loss -0.2741, disc_weight 0.4000, disc_adaptive_weight 5.6926, d_loss 0.5870, logits_real 0.2675, logits_fake 0.2740,
Train Epoch: [1/30] Iters:[270/1093] gen_loss -1.4367, rec_loss 0.0124, lpips_loss 0.1500, g_loss -0.2717, disc_weight 0.4000, disc_adaptive_weight 5.8915, d_loss 0.5791, logits_real 0.2666, logits_fake 0.2718,
Train Epoch: [1/30] Iters:[280/1093] gen_loss -1.4764, rec_loss 0.0123, lpips_loss 0.1492, g_loss -0.2711, disc_weight 0.4000, disc_adaptive_weight 6.0472, d_loss 0.5721, logits_real 0.2656, logits_fake 0.2710,
Train Epoch: [1/30] Iters:[290/1093] gen_loss -1.6194, rec_loss 0.0124, lpips_loss 0.1496, g_loss -0.2706, disc_weight 0.4000, disc_adaptive_weight 6.5831, d_loss 0.5654, logits_real 0.2647, logits_fake 0.2708,
Train Epoch: [1/30] Iters:[300/1093] gen_loss -1.6153, rec_loss 0.0125, lpips_loss 0.1494, g_loss -0.2708, disc_weight 0.4000, disc_adaptive_weight 6.5622, d_loss 0.5593, logits_real 0.2639, logits_fake 0.2707,
Train Epoch: [1/30] Iters:[310/1093] gen_loss -1.5843, rec_loss 0.0124, lpips_loss 0.1491, g_loss -0.2704, disc_weight 0.4000, disc_adaptive_weight 6.4537, d_loss 0.5537, logits_real 0.2632, logits_fake 0.2705,
Train Epoch: [1/30] Iters:[320/1093] gen_loss -1.5553, rec_loss 0.0123, lpips_loss 0.1482, g_loss -0.2702, disc_weight 0.4000, disc_adaptive_weight 6.3455, d_loss 0.5481, logits_real 0.2625, logits_fake 0.2705,
Train Epoch: [1/30] Iters:[330/1093] gen_loss -1.4244, rec_loss 0.0122, lpips_loss 0.1471, g_loss -0.2691, disc_weight 0.4000, disc_adaptive_weight 5.8746, d_loss 0.5422, logits_real 0.2619, logits_fake 0.2693,
Train Epoch: [1/30] Iters:[340/1093] gen_loss -1.2034, rec_loss 0.0120, lpips_loss 0.1455, g_loss -0.2678, disc_weight 0.4000, disc_adaptive_weight 5.0769, d_loss 0.5370, logits_real 0.2610, logits_fake 0.2676,
