Train Epoch: [1/30] Iters:[170/1093] gen_loss 1.0122, rec_loss 0.1854, lpips_loss 0.3508, g_loss 0.2267, disc_weight 0.4000, disc_adaptive_weight 2.1439, d_loss 0.8447, logits_real -0.2936, logits_fake -0.2266,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.9776, rec_loss 0.1813, lpips_loss 0.3381, g_loss 0.2159, disc_weight 0.4000, disc_adaptive_weight 2.1393, d_loss 0.8289, logits_real -0.2790, logits_fake -0.2157,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.9031, rec_loss 0.1615, lpips_loss 0.3263, g_loss 0.2120, disc_weight 0.4000, disc_adaptive_weight 1.9715, d_loss 0.8155, logits_real -0.2646, logits_fake -0.2118,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.8167, rec_loss 0.1368, lpips_loss 0.3145, g_loss 0.2108, disc_weight 0.4000, disc_adaptive_weight 1.7408, d_loss 0.8025, logits_real -0.2506, logits_fake -0.2098,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.7597, rec_loss 0.1193, lpips_loss 0.3034, g_loss 0.2073, disc_weight 0.4000, disc_adaptive_weight 1.6258, d_loss 0.7917, logits_real -0.2380, logits_fake -0.2068,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.7276, rec_loss 0.0989, lpips_loss 0.2943, g_loss 0.2060, disc_weight 0.4000, disc_adaptive_weight 1.6184, d_loss 0.7701, logits_real -0.2267, logits_fake -0.2062,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.7509, rec_loss 0.0814, lpips_loss 0.2864, g_loss 0.2072, disc_weight 0.4000, disc_adaptive_weight 1.8311, d_loss 0.7426, logits_real -0.2175, logits_fake -0.2083,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.7822, rec_loss 0.0668, lpips_loss 0.2800, g_loss 0.2080, disc_weight 0.4000, disc_adaptive_weight 2.0738, d_loss 0.7150, logits_real -0.2100, logits_fake -0.2089,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.9248, rec_loss 0.0536, lpips_loss 0.2739, g_loss 0.2082, disc_weight 0.4000, disc_adaptive_weight 2.8517, d_loss 0.6907, logits_real -0.2040, logits_fake -0.2093,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 1.0920, rec_loss 0.0441, lpips_loss 0.2689, g_loss 0.2079, disc_weight 0.4000, disc_adaptive_weight 3.7613, d_loss 0.6687, logits_real -0.1998, logits_fake -0.2079,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 1.1854, rec_loss 0.0385, lpips_loss 0.2659, g_loss 0.2061, disc_weight 0.4000, disc_adaptive_weight 4.3067, d_loss 0.6526, logits_real -0.1971, logits_fake -0.2055,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 1.2364, rec_loss 0.0377, lpips_loss 0.2640, g_loss 0.2014, disc_weight 0.4000, disc_adaptive_weight 4.6545, d_loss 0.6425, logits_real -0.1951, logits_fake -0.2012,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 1.2744, rec_loss 0.0372, lpips_loss 0.2621, g_loss 0.1972, disc_weight 0.4000, disc_adaptive_weight 4.9262, d_loss 0.6325, logits_real -0.1936, logits_fake -0.1970,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 1.1912, rec_loss 0.0380, lpips_loss 0.2606, g_loss 0.1936, disc_weight 0.4000, disc_adaptive_weight 4.5931, d_loss 0.6248, logits_real -0.1925, logits_fake -0.1932,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 1.0426, rec_loss 0.0370, lpips_loss 0.2587, g_loss 0.1916, disc_weight 0.4000, disc_adaptive_weight 3.8939, d_loss 0.6147, logits_real -0.1915, logits_fake -0.1915,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 1.0175, rec_loss 0.0356, lpips_loss 0.2565, g_loss 0.1909, disc_weight 0.4000, disc_adaptive_weight 3.7968, d_loss 0.6046, logits_real -0.1905, logits_fake -0.1909,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 1.0387, rec_loss 0.0354, lpips_loss 0.2558, g_loss 0.1900, disc_weight 0.4000, disc_adaptive_weight 3.9355, d_loss 0.5957, logits_real -0.1896, logits_fake -0.1898,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 1.0658, rec_loss 0.0363, lpips_loss 0.2558, g_loss 0.1888, disc_weight 0.4000, disc_adaptive_weight 4.1055, d_loss 0.5885, logits_real -0.1883, logits_fake -0.1886,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 1.0785, rec_loss 0.0365, lpips_loss 0.2558, g_loss 0.1872, disc_weight 0.4000, disc_adaptive_weight 4.2072, d_loss 0.5804, logits_real -0.1870, logits_fake -0.1869,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 1.1334, rec_loss 0.0379, lpips_loss 0.2571, g_loss 0.1853, disc_weight 0.4000, disc_adaptive_weight 4.5256, d_loss 0.5757, logits_real -0.1859, logits_fake -0.1850,
Train Epoch: [1/30] Iters:[370/1093] gen_loss 1.1156, rec_loss 0.0387, lpips_loss 0.2580, g_loss 0.1824, disc_weight 0.4000, disc_adaptive_weight 4.4855, d_loss 0.5703, logits_real -0.1842, logits_fake -0.1825,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 1.0706, rec_loss 0.0381, lpips_loss 0.2578, g_loss 0.1802, disc_weight 0.4000, disc_adaptive_weight 4.2997, d_loss 0.5635, logits_real -0.1824, logits_fake -0.1804,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 1.0394, rec_loss 0.0368, lpips_loss 0.2556, g_loss 0.1778, disc_weight 0.4000, disc_adaptive_weight 4.2041, d_loss 0.5570, logits_real -0.1806, logits_fake -0.1779,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 1.0078, rec_loss 0.0359, lpips_loss 0.2555, g_loss 0.1755, disc_weight 0.4000, disc_adaptive_weight 4.0832, d_loss 0.5512, logits_real -0.1789, logits_fake -0.1756,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.9638, rec_loss 0.0340, lpips_loss 0.2536, g_loss 0.1735, disc_weight 0.4000, disc_adaptive_weight 3.8949, d_loss 0.5435, logits_real -0.1767, logits_fake -0.1736,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.9771, rec_loss 0.0327, lpips_loss 0.2523, g_loss 0.1719, disc_weight 0.4000, disc_adaptive_weight 4.0274, d_loss 0.5372, logits_real -0.1751, logits_fake -0.1717,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.9828, rec_loss 0.0333, lpips_loss 0.2523, g_loss 0.1698, disc_weight 0.4000, disc_adaptive_weight 4.1069, d_loss 0.5332, logits_real -0.1735, logits_fake -0.1697,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.9567, rec_loss 0.0329, lpips_loss 0.2532, g_loss 0.1687, disc_weight 0.4000, disc_adaptive_weight 3.9790, d_loss 0.5278, logits_real -0.1723, logits_fake -0.1685,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.9410, rec_loss 0.0315, lpips_loss 0.2510, g_loss 0.1675, disc_weight 0.4000, disc_adaptive_weight 3.9294, d_loss 0.5218, logits_real -0.1709, logits_fake -0.1674,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.9552, rec_loss 0.0313, lpips_loss 0.2502, g_loss 0.1663, disc_weight 0.4000, disc_adaptive_weight 4.0469, d_loss 0.5175, logits_real -0.1699, logits_fake -0.1661,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.9359, rec_loss 0.0311, lpips_loss 0.2498, g_loss 0.1650, disc_weight 0.4000, disc_adaptive_weight 3.9669, d_loss 0.5130, logits_real -0.1688, logits_fake -0.1649,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.9162, rec_loss 0.0295, lpips_loss 0.2489, g_loss 0.1640, disc_weight 0.4000, disc_adaptive_weight 3.8886, d_loss 0.5081, logits_real -0.1680, logits_fake -0.1639,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.9407, rec_loss 0.0288, lpips_loss 0.2473, g_loss 0.1628, disc_weight 0.4000, disc_adaptive_weight 4.0851, d_loss 0.5044, logits_real -0.1671, logits_fake -0.1629,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.9532, rec_loss 0.0295, lpips_loss 0.2490, g_loss 0.1616, disc_weight 0.4000, disc_adaptive_weight 4.1723, d_loss 0.5018, logits_real -0.1661, logits_fake -0.1617,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.9671, rec_loss 0.0292, lpips_loss 0.2489, g_loss 0.1606, disc_weight 0.4000, disc_adaptive_weight 4.2868, d_loss 0.4984, logits_real -0.1650, logits_fake -0.1605,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.9604, rec_loss 0.0292, lpips_loss 0.2480, g_loss 0.1593, disc_weight 0.4000, disc_adaptive_weight 4.2874, d_loss 0.4954, logits_real -0.1642, logits_fake -0.1590,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.9579, rec_loss 0.0291, lpips_loss 0.2475, g_loss 0.1581, disc_weight 0.4000, disc_adaptive_weight 4.3081, d_loss 0.4921, logits_real -0.1629, logits_fake -0.1577,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.9757, rec_loss 0.0286, lpips_loss 0.2478, g_loss 0.1570, disc_weight 0.4000, disc_adaptive_weight 4.4552, d_loss 0.4890, logits_real -0.1618, logits_fake -0.1566,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.9725, rec_loss 0.0276, lpips_loss 0.2453, g_loss 0.1556, disc_weight 0.4000, disc_adaptive_weight 4.4947, d_loss 0.4850, logits_real -0.1607, logits_fake -0.1555,
Train Epoch: [1/30] Iters:[560/1093] gen_loss 0.9654, rec_loss 0.0281, lpips_loss 0.2457, g_loss 0.1543, disc_weight 0.4000, disc_adaptive_weight 4.4767, d_loss 0.4828, logits_real -0.1597, logits_fake -0.1543,
