Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.3832, rec_loss 0.0833, lpips_loss 0.6393, g_loss -0.0226, disc_weight 0.4000, disc_adaptive_weight 16.4970, d_loss 0.6992, logits_real 0.0415, logits_fake 0.0226,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.2660, rec_loss 0.0765, lpips_loss 0.6207, g_loss -0.0306, disc_weight 0.4000, disc_adaptive_weight 14.8461, d_loss 0.6778, logits_real 0.0412, logits_fake 0.0297,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.2106, rec_loss 0.0720, lpips_loss 0.6029, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 14.1697, d_loss 0.6586, logits_real 0.0407, logits_fake 0.0330,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.1936, rec_loss 0.0652, lpips_loss 0.5770, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 12.9443, d_loss 0.6436, logits_real 0.0401, logits_fake 0.0346,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.0962, rec_loss 0.0562, lpips_loss 0.5260, g_loss -0.0369, disc_weight 0.4000, disc_adaptive_weight 13.1907, d_loss 0.6342, logits_real 0.0392, logits_fake 0.0373,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.0221, rec_loss 0.0468, lpips_loss 0.4574, g_loss -0.0366, disc_weight 0.4000, disc_adaptive_weight 13.2372, d_loss 0.6258, logits_real 0.0382, logits_fake 0.0366,
Train Epoch: [1/30] Iters:[230/1093] gen_loss -0.0288, rec_loss 0.0378, lpips_loss 0.3800, g_loss -0.0359, disc_weight 0.4000, disc_adaptive_weight 12.4160, d_loss 0.6192, logits_real 0.0374, logits_fake 0.0362,
Train Epoch: [1/30] Iters:[240/1093] gen_loss -0.1124, rec_loss 0.0285, lpips_loss 0.3032, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 12.1628, d_loss 0.6135, logits_real 0.0366, logits_fake 0.0366,
Train Epoch: [1/30] Iters:[250/1093] gen_loss -0.1823, rec_loss 0.0212, lpips_loss 0.2344, g_loss -0.0377, disc_weight 0.4000, disc_adaptive_weight 11.6576, d_loss 0.6066, logits_real 0.0357, logits_fake 0.0377,
Train Epoch: [1/30] Iters:[260/1093] gen_loss -0.1573, rec_loss 0.0168, lpips_loss 0.1901, g_loss -0.0366, disc_weight 0.4000, disc_adaptive_weight 9.9471, d_loss 0.5974, logits_real 0.0348, logits_fake 0.0367,
Train Epoch: [1/30] Iters:[270/1093] gen_loss -0.1243, rec_loss 0.0146, lpips_loss 0.1660, g_loss -0.0365, disc_weight 0.4000, disc_adaptive_weight 8.3094, d_loss 0.5894, logits_real 0.0340, logits_fake 0.0367,
Train Epoch: [1/30] Iters:[280/1093] gen_loss -0.1097, rec_loss 0.0132, lpips_loss 0.1553, g_loss -0.0364, disc_weight 0.4000, disc_adaptive_weight 7.5799, d_loss 0.5824, logits_real 0.0331, logits_fake 0.0368,
Train Epoch: [1/30] Iters:[290/1093] gen_loss -0.0439, rec_loss 0.0123, lpips_loss 0.1494, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 5.6115, d_loss 0.5744, logits_real 0.0321, logits_fake 0.0363,
Train Epoch: [1/30] Iters:[300/1093] gen_loss -0.0067, rec_loss 0.0118, lpips_loss 0.1447, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 4.7153, d_loss 0.5672, logits_real 0.0316, logits_fake 0.0347,
Train Epoch: [1/30] Iters:[310/1093] gen_loss -0.0085, rec_loss 0.0114, lpips_loss 0.1421, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 4.7016, d_loss 0.5609, logits_real 0.0308, logits_fake 0.0342,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.0042, rec_loss 0.0112, lpips_loss 0.1402, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.3965, d_loss 0.5547, logits_real 0.0299, logits_fake 0.0334,
Train Epoch: [1/30] Iters:[330/1093] gen_loss -0.0014, rec_loss 0.0109, lpips_loss 0.1389, g_loss -0.0329, disc_weight 0.4000, disc_adaptive_weight 4.6022, d_loss 0.5487, logits_real 0.0294, logits_fake 0.0327,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.0008, rec_loss 0.0109, lpips_loss 0.1387, g_loss -0.0321, disc_weight 0.4000, disc_adaptive_weight 4.6407, d_loss 0.5427, logits_real 0.0288, logits_fake 0.0317,
Train Epoch: [1/30] Iters:[350/1093] gen_loss -0.0116, rec_loss 0.0109, lpips_loss 0.1383, g_loss -0.0312, disc_weight 0.4000, disc_adaptive_weight 5.1641, d_loss 0.5378, logits_real 0.0277, logits_fake 0.0313,
Train Epoch: [1/30] Iters:[360/1093] gen_loss -0.0131, rec_loss 0.0109, lpips_loss 0.1383, g_loss -0.0308, disc_weight 0.4000, disc_adaptive_weight 5.2848, d_loss 0.5329, logits_real 0.0273, logits_fake 0.0309,
Train Epoch: [1/30] Iters:[370/1093] gen_loss -0.0109, rec_loss 0.0110, lpips_loss 0.1386, g_loss -0.0304, disc_weight 0.4000, disc_adaptive_weight 5.2747, d_loss 0.5282, logits_real 0.0265, logits_fake 0.0305,
Train Epoch: [1/30] Iters:[380/1093] gen_loss -0.0036, rec_loss 0.0111, lpips_loss 0.1388, g_loss -0.0297, disc_weight 0.4000, disc_adaptive_weight 5.1436, d_loss 0.5239, logits_real 0.0254, logits_fake 0.0298,
Train Epoch: [1/30] Iters:[390/1093] gen_loss -0.0039, rec_loss 0.0109, lpips_loss 0.1378, g_loss -0.0295, disc_weight 0.4000, disc_adaptive_weight 5.1527, d_loss 0.5199, logits_real 0.0246, logits_fake 0.0296,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.0161, rec_loss 0.0110, lpips_loss 0.1381, g_loss -0.0291, disc_weight 0.4000, disc_adaptive_weight 4.5347, d_loss 0.5164, logits_real 0.0239, logits_fake 0.0291,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.0329, rec_loss 0.0109, lpips_loss 0.1380, g_loss -0.0280, disc_weight 0.4000, disc_adaptive_weight 4.1218, d_loss 0.5125, logits_real 0.0228, logits_fake 0.0282,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.0367, rec_loss 0.0107, lpips_loss 0.1377, g_loss -0.0275, disc_weight 0.4000, disc_adaptive_weight 4.0333, d_loss 0.5089, logits_real 0.0222, logits_fake 0.0276,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.0449, rec_loss 0.0108, lpips_loss 0.1374, g_loss -0.0270, disc_weight 0.4000, disc_adaptive_weight 3.8185, d_loss 0.5050, logits_real 0.0217, logits_fake 0.0270,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.0496, rec_loss 0.0108, lpips_loss 0.1376, g_loss -0.0262, disc_weight 0.4000, disc_adaptive_weight 3.7640, d_loss 0.5020, logits_real 0.0210, logits_fake 0.0265,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.0390, rec_loss 0.0106, lpips_loss 0.1365, g_loss -0.0256, disc_weight 0.4000, disc_adaptive_weight 4.2453, d_loss 0.4978, logits_real 0.0204, logits_fake 0.0258,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.0380, rec_loss 0.0106, lpips_loss 0.1363, g_loss -0.0252, disc_weight 0.4000, disc_adaptive_weight 4.3252, d_loss 0.4942, logits_real 0.0200, logits_fake 0.0252,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.0392, rec_loss 0.0107, lpips_loss 0.1365, g_loss -0.0244, disc_weight 0.4000, disc_adaptive_weight 4.4122, d_loss 0.4911, logits_real 0.0193, logits_fake 0.0245,
