Train Epoch: [1/30] Iters:[170/1093] gen_loss 1.2660, rec_loss 0.0357, lpips_loss 0.3753, g_loss 0.1099, disc_weight 0.4000, disc_adaptive_weight 7.7633, d_loss 0.6456, logits_real -0.2065, logits_fake -0.1107,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 1.0308, rec_loss 0.0270, lpips_loss 0.3069, g_loss 0.0991, disc_weight 0.4000, disc_adaptive_weight 7.0769, d_loss 0.6363, logits_real -0.1911, logits_fake -0.0996,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.8724, rec_loss 0.0216, lpips_loss 0.2640, g_loss 0.0942, disc_weight 0.4000, disc_adaptive_weight 6.3017, d_loss 0.6272, logits_real -0.1757, logits_fake -0.0946,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.7678, rec_loss 0.0192, lpips_loss 0.2403, g_loss 0.0949, disc_weight 0.4000, disc_adaptive_weight 5.4868, d_loss 0.6224, logits_real -0.1605, logits_fake -0.0944,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.6898, rec_loss 0.0174, lpips_loss 0.2225, g_loss 0.0980, disc_weight 0.4000, disc_adaptive_weight 4.6947, d_loss 0.6218, logits_real -0.1467, logits_fake -0.0964,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.7184, rec_loss 0.0164, lpips_loss 0.2085, g_loss 0.1007, disc_weight 0.4000, disc_adaptive_weight 4.9287, d_loss 0.6303, logits_real -0.1345, logits_fake -0.0994,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.7571, rec_loss 0.0156, lpips_loss 0.1968, g_loss 0.1021, disc_weight 0.4000, disc_adaptive_weight 5.3766, d_loss 0.6402, logits_real -0.1243, logits_fake -0.1024,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.8105, rec_loss 0.0148, lpips_loss 0.1864, g_loss 0.1051, disc_weight 0.4000, disc_adaptive_weight 5.8560, d_loss 0.6500, logits_real -0.1170, logits_fake -0.1052,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.8310, rec_loss 0.0142, lpips_loss 0.1782, g_loss 0.1040, disc_weight 0.4000, disc_adaptive_weight 6.1753, d_loss 0.6534, logits_real -0.1122, logits_fake -0.1046,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.8311, rec_loss 0.0137, lpips_loss 0.1709, g_loss 0.1039, disc_weight 0.4000, disc_adaptive_weight 6.2546, d_loss 0.6534, logits_real -0.1096, logits_fake -0.1039,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.7653, rec_loss 0.0133, lpips_loss 0.1648, g_loss 0.1054, disc_weight 0.4000, disc_adaptive_weight 5.6152, d_loss 0.6441, logits_real -0.1088, logits_fake -0.1056,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.7017, rec_loss 0.0131, lpips_loss 0.1606, g_loss 0.1076, disc_weight 0.4000, disc_adaptive_weight 4.9252, d_loss 0.6309, logits_real -0.1092, logits_fake -0.1074,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.6610, rec_loss 0.0128, lpips_loss 0.1575, g_loss 0.1083, disc_weight 0.4000, disc_adaptive_weight 4.5339, d_loss 0.6190, logits_real -0.1096, logits_fake -0.1081,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.6363, rec_loss 0.0126, lpips_loss 0.1547, g_loss 0.1094, disc_weight 0.4000, disc_adaptive_weight 4.2872, d_loss 0.6096, logits_real -0.1102, logits_fake -0.1090,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.6174, rec_loss 0.0124, lpips_loss 0.1531, g_loss 0.1101, disc_weight 0.4000, disc_adaptive_weight 4.1075, d_loss 0.6003, logits_real -0.1107, logits_fake -0.1096,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.6003, rec_loss 0.0121, lpips_loss 0.1509, g_loss 0.1100, disc_weight 0.4000, disc_adaptive_weight 3.9791, d_loss 0.5917, logits_real -0.1112, logits_fake -0.1097,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.6315, rec_loss 0.0119, lpips_loss 0.1494, g_loss 0.1107, disc_weight 0.4000, disc_adaptive_weight 4.2416, d_loss 0.5835, logits_real -0.1116, logits_fake -0.1106,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.6590, rec_loss 0.0119, lpips_loss 0.1494, g_loss 0.1114, disc_weight 0.4000, disc_adaptive_weight 4.4585, d_loss 0.5759, logits_real -0.1120, logits_fake -0.1114,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.6634, rec_loss 0.0120, lpips_loss 0.1493, g_loss 0.1120, disc_weight 0.4000, disc_adaptive_weight 4.4785, d_loss 0.5692, logits_real -0.1124, logits_fake -0.1121,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.7054, rec_loss 0.0121, lpips_loss 0.1501, g_loss 0.1126, disc_weight 0.4000, disc_adaptive_weight 4.8179, d_loss 0.5623, logits_real -0.1125, logits_fake -0.1128,
