Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.3884, rec_loss 0.0725, p_loss 0.4871, quant_error 0.5214, utilization 0.0400, perplexity 692.3416,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.3602, rec_loss 0.0708, p_loss 0.4760, quant_error 0.5126, utilization 0.0452, perplexity 815.7359,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.3294, rec_loss 0.0695, p_loss 0.4617, quant_error 0.5020, utilization 0.0511, perplexity 967.3627,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.2924, rec_loss 0.0677, p_loss 0.4472, quant_error 0.4881, utilization 0.0575, perplexity 1145.5936,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.2481, rec_loss 0.0647, p_loss 0.4309, quant_error 0.4743, utilization 0.0643, perplexity 1364.5276,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.2185, rec_loss 0.0630, p_loss 0.4166, quant_error 0.4665, utilization 0.0726, perplexity 1679.7068,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 1.1830, rec_loss 0.0601, p_loss 0.4021, quant_error 0.4593, utilization 0.0826, perplexity 2133.1029,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.1501, rec_loss 0.0580, p_loss 0.3878, quant_error 0.4506, utilization 0.0926, perplexity 2645.6587,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 1.1222, rec_loss 0.0561, p_loss 0.3745, quant_error 0.4447, utilization 0.1044, perplexity 3339.6425,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 1.0833, rec_loss 0.0538, p_loss 0.3590, quant_error 0.4322, utilization 0.1182, perplexity 4235.4936,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 1.0389, rec_loss 0.0507, p_loss 0.3441, quant_error 0.4178, utilization 0.1309, perplexity 5213.9073,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 1.0085, rec_loss 0.0491, p_loss 0.3301, quant_error 0.4091, utilization 0.1440, perplexity 6301.4539,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 0.9689, rec_loss 0.0464, p_loss 0.3167, quant_error 0.3957, utilization 0.1571, perplexity 7489.2248,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 0.9403, rec_loss 0.0453, p_loss 0.3042, quant_error 0.3853, utilization 0.1686, perplexity 8603.9186,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 0.9192, rec_loss 0.0440, p_loss 0.2958, quant_error 0.3788, utilization 0.1775, perplexity 9502.3115,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 0.8960, rec_loss 0.0434, p_loss 0.2856, quant_error 0.3692, utilization 0.1851, perplexity 10258.1660,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 0.8734, rec_loss 0.0423, p_loss 0.2769, quant_error 0.3606, utilization 0.1904, perplexity 10808.1938,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 0.8507, rec_loss 0.0410, p_loss 0.2695, quant_error 0.3517, utilization 0.1941, perplexity 11189.7171,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.8281, rec_loss 0.0391, p_loss 0.2640, quant_error 0.3443, utilization 0.1970, perplexity 11463.0518,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.8180, rec_loss 0.0387, p_loss 0.2600, quant_error 0.3403, utilization 0.1995, perplexity 11716.8185,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.8061, rec_loss 0.0376, p_loss 0.2582, quant_error 0.3357, utilization 0.2013, perplexity 11909.3753,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.7973, rec_loss 0.0375, p_loss 0.2558, quant_error 0.3299, utilization 0.2026, perplexity 12038.9697,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 0.7971, rec_loss 0.0373, p_loss 0.2559, quant_error 0.3308, utilization 0.2040, perplexity 12177.0306,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 0.7893, rec_loss 0.0368, p_loss 0.2536, quant_error 0.3275, utilization 0.2051, perplexity 12297.8322,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 0.7778, rec_loss 0.0361, p_loss 0.2509, quant_error 0.3228, utilization 0.2057, perplexity 12350.9668,
