Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.1270, rec_loss 0.0272, p_loss 0.1951, quant_error 0.2278, utilization 0.2046, perplexity 12018.7608,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.1242, rec_loss 0.0271, p_loss 0.1959, quant_error 0.2255, utilization 0.2043, perplexity 12014.3185,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.1223, rec_loss 0.0269, p_loss 0.1950, quant_error 0.2243, utilization 0.2040, perplexity 11971.6295,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.1138, rec_loss 0.0266, p_loss 0.1935, quant_error 0.2213, utilization 0.2039, perplexity 11938.5356,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.1061, rec_loss 0.0259, p_loss 0.1916, quant_error 0.2195, utilization 0.2038, perplexity 11893.2986,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.1181, rec_loss 0.0263, p_loss 0.1916, quant_error 0.2216, utilization 0.2036, perplexity 11884.6868,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 1.1279, rec_loss 0.0262, p_loss 0.1925, quant_error 0.2237, utilization 0.2040, perplexity 11918.1184,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.1400, rec_loss 0.0268, p_loss 0.1940, quant_error 0.2250, utilization 0.2043, perplexity 11964.3620,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 1.1544, rec_loss 0.0271, p_loss 0.1949, quant_error 0.2280, utilization 0.2046, perplexity 12018.7912,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 1.1539, rec_loss 0.0270, p_loss 0.1941, quant_error 0.2274, utilization 0.2044, perplexity 12009.9849,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 1.1504, rec_loss 0.0266, p_loss 0.1940, quant_error 0.2260, utilization 0.2045, perplexity 12030.3696,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 1.1594, rec_loss 0.0268, p_loss 0.1934, quant_error 0.2279, utilization 0.2046, perplexity 12029.2453,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 1.1523, rec_loss 0.0261, p_loss 0.1918, quant_error 0.2265, utilization 0.2047, perplexity 12027.9838,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 1.1578, rec_loss 0.0264, p_loss 0.1913, quant_error 0.2271, utilization 0.2047, perplexity 12022.5228,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 1.1684, rec_loss 0.0266, p_loss 0.1927, quant_error 0.2289, utilization 0.2049, perplexity 12043.9810,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 1.1609, rec_loss 0.0265, p_loss 0.1910, quant_error 0.2268, utilization 0.2046, perplexity 12009.7741,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 1.1547, rec_loss 0.0262, p_loss 0.1900, quant_error 0.2252, utilization 0.2047, perplexity 12036.0696,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 1.1481, rec_loss 0.0261, p_loss 0.1897, quant_error 0.2230, utilization 0.2044, perplexity 12021.3386,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 1.1439, rec_loss 0.0255, p_loss 0.1900, quant_error 0.2223, utilization 0.2043, perplexity 12004.7646,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 1.1465, rec_loss 0.0256, p_loss 0.1905, quant_error 0.2226, utilization 0.2043, perplexity 12022.5390,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 1.1482, rec_loss 0.0255, p_loss 0.1916, quant_error 0.2227, utilization 0.2045, perplexity 12054.0772,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 1.1478, rec_loss 0.0257, p_loss 0.1915, quant_error 0.2220, utilization 0.2042, perplexity 12012.9032,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 1.1602, rec_loss 0.0259, p_loss 0.1930, quant_error 0.2250, utilization 0.2047, perplexity 12049.4015,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 1.1556, rec_loss 0.0257, p_loss 0.1930, quant_error 0.2236, utilization 0.2048, perplexity 12069.7935,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 1.1448, rec_loss 0.0252, p_loss 0.1917, quant_error 0.2215, utilization 0.2045, perplexity 12025.1062,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 1.1478, rec_loss 0.0252, p_loss 0.1911, quant_error 0.2224, utilization 0.2045, perplexity 12010.3739,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 1.1541, rec_loss 0.0253, p_loss 0.1914, quant_error 0.2238, utilization 0.2045, perplexity 12035.0420,
