Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.1126, rec_loss 0.0540, p_loss 0.3643, quant_error 0.4234, utilization 0.0619, perplexity 1230.0786,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.0879, rec_loss 0.0524, p_loss 0.3561, quant_error 0.4138, utilization 0.0647, perplexity 1340.9913,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.0654, rec_loss 0.0512, p_loss 0.3471, quant_error 0.4060, utilization 0.0668, perplexity 1430.1828,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.0432, rec_loss 0.0498, p_loss 0.3406, quant_error 0.3969, utilization 0.0682, perplexity 1493.7682,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.0161, rec_loss 0.0477, p_loss 0.3317, quant_error 0.3895, utilization 0.0690, perplexity 1535.4459,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.0103, rec_loss 0.0475, p_loss 0.3272, quant_error 0.3891, utilization 0.0699, perplexity 1583.3083,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 1.0027, rec_loss 0.0466, p_loss 0.3241, quant_error 0.3887, utilization 0.0709, perplexity 1637.4989,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.0014, rec_loss 0.0466, p_loss 0.3228, quant_error 0.3881, utilization 0.0721, perplexity 1702.2352,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 0.9993, rec_loss 0.0465, p_loss 0.3193, quant_error 0.3898, utilization 0.0725, perplexity 1729.6526,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 0.9935, rec_loss 0.0463, p_loss 0.3170, quant_error 0.3874, utilization 0.0727, perplexity 1746.3994,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 0.9810, rec_loss 0.0451, p_loss 0.3148, quant_error 0.3830, utilization 0.0728, perplexity 1758.2496,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 0.9815, rec_loss 0.0454, p_loss 0.3129, quant_error 0.3841, utilization 0.0727, perplexity 1763.2175,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 0.9675, rec_loss 0.0444, p_loss 0.3082, quant_error 0.3797, utilization 0.0726, perplexity 1761.2996,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 0.9665, rec_loss 0.0448, p_loss 0.3064, quant_error 0.3784, utilization 0.0733, perplexity 1798.3699,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 0.9640, rec_loss 0.0444, p_loss 0.3053, quant_error 0.3786, utilization 0.0737, perplexity 1825.2142,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 0.9559, rec_loss 0.0445, p_loss 0.3011, quant_error 0.3742, utilization 0.0740, perplexity 1845.8686,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 0.9469, rec_loss 0.0440, p_loss 0.2969, quant_error 0.3720, utilization 0.0744, perplexity 1869.2040,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 0.9408, rec_loss 0.0434, p_loss 0.2969, quant_error 0.3689, utilization 0.0744, perplexity 1877.2008,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.9313, rec_loss 0.0422, p_loss 0.2958, quant_error 0.3667, utilization 0.0743, perplexity 1878.2961,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.9320, rec_loss 0.0423, p_loss 0.2955, quant_error 0.3670, utilization 0.0742, perplexity 1879.7021,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.9302, rec_loss 0.0418, p_loss 0.2963, quant_error 0.3671, utilization 0.0742, perplexity 1885.9145,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.9260, rec_loss 0.0418, p_loss 0.2949, quant_error 0.3641, utilization 0.0742, perplexity 1887.0926,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 0.9287, rec_loss 0.0419, p_loss 0.2942, quant_error 0.3672, utilization 0.0739, perplexity 1883.7453,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 0.9262, rec_loss 0.0419, p_loss 0.2927, quant_error 0.3663, utilization 0.0737, perplexity 1879.6406,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 0.9184, rec_loss 0.0409, p_loss 0.2914, quant_error 0.3645, utilization 0.0736, perplexity 1882.0794,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 0.9187, rec_loss 0.0409, p_loss 0.2901, quant_error 0.3662, utilization 0.0736, perplexity 1887.1721,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 0.9235, rec_loss 0.0411, p_loss 0.2913, quant_error 0.3689, utilization 0.0735, perplexity 1883.7599,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 0.9129, rec_loss 0.0407, p_loss 0.2884, quant_error 0.3632, utilization 0.0735, perplexity 1885.8467,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 0.9111, rec_loss 0.0408, p_loss 0.2887, quant_error 0.3610, utilization 0.0734, perplexity 1883.4669,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 0.9109, rec_loss 0.0413, p_loss 0.2878, quant_error 0.3592, utilization 0.0732, perplexity 1882.9347,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 0.9107, rec_loss 0.0413, p_loss 0.2880, quant_error 0.3592, utilization 0.0731, perplexity 1877.8458,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 0.9018, rec_loss 0.0402, p_loss 0.2867, quant_error 0.3572, utilization 0.0730, perplexity 1878.3547,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 0.9025, rec_loss 0.0400, p_loss 0.2868, quant_error 0.3588, utilization 0.0728, perplexity 1871.0697,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 0.9026, rec_loss 0.0399, p_loss 0.2852, quant_error 0.3607, utilization 0.0729, perplexity 1878.6711,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 0.9032, rec_loss 0.0401, p_loss 0.2845, quant_error 0.3609, utilization 0.0730, perplexity 1880.4096,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 0.8977, rec_loss 0.0396, p_loss 0.2831, quant_error 0.3596, utilization 0.0729, perplexity 1883.1230,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 0.8961, rec_loss 0.0400, p_loss 0.2820, quant_error 0.3572, utilization 0.0727, perplexity 1877.0185,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 0.8956, rec_loss 0.0400, p_loss 0.2807, quant_error 0.3575, utilization 0.0730, perplexity 1896.4838,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 0.8839, rec_loss 0.0391, p_loss 0.2788, quant_error 0.3527, utilization 0.0725, perplexity 1877.5942,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 0.8781, rec_loss 0.0383, p_loss 0.2781, quant_error 0.3514, utilization 0.0723, perplexity 1873.2275,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 0.8770, rec_loss 0.0383, p_loss 0.2776, quant_error 0.3510, utilization 0.0722, perplexity 1870.9519,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 0.8725, rec_loss 0.0377, p_loss 0.2774, quant_error 0.3498, utilization 0.0721, perplexity 1865.3840,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 0.8735, rec_loss 0.0375, p_loss 0.2783, quant_error 0.3509, utilization 0.0719, perplexity 1854.8413,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 0.8774, rec_loss 0.0381, p_loss 0.2788, quant_error 0.3516, utilization 0.0719, perplexity 1861.3091,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 0.8757, rec_loss 0.0381, p_loss 0.2783, quant_error 0.3500, utilization 0.0720, perplexity 1867.4303,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 0.8768, rec_loss 0.0384, p_loss 0.2771, quant_error 0.3510, utilization 0.0718, perplexity 1860.2258,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 0.8802, rec_loss 0.0386, p_loss 0.2758, quant_error 0.3543, utilization 0.0717, perplexity 1859.7138,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 0.8762, rec_loss 0.0386, p_loss 0.2738, quant_error 0.3528, utilization 0.0715, perplexity 1848.5962,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 0.8778, rec_loss 0.0385, p_loss 0.2738, quant_error 0.3549, utilization 0.0714, perplexity 1848.5766,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 0.8864, rec_loss 0.0390, p_loss 0.2738, quant_error 0.3607, utilization 0.0713, perplexity 1838.9604,
Train Epoch: [1/2] Iters:[750/20018] transplant_loss 0.8781, rec_loss 0.0383, p_loss 0.2724, quant_error 0.3574, utilization 0.0713, perplexity 1838.6879,
Train Epoch: [1/2] Iters:[760/20018] transplant_loss 0.8760, rec_loss 0.0380, p_loss 0.2737, quant_error 0.3557, utilization 0.0712, perplexity 1840.5860,
Train Epoch: [1/2] Iters:[770/20018] transplant_loss 0.8702, rec_loss 0.0377, p_loss 0.2740, quant_error 0.3511, utilization 0.0711, perplexity 1840.2682,
Train Epoch: [1/2] Iters:[780/20018] transplant_loss 0.8667, rec_loss 0.0374, p_loss 0.2733, quant_error 0.3497, utilization 0.0711, perplexity 1838.7482,
