Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.2409, rec_loss 0.0272, lpips_loss 0.1911, g_loss 0.0079, disc_weight 0.4000, disc_adaptive_weight 2.8031, d_loss 0.7128, logits_real -0.0126, logits_fake -0.0082,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.2380, rec_loss 0.0267, lpips_loss 0.1891, g_loss 0.0079, disc_weight 0.4000, disc_adaptive_weight 2.7537, d_loss 0.6927, logits_real -0.0120, logits_fake -0.0080,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.2379, rec_loss 0.0268, lpips_loss 0.1887, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 2.8478, d_loss 0.6764, logits_real -0.0114, logits_fake -0.0078,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.2366, rec_loss 0.0267, lpips_loss 0.1883, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 2.7978, d_loss 0.6620, logits_real -0.0110, logits_fake -0.0074,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.2344, rec_loss 0.0267, lpips_loss 0.1871, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 2.8632, d_loss 0.6492, logits_real -0.0106, logits_fake -0.0071,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.2327, rec_loss 0.0266, lpips_loss 0.1866, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 2.9643, d_loss 0.6379, logits_real -0.0093, logits_fake -0.0067,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.2314, rec_loss 0.0266, lpips_loss 0.1872, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 2.9387, d_loss 0.6274, logits_real -0.0085, logits_fake -0.0063,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.2299, rec_loss 0.0273, lpips_loss 0.1881, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 2.8382, d_loss 0.6190, logits_real -0.0074, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.2263, rec_loss 0.0270, lpips_loss 0.1875, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 2.8763, d_loss 0.6098, logits_real -0.0063, logits_fake -0.0049,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.2252, rec_loss 0.0269, lpips_loss 0.1884, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 2.8595, d_loss 0.6018, logits_real -0.0057, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.2218, rec_loss 0.0269, lpips_loss 0.1875, g_loss 0.0026, disc_weight 0.4000, disc_adaptive_weight 2.8995, d_loss 0.5944, logits_real -0.0048, logits_fake -0.0031,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.2190, rec_loss 0.0267, lpips_loss 0.1866, g_loss 0.0020, disc_weight 0.4000, disc_adaptive_weight 2.8736, d_loss 0.5885, logits_real -0.0044, logits_fake -0.0024,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.2144, rec_loss 0.0259, lpips_loss 0.1848, g_loss 0.0012, disc_weight 0.4000, disc_adaptive_weight 2.8863, d_loss 0.5811, logits_real -0.0039, logits_fake -0.0015,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.2122, rec_loss 0.0263, lpips_loss 0.1846, g_loss 0.0003, disc_weight 0.4000, disc_adaptive_weight 2.9078, d_loss 0.5768, logits_real -0.0030, logits_fake -0.0008,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.2101, rec_loss 0.0262, lpips_loss 0.1851, g_loss -0.0006, disc_weight 0.4000, disc_adaptive_weight 2.9193, d_loss 0.5714, logits_real -0.0020, logits_fake 0.0005,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.2102, rec_loss 0.0268, lpips_loss 0.1868, g_loss -0.0011, disc_weight 0.4000, disc_adaptive_weight 2.9108, d_loss 0.5667, logits_real -0.0012, logits_fake 0.0012,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.2096, rec_loss 0.0274, lpips_loss 0.1883, g_loss -0.0020, disc_weight 0.4000, disc_adaptive_weight 2.9995, d_loss 0.5622, logits_real -0.0002, logits_fake 0.0020,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.2067, rec_loss 0.0273, lpips_loss 0.1878, g_loss -0.0028, disc_weight 0.4000, disc_adaptive_weight 3.0585, d_loss 0.5580, logits_real 0.0011, logits_fake 0.0029,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.2050, rec_loss 0.0270, lpips_loss 0.1886, g_loss -0.0034, disc_weight 0.4000, disc_adaptive_weight 3.0970, d_loss 0.5525, logits_real 0.0018, logits_fake 0.0038,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.2012, rec_loss 0.0272, lpips_loss 0.1879, g_loss -0.0044, disc_weight 0.4000, disc_adaptive_weight 3.1445, d_loss 0.5485, logits_real 0.0028, logits_fake 0.0045,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1964, rec_loss 0.0265, lpips_loss 0.1865, g_loss -0.0053, disc_weight 0.4000, disc_adaptive_weight 3.1459, d_loss 0.5442, logits_real 0.0037, logits_fake 0.0051,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1932, rec_loss 0.0266, lpips_loss 0.1857, g_loss -0.0061, disc_weight 0.4000, disc_adaptive_weight 3.1809, d_loss 0.5399, logits_real 0.0045, logits_fake 0.0060,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1918, rec_loss 0.0269, lpips_loss 0.1871, g_loss -0.0070, disc_weight 0.4000, disc_adaptive_weight 3.1894, d_loss 0.5364, logits_real 0.0052, logits_fake 0.0069,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1875, rec_loss 0.0268, lpips_loss 0.1850, g_loss -0.0078, disc_weight 0.4000, disc_adaptive_weight 3.1552, d_loss 0.5328, logits_real 0.0060, logits_fake 0.0078,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.1808, rec_loss 0.0265, lpips_loss 0.1842, g_loss -0.0088, disc_weight 0.4000, disc_adaptive_weight 3.3668, d_loss 0.5295, logits_real 0.0069, logits_fake 0.0087,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.1746, rec_loss 0.0263, lpips_loss 0.1838, g_loss -0.0097, disc_weight 0.4000, disc_adaptive_weight 3.5771, d_loss 0.5258, logits_real 0.0075, logits_fake 0.0096,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.1710, rec_loss 0.0256, lpips_loss 0.1839, g_loss -0.0108, disc_weight 0.4000, disc_adaptive_weight 3.5406, d_loss 0.5220, logits_real 0.0083, logits_fake 0.0106,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.1692, rec_loss 0.0258, lpips_loss 0.1844, g_loss -0.0113, disc_weight 0.4000, disc_adaptive_weight 3.5919, d_loss 0.5192, logits_real 0.0089, logits_fake 0.0114,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.1674, rec_loss 0.0258, lpips_loss 0.1860, g_loss -0.0120, disc_weight 0.4000, disc_adaptive_weight 3.6912, d_loss 0.5165, logits_real 0.0096, logits_fake 0.0121,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.1695, rec_loss 0.0261, lpips_loss 0.1860, g_loss -0.0127, disc_weight 0.4000, disc_adaptive_weight 3.3744, d_loss 0.5138, logits_real 0.0102, logits_fake 0.0128,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.1715, rec_loss 0.0263, lpips_loss 0.1879, g_loss -0.0136, disc_weight 0.4000, disc_adaptive_weight 3.1440, d_loss 0.5115, logits_real 0.0112, logits_fake 0.0137,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.1694, rec_loss 0.0264, lpips_loss 0.1883, g_loss -0.0142, disc_weight 0.4000, disc_adaptive_weight 3.2178, d_loss 0.5091, logits_real 0.0121, logits_fake 0.0144,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.1653, rec_loss 0.0259, lpips_loss 0.1870, g_loss -0.0151, disc_weight 0.4000, disc_adaptive_weight 3.1652, d_loss 0.5058, logits_real 0.0130, logits_fake 0.0149,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.1634, rec_loss 0.0261, lpips_loss 0.1867, g_loss -0.0159, disc_weight 0.4000, disc_adaptive_weight 3.1028, d_loss 0.5033, logits_real 0.0138, logits_fake 0.0157,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.1618, rec_loss 0.0261, lpips_loss 0.1871, g_loss -0.0166, disc_weight 0.4000, disc_adaptive_weight 3.1164, d_loss 0.5010, logits_real 0.0146, logits_fake 0.0167,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.1569, rec_loss 0.0260, lpips_loss 0.1852, g_loss -0.0173, disc_weight 0.4000, disc_adaptive_weight 3.1606, d_loss 0.4981, logits_real 0.0154, logits_fake 0.0176,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.1562, rec_loss 0.0261, lpips_loss 0.1851, g_loss -0.0182, disc_weight 0.4000, disc_adaptive_weight 3.0416, d_loss 0.4963, logits_real 0.0161, logits_fake 0.0182,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.1544, rec_loss 0.0266, lpips_loss 0.1857, g_loss -0.0187, disc_weight 0.4000, disc_adaptive_weight 3.0902, d_loss 0.4950, logits_real 0.0167, logits_fake 0.0191,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.1513, rec_loss 0.0266, lpips_loss 0.1864, g_loss -0.0196, disc_weight 0.4000, disc_adaptive_weight 3.1467, d_loss 0.4926, logits_real 0.0174, logits_fake 0.0197,
