Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.2265, rec_loss 0.0291, lpips_loss 0.2139, g_loss -0.0033, disc_weight 0.4000, disc_adaptive_weight 4.7802, d_loss 0.7066, logits_real -0.0103, logits_fake 0.0026,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.2218, rec_loss 0.0287, lpips_loss 0.2122, g_loss -0.0041, disc_weight 0.4000, disc_adaptive_weight 4.5707, d_loss 0.6868, logits_real -0.0094, logits_fake 0.0038,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.2216, rec_loss 0.0288, lpips_loss 0.2119, g_loss -0.0041, disc_weight 0.4000, disc_adaptive_weight 4.5381, d_loss 0.6708, logits_real -0.0086, logits_fake 0.0041,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.2228, rec_loss 0.0287, lpips_loss 0.2112, g_loss -0.0038, disc_weight 0.4000, disc_adaptive_weight 4.1523, d_loss 0.6564, logits_real -0.0079, logits_fake 0.0041,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.2240, rec_loss 0.0286, lpips_loss 0.2091, g_loss -0.0037, disc_weight 0.4000, disc_adaptive_weight 3.5423, d_loss 0.6446, logits_real -0.0072, logits_fake 0.0038,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.2255, rec_loss 0.0283, lpips_loss 0.2076, g_loss -0.0032, disc_weight 0.4000, disc_adaptive_weight 3.1900, d_loss 0.6345, logits_real -0.0057, logits_fake 0.0034,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.2264, rec_loss 0.0282, lpips_loss 0.2078, g_loss -0.0028, disc_weight 0.4000, disc_adaptive_weight 3.4620, d_loss 0.6244, logits_real -0.0048, logits_fake 0.0027,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.2258, rec_loss 0.0289, lpips_loss 0.2085, g_loss -0.0032, disc_weight 0.4000, disc_adaptive_weight 3.5560, d_loss 0.6159, logits_real -0.0038, logits_fake 0.0028,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.2229, rec_loss 0.0286, lpips_loss 0.2077, g_loss -0.0036, disc_weight 0.4000, disc_adaptive_weight 3.5379, d_loss 0.6075, logits_real -0.0028, logits_fake 0.0032,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.2245, rec_loss 0.0286, lpips_loss 0.2088, g_loss -0.0035, disc_weight 0.4000, disc_adaptive_weight 3.6090, d_loss 0.5997, logits_real -0.0023, logits_fake 0.0033,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.2213, rec_loss 0.0287, lpips_loss 0.2077, g_loss -0.0042, disc_weight 0.4000, disc_adaptive_weight 3.7201, d_loss 0.5926, logits_real -0.0015, logits_fake 0.0038,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.2171, rec_loss 0.0286, lpips_loss 0.2067, g_loss -0.0048, disc_weight 0.4000, disc_adaptive_weight 3.7270, d_loss 0.5870, logits_real -0.0010, logits_fake 0.0045,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.2138, rec_loss 0.0279, lpips_loss 0.2047, g_loss -0.0054, disc_weight 0.4000, disc_adaptive_weight 3.5197, d_loss 0.5799, logits_real -0.0004, logits_fake 0.0052,
