Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.0480, rec_loss 0.0263, lpips_loss 0.1962, g_loss -0.0565, disc_weight 0.4000, disc_adaptive_weight 4.6909, d_loss 0.7128, logits_real 0.0375, logits_fake 0.0571,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.0019, rec_loss 0.0260, lpips_loss 0.1940, g_loss -0.0533, disc_weight 0.4000, disc_adaptive_weight 3.9174, d_loss 0.6936, logits_real 0.0362, logits_fake 0.0534,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.0584, rec_loss 0.0259, lpips_loss 0.1927, g_loss -0.0489, disc_weight 0.4000, disc_adaptive_weight 3.1817, d_loss 0.6775, logits_real 0.0345, logits_fake 0.0492,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.0845, rec_loss 0.0257, lpips_loss 0.1906, g_loss -0.0443, disc_weight 0.4000, disc_adaptive_weight 2.9422, d_loss 0.6617, logits_real 0.0323, logits_fake 0.0446,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.1054, rec_loss 0.0253, lpips_loss 0.1881, g_loss -0.0405, disc_weight 0.4000, disc_adaptive_weight 2.6725, d_loss 0.6487, logits_real 0.0306, logits_fake 0.0413,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.1145, rec_loss 0.0251, lpips_loss 0.1867, g_loss -0.0374, disc_weight 0.4000, disc_adaptive_weight 2.5974, d_loss 0.6363, logits_real 0.0290, logits_fake 0.0382,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.1174, rec_loss 0.0250, lpips_loss 0.1865, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 2.7226, d_loss 0.6253, logits_real 0.0271, logits_fake 0.0352,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.1253, rec_loss 0.0256, lpips_loss 0.1871, g_loss -0.0318, disc_weight 0.4000, disc_adaptive_weight 2.7532, d_loss 0.6159, logits_real 0.0250, logits_fake 0.0323,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.1353, rec_loss 0.0252, lpips_loss 0.1866, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 2.5857, d_loss 0.6076, logits_real 0.0231, logits_fake 0.0302,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.1413, rec_loss 0.0252, lpips_loss 0.1876, g_loss -0.0274, disc_weight 0.4000, disc_adaptive_weight 2.6054, d_loss 0.5999, logits_real 0.0213, logits_fake 0.0280,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.1433, rec_loss 0.0251, lpips_loss 0.1867, g_loss -0.0252, disc_weight 0.4000, disc_adaptive_weight 2.7121, d_loss 0.5936, logits_real 0.0191, logits_fake 0.0258,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.1487, rec_loss 0.0249, lpips_loss 0.1860, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 2.6817, d_loss 0.5872, logits_real 0.0172, logits_fake 0.0237,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.1517, rec_loss 0.0243, lpips_loss 0.1840, g_loss -0.0213, disc_weight 0.4000, disc_adaptive_weight 2.6700, d_loss 0.5801, logits_real 0.0154, logits_fake 0.0213,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.1553, rec_loss 0.0248, lpips_loss 0.1837, g_loss -0.0193, disc_weight 0.4000, disc_adaptive_weight 2.7514, d_loss 0.5753, logits_real 0.0139, logits_fake 0.0190,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.1610, rec_loss 0.0247, lpips_loss 0.1841, g_loss -0.0175, disc_weight 0.4000, disc_adaptive_weight 2.7230, d_loss 0.5697, logits_real 0.0123, logits_fake 0.0169,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.1689, rec_loss 0.0252, lpips_loss 0.1855, g_loss -0.0158, disc_weight 0.4000, disc_adaptive_weight 2.6356, d_loss 0.5651, logits_real 0.0109, logits_fake 0.0152,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.1770, rec_loss 0.0257, lpips_loss 0.1867, g_loss -0.0137, disc_weight 0.4000, disc_adaptive_weight 2.5900, d_loss 0.5608, logits_real 0.0093, logits_fake 0.0133,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.1817, rec_loss 0.0256, lpips_loss 0.1863, g_loss -0.0118, disc_weight 0.4000, disc_adaptive_weight 2.5732, d_loss 0.5565, logits_real 0.0078, logits_fake 0.0116,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1870, rec_loss 0.0252, lpips_loss 0.1869, g_loss -0.0098, disc_weight 0.4000, disc_adaptive_weight 2.5754, d_loss 0.5514, logits_real 0.0061, logits_fake 0.0099,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1901, rec_loss 0.0254, lpips_loss 0.1861, g_loss -0.0079, disc_weight 0.4000, disc_adaptive_weight 2.7427, d_loss 0.5477, logits_real 0.0045, logits_fake 0.0081,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1918, rec_loss 0.0247, lpips_loss 0.1847, g_loss -0.0060, disc_weight 0.4000, disc_adaptive_weight 2.9784, d_loss 0.5425, logits_real 0.0029, logits_fake 0.0059,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1945, rec_loss 0.0250, lpips_loss 0.1841, g_loss -0.0049, disc_weight 0.4000, disc_adaptive_weight 2.9340, d_loss 0.5385, logits_real 0.0015, logits_fake 0.0045,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1995, rec_loss 0.0253, lpips_loss 0.1852, g_loss -0.0036, disc_weight 0.4000, disc_adaptive_weight 2.9474, d_loss 0.5358, logits_real 0.0001, logits_fake 0.0032,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.2022, rec_loss 0.0252, lpips_loss 0.1834, g_loss -0.0020, disc_weight 0.4000, disc_adaptive_weight 3.0591, d_loss 0.5321, logits_real -0.0013, logits_fake 0.0019,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.2066, rec_loss 0.0250, lpips_loss 0.1829, g_loss -0.0005, disc_weight 0.4000, disc_adaptive_weight 3.0031, d_loss 0.5284, logits_real -0.0029, logits_fake 0.0004,
