Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.7364, rec_loss 0.0270, p_loss 0.1932, quant_error 0.2065, utilization 0.1654, perplexity 1681.2957,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.6377, rec_loss 0.0267, p_loss 0.1927, quant_error 0.2006, utilization 0.1831, perplexity 1855.4452,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.5410, rec_loss 0.0263, p_loss 0.1905, quant_error 0.1949, utilization 0.2011, perplexity 2045.1149,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.4584, rec_loss 0.0259, p_loss 0.1884, quant_error 0.1891, utilization 0.2183, perplexity 2233.0647,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.3784, rec_loss 0.0250, p_loss 0.1850, quant_error 0.1841, utilization 0.2347, perplexity 2420.0257,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.3302, rec_loss 0.0252, p_loss 0.1838, quant_error 0.1817, utilization 0.2505, perplexity 2617.7044,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 1.2904, rec_loss 0.0250, p_loss 0.1838, quant_error 0.1801, utilization 0.2649, perplexity 2810.2657,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.2614, rec_loss 0.0255, p_loss 0.1840, quant_error 0.1787, utilization 0.2787, perplexity 2998.9409,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 1.2309, rec_loss 0.0255, p_loss 0.1836, quant_error 0.1778, utilization 0.2925, perplexity 3198.3090,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 1.1949, rec_loss 0.0252, p_loss 0.1822, quant_error 0.1746, utilization 0.3061, perplexity 3403.8543,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 1.1598, rec_loss 0.0248, p_loss 0.1818, quant_error 0.1713, utilization 0.3191, perplexity 3605.3375,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 1.1387, rec_loss 0.0247, p_loss 0.1793, quant_error 0.1697, utilization 0.3315, perplexity 3801.1766,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 1.1033, rec_loss 0.0240, p_loss 0.1769, quant_error 0.1658, utilization 0.3432, perplexity 3991.0016,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 1.0836, rec_loss 0.0242, p_loss 0.1759, quant_error 0.1634, utilization 0.3545, perplexity 4177.1357,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 1.0708, rec_loss 0.0243, p_loss 0.1766, quant_error 0.1619, utilization 0.3649, perplexity 4352.8047,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 1.0474, rec_loss 0.0244, p_loss 0.1745, quant_error 0.1589, utilization 0.3746, perplexity 4515.8268,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 1.0259, rec_loss 0.0242, p_loss 0.1732, quant_error 0.1564, utilization 0.3840, perplexity 4681.2859,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 1.0024, rec_loss 0.0238, p_loss 0.1723, quant_error 0.1533, utilization 0.3931, perplexity 4844.1433,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.9787, rec_loss 0.0232, p_loss 0.1715, quant_error 0.1504, utilization 0.4015, perplexity 4994.0403,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.9671, rec_loss 0.0232, p_loss 0.1713, quant_error 0.1494, utilization 0.4098, perplexity 5141.6733,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.9515, rec_loss 0.0228, p_loss 0.1715, quant_error 0.1476, utilization 0.4179, perplexity 5286.1961,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.9367, rec_loss 0.0228, p_loss 0.1709, quant_error 0.1451, utilization 0.4257, perplexity 5423.2725,
