dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 6.1208, rec_loss 0.0591, p_loss 0.6443, utilization 0.0013, perplexity 14.0806,
Train Epoch: [1/30] Iters:[350/1875] loss 5.5168, rec_loss 0.0602, p_loss 0.6409, utilization 0.0013, perplexity 14.3606,
Train Epoch: [1/30] Iters:[360/1875] loss 5.7520, rec_loss 0.0572, p_loss 0.6364, utilization 0.0014, perplexity 14.5431,
Train Epoch: [1/30] Iters:[370/1875] loss 6.1336, rec_loss 0.0530, p_loss 0.6242, utilization 0.0014, perplexity 14.4762,
Train Epoch: [1/30] Iters:[380/1875] loss 5.6211, rec_loss 0.0529, p_loss 0.6117, utilization 0.0014, perplexity 14.2694,
Train Epoch: [1/30] Iters:[390/1875] loss 6.4898, rec_loss 0.0510, p_loss 0.5987, utilization 0.0014, perplexity 14.2191,
Train Epoch: [1/30] Iters:[400/1875] loss 7.3322, rec_loss 0.0487, p_loss 0.5790, utilization 0.0014, perplexity 14.3320,
Train Epoch: [1/30] Iters:[410/1875] loss 7.2943, rec_loss 0.0487, p_loss 0.5649, utilization 0.0014, perplexity 14.7666,
Train Epoch: [1/30] Iters:[420/1875] loss 7.6796, rec_loss 0.0480, p_loss 0.5481, utilization 0.0015, perplexity 15.1360,
Train Epoch: [1/30] Iters:[430/1875] loss 8.5344, rec_loss 0.0453, p_loss 0.5343, utilization 0.0015, perplexity 15.4789,
Train Epoch: [1/30] Iters:[440/1875] loss 8.1289, rec_loss 0.0437, p_loss 0.5215, utilization 0.0016, perplexity 15.9636,
Train Epoch: [1/30] Iters:[450/1875] loss 8.2589, rec_loss 0.0430, p_loss 0.5178, utilization 0.0016, perplexity 16.2750,
Train Epoch: [1/30] Iters:[460/1875] loss 8.7746, rec_loss 0.0422, p_loss 0.5093, utilization 0.0016, perplexity 17.1060,
Train Epoch: [1/30] Iters:[470/1875] loss 8.5906, rec_loss 0.0416, p_loss 0.5039, utilization 0.0016, perplexity 18.0668,
Train Epoch: [1/30] Iters:[480/1875] loss 8.0745, rec_loss 0.0411, p_loss 0.4941, utilization 0.0016, perplexity 19.0425,
