dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 13.3756, rec_loss 0.0699, p_loss 0.6449, utilization 0.0001, perplexity 3.7655,
Train Epoch: [1/30] Iters:[350/1875] loss 13.0068, rec_loss 0.0704, p_loss 0.6406, utilization 0.0001, perplexity 3.7671,
Train Epoch: [1/30] Iters:[360/1875] loss 11.1847, rec_loss 0.0690, p_loss 0.6332, utilization 0.0001, perplexity 3.8089,
Train Epoch: [1/30] Iters:[370/1875] loss 12.2226, rec_loss 0.0655, p_loss 0.6332, utilization 0.0001, perplexity 3.7225,
Train Epoch: [1/30] Iters:[380/1875] loss 11.7204, rec_loss 0.0644, p_loss 0.6275, utilization 0.0001, perplexity 3.6969,
Train Epoch: [1/30] Iters:[390/1875] loss 10.8839, rec_loss 0.0663, p_loss 0.6279, utilization 0.0001, perplexity 3.7823,
Train Epoch: [1/30] Iters:[400/1875] loss 11.2688, rec_loss 0.0633, p_loss 0.6215, utilization 0.0001, perplexity 3.8089,
Train Epoch: [1/30] Iters:[410/1875] loss 11.2808, rec_loss 0.0634, p_loss 0.6150, utilization 0.0001, perplexity 3.7772,
Train Epoch: [1/30] Iters:[420/1875] loss 9.9328, rec_loss 0.0646, p_loss 0.5984, utilization 0.0001, perplexity 3.8481,
Train Epoch: [1/30] Iters:[430/1875] loss 10.9494, rec_loss 0.0622, p_loss 0.5887, utilization 0.0001, perplexity 3.8514,
Train Epoch: [1/30] Iters:[440/1875] loss 11.1020, rec_loss 0.0588, p_loss 0.5690, utilization 0.0001, perplexity 3.8117,
Train Epoch: [1/30] Iters:[450/1875] loss 11.5159, rec_loss 0.0596, p_loss 0.5565, utilization 0.0001, perplexity 3.8096,
Train Epoch: [1/30] Iters:[460/1875] loss 11.6944, rec_loss 0.0567, p_loss 0.5432, utilization 0.0001, perplexity 3.8517,
Train Epoch: [1/30] Iters:[470/1875] loss 12.5677, rec_loss 0.0536, p_loss 0.5372, utilization 0.0001, perplexity 3.8234,
Train Epoch: [1/30] Iters:[480/1875] loss 12.4666, rec_loss 0.0548, p_loss 0.5306, utilization 0.0002, perplexity 3.8478,
Train Epoch: [1/30] Iters:[490/1875] loss 12.2952, rec_loss 0.0549, p_loss 0.5266, utilization 0.0002, perplexity 3.8908,
Train Epoch: [1/30] Iters:[500/1875] loss 11.7327, rec_loss 0.0541, p_loss 0.5219, utilization 0.0002, perplexity 3.8948,
Train Epoch: [1/30] Iters:[510/1875] loss 11.8934, rec_loss 0.0557, p_loss 0.5194, utilization 0.0002, perplexity 3.9656,
Train Epoch: [1/30] Iters:[520/1875] loss 11.2724, rec_loss 0.0557, p_loss 0.5190, utilization 0.0002, perplexity 4.0158,
Train Epoch: [1/30] Iters:[530/1875] loss 10.9216, rec_loss 0.0545, p_loss 0.5160, utilization 0.0002, perplexity 4.0175,
Train Epoch: [1/30] Iters:[540/1875] loss 11.0441, rec_loss 0.0540, p_loss 0.5115, utilization 0.0002, perplexity 4.0486,
Train Epoch: [1/30] Iters:[550/1875] loss 10.2269, rec_loss 0.0539, p_loss 0.5094, utilization 0.0002, perplexity 4.1288,
Train Epoch: [1/30] Iters:[560/1875] loss 9.9135, rec_loss 0.0510, p_loss 0.5073, utilization 0.0002, perplexity 4.0817,
Train Epoch: [1/30] Iters:[570/1875] loss 9.8845, rec_loss 0.0511, p_loss 0.5043, utilization 0.0002, perplexity 4.1194,
Train Epoch: [1/30] Iters:[580/1875] loss 9.6631, rec_loss 0.0515, p_loss 0.5017, utilization 0.0002, perplexity 4.2128,
Train Epoch: [1/30] Iters:[590/1875] loss 8.8365, rec_loss 0.0525, p_loss 0.4988, utilization 0.0002, perplexity 4.2357,
Train Epoch: [1/30] Iters:[600/1875] loss 9.5975, rec_loss 0.0507, p_loss 0.5014, utilization 0.0002, perplexity 4.2020,
Train Epoch: [1/30] Iters:[610/1875] loss 9.3397, rec_loss 0.0533, p_loss 0.4983, utilization 0.0002, perplexity 4.3255,
Train Epoch: [1/30] Iters:[620/1875] loss 8.9073, rec_loss 0.0546, p_loss 0.4938, utilization 0.0002, perplexity 4.4155,
Train Epoch: [1/30] Iters:[630/1875] loss 8.0757, rec_loss 0.0549, p_loss 0.4914, utilization 0.0002, perplexity 4.3867,
Train Epoch: [1/30] Iters:[640/1875] loss 8.2161, rec_loss 0.0534, p_loss 0.4985, utilization 0.0002, perplexity 4.3971,
Train Epoch: [1/30] Iters:[650/1875] loss 7.8676, rec_loss 0.0540, p_loss 0.4939, utilization 0.0002, perplexity 4.4337,
Train Epoch: [1/30] Iters:[660/1875] loss 7.3971, rec_loss 0.0536, p_loss 0.4918, utilization 0.0002, perplexity 4.4704,
Train Epoch: [1/30] Iters:[670/1875] loss 7.3878, rec_loss 0.0521, p_loss 0.4887, utilization 0.0002, perplexity 4.4844,
Train Epoch: [1/30] Iters:[680/1875] loss 7.4343, rec_loss 0.0521, p_loss 0.4847, utilization 0.0002, perplexity 4.5141,
Train Epoch: [1/30] Iters:[690/1875] loss 6.9304, rec_loss 0.0539, p_loss 0.4742, utilization 0.0002, perplexity 4.6011,
Train Epoch: [1/30] Iters:[700/1875] loss 6.5516, rec_loss 0.0539, p_loss 0.4677, utilization 0.0002, perplexity 4.7409,
Train Epoch: [1/30] Iters:[710/1875] loss 6.2871, rec_loss 0.0512, p_loss 0.4637, utilization 0.0002, perplexity 4.7439,
Train Epoch: [1/30] Iters:[720/1875] loss 5.9698, rec_loss 0.0524, p_loss 0.4614, utilization 0.0002, perplexity 4.7126,
Train Epoch: [1/30] Iters:[730/1875] loss 6.1675, rec_loss 0.0504, p_loss 0.4622, utilization 0.0002, perplexity 4.8063,
Train Epoch: [1/30] Iters:[740/1875] loss 6.3590, rec_loss 0.0491, p_loss 0.4609, utilization 0.0002, perplexity 4.9184,
Train Epoch: [1/30] Iters:[750/1875] loss 6.2676, rec_loss 0.0497, p_loss 0.4594, utilization 0.0002, perplexity 4.9518,
Train Epoch: [1/30] Iters:[760/1875] loss 6.0975, rec_loss 0.0542, p_loss 0.4615, utilization 0.0002, perplexity 4.9656,
Train Epoch: [1/30] Iters:[770/1875] loss 5.9121, rec_loss 0.0520, p_loss 0.4652, utilization 0.0002, perplexity 5.1108,
Train Epoch: [1/30] Iters:[780/1875] loss 5.8628, rec_loss 0.0519, p_loss 0.4649, utilization 0.0002, perplexity 5.1513,
Train Epoch: [1/30] Iters:[790/1875] loss 5.4216, rec_loss 0.0523, p_loss 0.4660, utilization 0.0002, perplexity 5.1349,
Train Epoch: [1/30] Iters:[800/1875] loss 4.9428, rec_loss 0.0518, p_loss 0.4661, utilization 0.0002, perplexity 5.2033,
Train Epoch: [1/30] Iters:[810/1875] loss 4.9305, rec_loss 0.0481, p_loss 0.4618, utilization 0.0002, perplexity 5.2646,
Train Epoch: [1/30] Iters:[820/1875] loss 4.8189, rec_loss 0.0485, p_loss 0.4615, utilization 0.0002, perplexity 5.2888,
Train Epoch: [1/30] Iters:[830/1875] loss 4.8857, rec_loss 0.0484, p_loss 0.4581, utilization 0.0002, perplexity 5.3691,
Train Epoch: [1/30] Iters:[840/1875] loss 4.9294, rec_loss 0.0487, p_loss 0.4558, utilization 0.0002, perplexity 5.4816,
Train Epoch: [1/30] Iters:[850/1875] loss 4.8709, rec_loss 0.0483, p_loss 0.4542, utilization 0.0002, perplexity 5.5722,
Train Epoch: [1/30] Iters:[860/1875] loss 4.8445, rec_loss 0.0481, p_loss 0.4560, utilization 0.0002, perplexity 5.6644,
Train Epoch: [1/30] Iters:[870/1875] loss 4.8061, rec_loss 0.0490, p_loss 0.4568, utilization 0.0002, perplexity 5.7585,
Train Epoch: [1/30] Iters:[880/1875] loss 4.5698, rec_loss 0.0505, p_loss 0.4576, utilization 0.0002, perplexity 5.7739,
Train Epoch: [1/30] Iters:[890/1875] loss 4.4670, rec_loss 0.0497, p_loss 0.4542, utilization 0.0002, perplexity 5.7639,
Train Epoch: [1/30] Iters:[900/1875] loss 4.3577, rec_loss 0.0497, p_loss 0.4531, utilization 0.0002, perplexity 5.7404,
Train Epoch: [1/30] Iters:[910/1875] loss 4.3735, rec_loss 0.0496, p_loss 0.4481, utilization 0.0002, perplexity 5.8647,
Train Epoch: [1/30] Iters:[920/1875] loss 4.2968, rec_loss 0.0468, p_loss 0.4406, utilization 0.0002, perplexity 5.8974,
Train Epoch: [1/30] Iters:[930/1875] loss 4.1599, rec_loss 0.0453, p_loss 0.4374, utilization 0.0002, perplexity 5.9458,
Train Epoch: [1/30] Iters:[940/1875] loss 4.1587, rec_loss 0.0440, p_loss 0.4360, utilization 0.0002, perplexity 5.9621,
Train Epoch: [1/30] Iters:[950/1875] loss 4.4658, rec_loss 0.0429, p_loss 0.4337, utilization 0.0002, perplexity 6.0090,
Train Epoch: [1/30] Iters:[960/1875] loss 4.5704, rec_loss 0.0427, p_loss 0.4352, utilization 0.0002, perplexity 5.9592,
Train Epoch: [1/30] Iters:[970/1875] loss 4.6741, rec_loss 0.0439, p_loss 0.4358, utilization 0.0002, perplexity 5.9604,
