dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: fsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0
training_pre: fsq
saver_name_pre: fsq_CelebAHQ_model_8_4_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 0.3040, rec_loss 0.0160, p_loss 0.2880, utilization 0.1346, perplexity 2016.7952,
Train Epoch: [1/30] Iters:[350/1875] loss 0.3006, rec_loss 0.0158, p_loss 0.2849, utilization 0.1391, perplexity 2093.2163,
Train Epoch: [1/30] Iters:[360/1875] loss 0.2975, rec_loss 0.0156, p_loss 0.2819, utilization 0.1447, perplexity 2215.5970,
Train Epoch: [1/30] Iters:[370/1875] loss 0.2977, rec_loss 0.0156, p_loss 0.2820, utilization 0.1505, perplexity 2374.5218,
Train Epoch: [1/30] Iters:[380/1875] loss 0.2942, rec_loss 0.0151, p_loss 0.2791, utilization 0.1518, perplexity 2371.6000,
Train Epoch: [1/30] Iters:[390/1875] loss 0.2899, rec_loss 0.0145, p_loss 0.2754, utilization 0.1567, perplexity 2478.5093,
Train Epoch: [1/30] Iters:[400/1875] loss 0.2856, rec_loss 0.0145, p_loss 0.2711, utilization 0.1599, perplexity 2566.0381,
Train Epoch: [1/30] Iters:[410/1875] loss 0.2803, rec_loss 0.0144, p_loss 0.2659, utilization 0.1638, perplexity 2659.3358,
Train Epoch: [1/30] Iters:[420/1875] loss 0.2752, rec_loss 0.0138, p_loss 0.2614, utilization 0.1666, perplexity 2700.5831,
Train Epoch: [1/30] Iters:[430/1875] loss 0.2713, rec_loss 0.0141, p_loss 0.2573, utilization 0.1708, perplexity 2842.3558,
Train Epoch: [1/30] Iters:[440/1875] loss 0.2685, rec_loss 0.0140, p_loss 0.2545, utilization 0.1742, perplexity 2935.3015,
Train Epoch: [1/30] Iters:[450/1875] loss 0.2660, rec_loss 0.0139, p_loss 0.2520, utilization 0.1795, perplexity 3088.5257,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2634, rec_loss 0.0137, p_loss 0.2497, utilization 0.1836, perplexity 3186.4779,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2589, rec_loss 0.0131, p_loss 0.2457, utilization 0.1889, perplexity 3346.2125,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2534, rec_loss 0.0124, p_loss 0.2410, utilization 0.1938, perplexity 3465.6679,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2498, rec_loss 0.0120, p_loss 0.2377, utilization 0.1983, perplexity 3601.9030,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2459, rec_loss 0.0116, p_loss 0.2343, utilization 0.2008, perplexity 3652.6097,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2424, rec_loss 0.0114, p_loss 0.2310, utilization 0.2045, perplexity 3804.0428,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2405, rec_loss 0.0113, p_loss 0.2292, utilization 0.2071, perplexity 3917.9399,
Train Epoch: [1/30] Iters:[530/1875] loss 0.2410, rec_loss 0.0113, p_loss 0.2297, utilization 0.2098, perplexity 3999.7164,
Train Epoch: [1/30] Iters:[540/1875] loss 0.2414, rec_loss 0.0112, p_loss 0.2302, utilization 0.2109, perplexity 4017.7202,
Train Epoch: [1/30] Iters:[550/1875] loss 0.2418, rec_loss 0.0109, p_loss 0.2309, utilization 0.2150, perplexity 4228.2438,
Train Epoch: [1/30] Iters:[560/1875] loss 0.2402, rec_loss 0.0110, p_loss 0.2292, utilization 0.2170, perplexity 4294.4784,
Train Epoch: [1/30] Iters:[570/1875] loss 0.2393, rec_loss 0.0110, p_loss 0.2283, utilization 0.2192, perplexity 4365.9125,
