dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 0.2919, rec_loss 0.0143, p_loss 0.2608, utilization 0.3484, perplexity 11865.6188,
Train Epoch: [1/30] Iters:[350/1875] loss 0.2891, rec_loss 0.0139, p_loss 0.2589, utilization 0.3527, perplexity 12244.6693,
Train Epoch: [1/30] Iters:[360/1875] loss 0.2844, rec_loss 0.0132, p_loss 0.2553, utilization 0.3593, perplexity 12562.7359,
Train Epoch: [1/30] Iters:[370/1875] loss 0.2843, rec_loss 0.0130, p_loss 0.2557, utilization 0.3671, perplexity 13091.1904,
Train Epoch: [1/30] Iters:[380/1875] loss 0.2805, rec_loss 0.0128, p_loss 0.2525, utilization 0.3681, perplexity 13112.7967,
Train Epoch: [1/30] Iters:[390/1875] loss 0.2718, rec_loss 0.0119, p_loss 0.2445, utilization 0.3725, perplexity 13436.8176,
Train Epoch: [1/30] Iters:[400/1875] loss 0.2635, rec_loss 0.0115, p_loss 0.2367, utilization 0.3780, perplexity 13708.3385,
Train Epoch: [1/30] Iters:[410/1875] loss 0.2588, rec_loss 0.0113, p_loss 0.2324, utilization 0.3844, perplexity 14195.6391,
Train Epoch: [1/30] Iters:[420/1875] loss 0.2519, rec_loss 0.0111, p_loss 0.2258, utilization 0.3897, perplexity 14581.7602,
Train Epoch: [1/30] Iters:[430/1875] loss 0.2476, rec_loss 0.0110, p_loss 0.2215, utilization 0.3960, perplexity 15184.8345,
Train Epoch: [1/30] Iters:[440/1875] loss 0.2421, rec_loss 0.0108, p_loss 0.2163, utilization 0.3979, perplexity 15310.4458,
Train Epoch: [1/30] Iters:[450/1875] loss 0.2396, rec_loss 0.0105, p_loss 0.2137, utilization 0.4003, perplexity 15515.7828,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2364, rec_loss 0.0105, p_loss 0.2102, utilization 0.4018, perplexity 15616.7648,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2348, rec_loss 0.0102, p_loss 0.2085, utilization 0.4046, perplexity 15774.3909,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2309, rec_loss 0.0096, p_loss 0.2052, utilization 0.4047, perplexity 15737.7253,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2300, rec_loss 0.0094, p_loss 0.2046, utilization 0.4094, perplexity 16070.2430,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2279, rec_loss 0.0092, p_loss 0.2029, utilization 0.4107, perplexity 16215.0704,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2253, rec_loss 0.0091, p_loss 0.2003, utilization 0.4123, perplexity 16421.9948,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2237, rec_loss 0.0091, p_loss 0.1985, utilization 0.4104, perplexity 16318.2554,
Train Epoch: [1/30] Iters:[530/1875] loss 0.2237, rec_loss 0.0090, p_loss 0.1985, utilization 0.4108, perplexity 16335.0687,
Train Epoch: [1/30] Iters:[540/1875] loss 0.2256, rec_loss 0.0090, p_loss 0.2004, utilization 0.4089, perplexity 16108.2970,
Train Epoch: [1/30] Iters:[550/1875] loss 0.2244, rec_loss 0.0090, p_loss 0.1991, utilization 0.4113, perplexity 16321.3080,
Train Epoch: [1/30] Iters:[560/1875] loss 0.2235, rec_loss 0.0090, p_loss 0.1984, utilization 0.4117, perplexity 16280.1312,
Train Epoch: [1/30] Iters:[570/1875] loss 0.2247, rec_loss 0.0095, p_loss 0.1993, utilization 0.4161, perplexity 16572.0628,
Train Epoch: [1/30] Iters:[580/1875] loss 0.2263, rec_loss 0.0097, p_loss 0.2007, utilization 0.4188, perplexity 16835.5996,
Train Epoch: [1/30] Iters:[590/1875] loss 0.2222, rec_loss 0.0097, p_loss 0.1963, utilization 0.4226, perplexity 17192.8148,
Train Epoch: [1/30] Iters:[600/1875] loss 0.2198, rec_loss 0.0096, p_loss 0.1944, utilization 0.4227, perplexity 17026.1910,
Train Epoch: [1/30] Iters:[610/1875] loss 0.2168, rec_loss 0.0093, p_loss 0.1916, utilization 0.4260, perplexity 17296.1385,
Train Epoch: [1/30] Iters:[620/1875] loss 0.2120, rec_loss 0.0087, p_loss 0.1875, utilization 0.4269, perplexity 17378.8511,
Train Epoch: [1/30] Iters:[630/1875] loss 0.2092, rec_loss 0.0086, p_loss 0.1845, utilization 0.4288, perplexity 17474.5474,
Train Epoch: [1/30] Iters:[640/1875] loss 0.2093, rec_loss 0.0083, p_loss 0.1849, utilization 0.4300, perplexity 17600.5671,
Train Epoch: [1/30] Iters:[650/1875] loss 0.2098, rec_loss 0.0087, p_loss 0.1851, utilization 0.4316, perplexity 17808.3285,
Train Epoch: [1/30] Iters:[660/1875] loss 0.2077, rec_loss 0.0084, p_loss 0.1834, utilization 0.4312, perplexity 17871.4883,
Train Epoch: [1/30] Iters:[670/1875] loss 0.2066, rec_loss 0.0079, p_loss 0.1831, utilization 0.4318, perplexity 17874.1737,
Train Epoch: [1/30] Iters:[680/1875] loss 0.2028, rec_loss 0.0074, p_loss 0.1799, utilization 0.4329, perplexity 18048.9429,
Train Epoch: [1/30] Iters:[690/1875] loss 0.2014, rec_loss 0.0072, p_loss 0.1788, utilization 0.4322, perplexity 17980.3846,
Train Epoch: [1/30] Iters:[700/1875] loss 0.1996, rec_loss 0.0068, p_loss 0.1775, utilization 0.4329, perplexity 18019.1929,
Train Epoch: [1/30] Iters:[710/1875] loss 0.1987, rec_loss 0.0068, p_loss 0.1767, utilization 0.4337, perplexity 18035.3644,
Train Epoch: [1/30] Iters:[720/1875] loss 0.1995, rec_loss 0.0070, p_loss 0.1772, utilization 0.4343, perplexity 18221.7833,
Train Epoch: [1/30] Iters:[730/1875] loss 0.1992, rec_loss 0.0070, p_loss 0.1769, utilization 0.4352, perplexity 18269.3243,
Train Epoch: [1/30] Iters:[740/1875] loss 0.1989, rec_loss 0.0069, p_loss 0.1766, utilization 0.4361, perplexity 18359.6459,
Train Epoch: [1/30] Iters:[750/1875] loss 0.1972, rec_loss 0.0068, p_loss 0.1748, utilization 0.4355, perplexity 18394.3775,
Train Epoch: [1/30] Iters:[760/1875] loss 0.1996, rec_loss 0.0068, p_loss 0.1770, utilization 0.4373, perplexity 18524.1932,
Train Epoch: [1/30] Iters:[770/1875] loss 0.1964, rec_loss 0.0066, p_loss 0.1742, utilization 0.4358, perplexity 18367.4352,
Train Epoch: [1/30] Iters:[780/1875] loss 0.1957, rec_loss 0.0065, p_loss 0.1737, utilization 0.4335, perplexity 18219.7120,
Train Epoch: [1/30] Iters:[790/1875] loss 0.1918, rec_loss 0.0064, p_loss 0.1698, utilization 0.4330, perplexity 18226.9463,
Train Epoch: [1/30] Iters:[800/1875] loss 0.1925, rec_loss 0.0062, p_loss 0.1706, utilization 0.4339, perplexity 18309.2608,
Train Epoch: [1/30] Iters:[810/1875] loss 0.1897, rec_loss 0.0060, p_loss 0.1680, utilization 0.4321, perplexity 18181.1064,
Train Epoch: [1/30] Iters:[820/1875] loss 0.1900, rec_loss 0.0061, p_loss 0.1680, utilization 0.4326, perplexity 18303.7445,
Train Epoch: [1/30] Iters:[830/1875] loss 0.1895, rec_loss 0.0061, p_loss 0.1674, utilization 0.4316, perplexity 18196.2970,
Train Epoch: [1/30] Iters:[840/1875] loss 0.1917, rec_loss 0.0062, p_loss 0.1694, utilization 0.4329, perplexity 18260.0350,
Train Epoch: [1/30] Iters:[850/1875] loss 0.1898, rec_loss 0.0065, p_loss 0.1672, utilization 0.4328, perplexity 18353.8211,
Train Epoch: [1/30] Iters:[860/1875] loss 0.1902, rec_loss 0.0066, p_loss 0.1674, utilization 0.4319, perplexity 18202.4133,
Train Epoch: [1/30] Iters:[870/1875] loss 0.1896, rec_loss 0.0065, p_loss 0.1668, utilization 0.4324, perplexity 18210.1944,
Train Epoch: [1/30] Iters:[880/1875] loss 0.1899, rec_loss 0.0064, p_loss 0.1671, utilization 0.4317, perplexity 18152.0409,
Train Epoch: [1/30] Iters:[890/1875] loss 0.1870, rec_loss 0.0062, p_loss 0.1646, utilization 0.4288, perplexity 17982.7097,
Train Epoch: [1/30] Iters:[900/1875] loss 0.1847, rec_loss 0.0059, p_loss 0.1628, utilization 0.4290, perplexity 18019.6378,
Train Epoch: [1/30] Iters:[910/1875] loss 0.1816, rec_loss 0.0056, p_loss 0.1600, utilization 0.4290, perplexity 18161.7513,
