dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: mmd_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5
training_pre: mmd_vq
saver_name_pre: mmd_vq_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 7.0760, rec_loss 0.0399, p_loss 0.4929, utilization 0.0010, perplexity 10.8773,
Train Epoch: [1/30] Iters:[350/1875] loss 7.1472, rec_loss 0.0403, p_loss 0.4921, utilization 0.0010, perplexity 11.1654,
Train Epoch: [1/30] Iters:[360/1875] loss 7.0944, rec_loss 0.0400, p_loss 0.4836, utilization 0.0011, perplexity 11.5450,
Train Epoch: [1/30] Iters:[370/1875] loss 6.9894, rec_loss 0.0394, p_loss 0.4795, utilization 0.0011, perplexity 11.9577,
Train Epoch: [1/30] Iters:[380/1875] loss 6.5129, rec_loss 0.0388, p_loss 0.4746, utilization 0.0012, perplexity 12.4373,
Train Epoch: [1/30] Iters:[390/1875] loss 6.3421, rec_loss 0.0389, p_loss 0.4680, utilization 0.0013, perplexity 12.7953,
Train Epoch: [1/30] Iters:[400/1875] loss 6.3874, rec_loss 0.0382, p_loss 0.4599, utilization 0.0013, perplexity 13.4547,
Train Epoch: [1/30] Iters:[410/1875] loss 6.4056, rec_loss 0.0381, p_loss 0.4566, utilization 0.0013, perplexity 14.2735,
Train Epoch: [1/30] Iters:[420/1875] loss 6.4288, rec_loss 0.0384, p_loss 0.4520, utilization 0.0013, perplexity 14.9851,
Train Epoch: [1/30] Iters:[430/1875] loss 6.5260, rec_loss 0.0385, p_loss 0.4474, utilization 0.0013, perplexity 15.4889,
Train Epoch: [1/30] Iters:[440/1875] loss 6.3396, rec_loss 0.0378, p_loss 0.4464, utilization 0.0013, perplexity 16.2129,
Train Epoch: [1/30] Iters:[450/1875] loss 6.2855, rec_loss 0.0381, p_loss 0.4439, utilization 0.0013, perplexity 16.6188,
Train Epoch: [1/30] Iters:[460/1875] loss 5.9420, rec_loss 0.0383, p_loss 0.4380, utilization 0.0013, perplexity 16.8990,
Train Epoch: [1/30] Iters:[470/1875] loss 5.7323, rec_loss 0.0368, p_loss 0.4345, utilization 0.0013, perplexity 17.1415,
Train Epoch: [1/30] Iters:[480/1875] loss 5.7025, rec_loss 0.0362, p_loss 0.4295, utilization 0.0014, perplexity 17.4467,
Train Epoch: [1/30] Iters:[490/1875] loss 5.5127, rec_loss 0.0358, p_loss 0.4202, utilization 0.0014, perplexity 17.6822,
Train Epoch: [1/30] Iters:[500/1875] loss 5.0985, rec_loss 0.0347, p_loss 0.4139, utilization 0.0014, perplexity 17.8120,
