dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 0.2991, rec_loss 0.0134, p_loss 0.2697, utilization 0.0160, perplexity 684.5963,
Train Epoch: [1/30] Iters:[350/1875] loss 0.2973, rec_loss 0.0135, p_loss 0.2674, utilization 0.0161, perplexity 688.0559,
Train Epoch: [1/30] Iters:[360/1875] loss 0.2944, rec_loss 0.0132, p_loss 0.2644, utilization 0.0162, perplexity 687.5562,
Train Epoch: [1/30] Iters:[370/1875] loss 0.2972, rec_loss 0.0135, p_loss 0.2662, utilization 0.0162, perplexity 690.0215,
Train Epoch: [1/30] Iters:[380/1875] loss 0.2979, rec_loss 0.0130, p_loss 0.2676, utilization 0.0163, perplexity 683.4496,
Train Epoch: [1/30] Iters:[390/1875] loss 0.2983, rec_loss 0.0127, p_loss 0.2678, utilization 0.0164, perplexity 689.6945,
Train Epoch: [1/30] Iters:[400/1875] loss 0.2958, rec_loss 0.0126, p_loss 0.2654, utilization 0.0165, perplexity 700.7303,
Train Epoch: [1/30] Iters:[410/1875] loss 0.2958, rec_loss 0.0125, p_loss 0.2650, utilization 0.0166, perplexity 705.5197,
Train Epoch: [1/30] Iters:[420/1875] loss 0.2918, rec_loss 0.0121, p_loss 0.2617, utilization 0.0167, perplexity 717.5646,
Train Epoch: [1/30] Iters:[430/1875] loss 0.2870, rec_loss 0.0122, p_loss 0.2564, utilization 0.0168, perplexity 730.5680,
Train Epoch: [1/30] Iters:[440/1875] loss 0.2822, rec_loss 0.0123, p_loss 0.2514, utilization 0.0169, perplexity 736.7428,
Train Epoch: [1/30] Iters:[450/1875] loss 0.2815, rec_loss 0.0129, p_loss 0.2497, utilization 0.0170, perplexity 740.7467,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2796, rec_loss 0.0137, p_loss 0.2466, utilization 0.0170, perplexity 747.2495,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2784, rec_loss 0.0136, p_loss 0.2447, utilization 0.0172, perplexity 750.5466,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2754, rec_loss 0.0135, p_loss 0.2418, utilization 0.0172, perplexity 756.4236,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2717, rec_loss 0.0132, p_loss 0.2383, utilization 0.0173, perplexity 769.4081,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2686, rec_loss 0.0120, p_loss 0.2363, utilization 0.0174, perplexity 780.2738,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2627, rec_loss 0.0108, p_loss 0.2317, utilization 0.0175, perplexity 789.9458,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2578, rec_loss 0.0105, p_loss 0.2269, utilization 0.0176, perplexity 792.7527,
Train Epoch: [1/30] Iters:[530/1875] loss 0.2577, rec_loss 0.0102, p_loss 0.2268, utilization 0.0176, perplexity 796.0441,
Train Epoch: [1/30] Iters:[540/1875] loss 0.2591, rec_loss 0.0098, p_loss 0.2285, utilization 0.0177, perplexity 794.8130,
Train Epoch: [1/30] Iters:[550/1875] loss 0.2601, rec_loss 0.0099, p_loss 0.2293, utilization 0.0178, perplexity 801.5415,
Train Epoch: [1/30] Iters:[560/1875] loss 0.2593, rec_loss 0.0098, p_loss 0.2283, utilization 0.0178, perplexity 797.9584,
Train Epoch: [1/30] Iters:[570/1875] loss 0.2596, rec_loss 0.0098, p_loss 0.2282, utilization 0.0179, perplexity 807.8260,
Train Epoch: [1/30] Iters:[580/1875] loss 0.2583, rec_loss 0.0097, p_loss 0.2267, utilization 0.0180, perplexity 811.2385,
Train Epoch: [1/30] Iters:[590/1875] loss 0.2555, rec_loss 0.0099, p_loss 0.2233, utilization 0.0181, perplexity 817.3382,
Train Epoch: [1/30] Iters:[600/1875] loss 0.2525, rec_loss 0.0102, p_loss 0.2198, utilization 0.0182, perplexity 812.7341,
Train Epoch: [1/30] Iters:[610/1875] loss 0.2508, rec_loss 0.0100, p_loss 0.2182, utilization 0.0182, perplexity 822.4930,
Train Epoch: [1/30] Iters:[620/1875] loss 0.2473, rec_loss 0.0095, p_loss 0.2154, utilization 0.0183, perplexity 827.8631,
Train Epoch: [1/30] Iters:[630/1875] loss 0.2465, rec_loss 0.0095, p_loss 0.2141, utilization 0.0184, perplexity 830.3763,
Train Epoch: [1/30] Iters:[640/1875] loss 0.2473, rec_loss 0.0093, p_loss 0.2148, utilization 0.0185, perplexity 831.8084,
Train Epoch: [1/30] Iters:[650/1875] loss 0.2453, rec_loss 0.0088, p_loss 0.2129, utilization 0.0186, perplexity 844.5567,
Train Epoch: [1/30] Iters:[660/1875] loss 0.2437, rec_loss 0.0089, p_loss 0.2106, utilization 0.0187, perplexity 851.0291,
Train Epoch: [1/30] Iters:[670/1875] loss 0.2444, rec_loss 0.0089, p_loss 0.2110, utilization 0.0187, perplexity 851.5717,
Train Epoch: [1/30] Iters:[680/1875] loss 0.2410, rec_loss 0.0086, p_loss 0.2074, utilization 0.0188, perplexity 863.5952,
Train Epoch: [1/30] Iters:[690/1875] loss 0.2381, rec_loss 0.0085, p_loss 0.2045, utilization 0.0189, perplexity 866.5082,
Train Epoch: [1/30] Iters:[700/1875] loss 0.2360, rec_loss 0.0083, p_loss 0.2024, utilization 0.0190, perplexity 867.4970,
Train Epoch: [1/30] Iters:[710/1875] loss 0.2351, rec_loss 0.0081, p_loss 0.2018, utilization 0.0190, perplexity 869.8201,
Train Epoch: [1/30] Iters:[720/1875] loss 0.2370, rec_loss 0.0081, p_loss 0.2032, utilization 0.0191, perplexity 878.7776,
Train Epoch: [1/30] Iters:[730/1875] loss 0.2389, rec_loss 0.0084, p_loss 0.2047, utilization 0.0192, perplexity 880.7677,
Train Epoch: [1/30] Iters:[740/1875] loss 0.2390, rec_loss 0.0082, p_loss 0.2051, utilization 0.0193, perplexity 884.2932,
Train Epoch: [1/30] Iters:[750/1875] loss 0.2403, rec_loss 0.0082, p_loss 0.2062, utilization 0.0194, perplexity 888.6158,
Train Epoch: [1/30] Iters:[760/1875] loss 0.2393, rec_loss 0.0081, p_loss 0.2052, utilization 0.0195, perplexity 896.0455,
Train Epoch: [1/30] Iters:[770/1875] loss 0.2355, rec_loss 0.0080, p_loss 0.2019, utilization 0.0196, perplexity 891.0179,
Train Epoch: [1/30] Iters:[780/1875] loss 0.2364, rec_loss 0.0077, p_loss 0.2029, utilization 0.0196, perplexity 891.9041,
Train Epoch: [1/30] Iters:[790/1875] loss 0.2373, rec_loss 0.0078, p_loss 0.2030, utilization 0.0197, perplexity 897.9513,
Train Epoch: [1/30] Iters:[800/1875] loss 0.2359, rec_loss 0.0078, p_loss 0.2015, utilization 0.0198, perplexity 896.3340,
Train Epoch: [1/30] Iters:[810/1875] loss 0.2372, rec_loss 0.0079, p_loss 0.2024, utilization 0.0198, perplexity 896.3495,
Train Epoch: [1/30] Iters:[820/1875] loss 0.2372, rec_loss 0.0077, p_loss 0.2024, utilization 0.0199, perplexity 906.2415,
Train Epoch: [1/30] Iters:[830/1875] loss 0.2341, rec_loss 0.0078, p_loss 0.1992, utilization 0.0200, perplexity 905.3937,
Train Epoch: [1/30] Iters:[840/1875] loss 0.2335, rec_loss 0.0078, p_loss 0.1982, utilization 0.0200, perplexity 910.1809,
Train Epoch: [1/30] Iters:[850/1875] loss 0.2326, rec_loss 0.0079, p_loss 0.1972, utilization 0.0201, perplexity 920.2930,
Train Epoch: [1/30] Iters:[860/1875] loss 0.2322, rec_loss 0.0079, p_loss 0.1967, utilization 0.0202, perplexity 917.3071,
Train Epoch: [1/30] Iters:[870/1875] loss 0.2314, rec_loss 0.0081, p_loss 0.1954, utilization 0.0202, perplexity 919.4504,
Train Epoch: [1/30] Iters:[880/1875] loss 0.2310, rec_loss 0.0078, p_loss 0.1952, utilization 0.0203, perplexity 916.9274,
Train Epoch: [1/30] Iters:[890/1875] loss 0.2296, rec_loss 0.0079, p_loss 0.1940, utilization 0.0203, perplexity 917.6095,
Train Epoch: [1/30] Iters:[900/1875] loss 0.2287, rec_loss 0.0076, p_loss 0.1935, utilization 0.0204, perplexity 921.7755,
Train Epoch: [1/30] Iters:[910/1875] loss 0.2251, rec_loss 0.0073, p_loss 0.1901, utilization 0.0205, perplexity 928.6225,
Train Epoch: [1/30] Iters:[920/1875] loss 0.2238, rec_loss 0.0069, p_loss 0.1893, utilization 0.0205, perplexity 925.9380,
Train Epoch: [1/30] Iters:[930/1875] loss 0.2223, rec_loss 0.0069, p_loss 0.1876, utilization 0.0206, perplexity 938.6405,
Train Epoch: [1/30] Iters:[940/1875] loss 0.2194, rec_loss 0.0065, p_loss 0.1852, utilization 0.0207, perplexity 943.5845,
Train Epoch: [1/30] Iters:[950/1875] loss 0.2193, rec_loss 0.0066, p_loss 0.1849, utilization 0.0207, perplexity 946.0707,
Train Epoch: [1/30] Iters:[960/1875] loss 0.2214, rec_loss 0.0067, p_loss 0.1867, utilization 0.0208, perplexity 950.4301,
Train Epoch: [1/30] Iters:[970/1875] loss 0.2233, rec_loss 0.0071, p_loss 0.1878, utilization 0.0209, perplexity 960.4357,
Train Epoch: [1/30] Iters:[980/1875] loss 0.2239, rec_loss 0.0070, p_loss 0.1884, utilization 0.0209, perplexity 961.6785,
Train Epoch: [1/30] Iters:[990/1875] loss 0.2249, rec_loss 0.0072, p_loss 0.1891, utilization 0.0210, perplexity 964.2824,
Train Epoch: [1/30] Iters:[1000/1875] loss 0.2257, rec_loss 0.0073, p_loss 0.1896, utilization 0.0211, perplexity 963.6531,
Train Epoch: [1/30] Iters:[1010/1875] loss 0.2239, rec_loss 0.0075, p_loss 0.1876, utilization 0.0211, perplexity 967.9668,
Train Epoch: [1/30] Iters:[1020/1875] loss 0.2199, rec_loss 0.0071, p_loss 0.1842, utilization 0.0212, perplexity 969.4779,
Train Epoch: [1/30] Iters:[1030/1875] loss 0.2192, rec_loss 0.0073, p_loss 0.1831, utilization 0.0212, perplexity 973.8722,
Train Epoch: [1/30] Iters:[1040/1875] loss 0.2183, rec_loss 0.0072, p_loss 0.1819, utilization 0.0213, perplexity 975.7844,
Train Epoch: [1/30] Iters:[1050/1875] loss 0.2155, rec_loss 0.0071, p_loss 0.1795, utilization 0.0213, perplexity 976.6636,
Train Epoch: [1/30] Iters:[1060/1875] loss 0.2148, rec_loss 0.0070, p_loss 0.1787, utilization 0.0214, perplexity 978.5120,
Train Epoch: [1/30] Iters:[1070/1875] loss 0.2170, rec_loss 0.0071, p_loss 0.1804, utilization 0.0214, perplexity 976.0951,
Train Epoch: [1/30] Iters:[1080/1875] loss 0.2157, rec_loss 0.0068, p_loss 0.1796, utilization 0.0214, perplexity 975.1071,
Train Epoch: [1/30] Iters:[1090/1875] loss 0.2153, rec_loss 0.0068, p_loss 0.1797, utilization 0.0215, perplexity 972.7327,
Train Epoch: [1/30] Iters:[1100/1875] loss 0.2172, rec_loss 0.0069, p_loss 0.1812, utilization 0.0215, perplexity 975.6250,
Train Epoch: [1/30] Iters:[1110/1875] loss 0.2173, rec_loss 0.0070, p_loss 0.1816, utilization 0.0216, perplexity 980.7015,
Train Epoch: [1/30] Iters:[1120/1875] loss 0.2148, rec_loss 0.0070, p_loss 0.1795, utilization 0.0216, perplexity 980.1436,
Train Epoch: [1/30] Iters:[1130/1875] loss 0.2155, rec_loss 0.0073, p_loss 0.1799, utilization 0.0217, perplexity 981.6295,
Train Epoch: [1/30] Iters:[1140/1875] loss 0.2145, rec_loss 0.0072, p_loss 0.1786, utilization 0.0218, perplexity 990.9758,
Train Epoch: [1/30] Iters:[1150/1875] loss 0.2116, rec_loss 0.0070, p_loss 0.1759, utilization 0.0218, perplexity 991.2823,
Train Epoch: [1/30] Iters:[1160/1875] loss 0.2122, rec_loss 0.0069, p_loss 0.1766, utilization 0.0218, perplexity 994.4193,
Train Epoch: [1/30] Iters:[1170/1875] loss 0.2121, rec_loss 0.0068, p_loss 0.1766, utilization 0.0219, perplexity 1000.2248,
Train Epoch: [1/30] Iters:[1180/1875] loss 0.2109, rec_loss 0.0064, p_loss 0.1759, utilization 0.0219, perplexity 999.5523,
Train Epoch: [1/30] Iters:[1190/1875] loss 0.2109, rec_loss 0.0065, p_loss 0.1760, utilization 0.0220, perplexity 998.7673,
Train Epoch: [1/30] Iters:[1200/1875] loss 0.2107, rec_loss 0.0066, p_loss 0.1757, utilization 0.0220, perplexity 1004.6537,
Train Epoch: [1/30] Iters:[1210/1875] loss 0.2080, rec_loss 0.0063, p_loss 0.1735, utilization 0.0220, perplexity 1003.3544,
Train Epoch: [1/30] Iters:[1220/1875] loss 0.2070, rec_loss 0.0063, p_loss 0.1723, utilization 0.0221, perplexity 1010.7614,
Train Epoch: [1/30] Iters:[1230/1875] loss 0.2070, rec_loss 0.0064, p_loss 0.1719, utilization 0.0221, perplexity 1021.6101,
Train Epoch: [1/30] Iters:[1240/1875] loss 0.2058, rec_loss 0.0064, p_loss 0.1709, utilization 0.0222, perplexity 1019.6634,
Train Epoch: [1/30] Iters:[1250/1875] loss 0.2063, rec_loss 0.0061, p_loss 0.1715, utilization 0.0222, perplexity 1020.0027,
Train Epoch: [1/30] Iters:[1260/1875] loss 0.2071, rec_loss 0.0062, p_loss 0.1720, utilization 0.0222, perplexity 1019.6567,
Train Epoch: [1/30] Iters:[1270/1875] loss 0.2055, rec_loss 0.0060, p_loss 0.1707, utilization 0.0223, perplexity 1015.5462,
Train Epoch: [1/30] Iters:[1280/1875] loss 0.2059, rec_loss 0.0062, p_loss 0.1707, utilization 0.0223, perplexity 1015.9559,
Train Epoch: [1/30] Iters:[1290/1875] loss 0.2055, rec_loss 0.0059, p_loss 0.1705, utilization 0.0224, perplexity 1021.0451,
Train Epoch: [1/30] Iters:[1300/1875] loss 0.2037, rec_loss 0.0058, p_loss 0.1688, utilization 0.0224, perplexity 1026.0022,
Train Epoch: [1/30] Iters:[1310/1875] loss 0.2032, rec_loss 0.0058, p_loss 0.1684, utilization 0.0225, perplexity 1028.7043,
Train Epoch: [1/30] Iters:[1320/1875] loss 0.2047, rec_loss 0.0059, p_loss 0.1697, utilization 0.0225, perplexity 1034.3770,
Train Epoch: [1/30] Iters:[1330/1875] loss 0.2041, rec_loss 0.0057, p_loss 0.1695, utilization 0.0225, perplexity 1035.5036,
Train Epoch: [1/30] Iters:[1340/1875] loss 0.2043, rec_loss 0.0058, p_loss 0.1695, utilization 0.0226, perplexity 1039.8414,
Train Epoch: [1/30] Iters:[1350/1875] loss 0.2064, rec_loss 0.0060, p_loss 0.1714, utilization 0.0226, perplexity 1033.2467,
Train Epoch: [1/30] Iters:[1360/1875] loss 0.2077, rec_loss 0.0059, p_loss 0.1730, utilization 0.0226, perplexity 1035.3228,
Train Epoch: [1/30] Iters:[1370/1875] loss 0.2079, rec_loss 0.0061, p_loss 0.1734, utilization 0.0227, perplexity 1031.8493,
Train Epoch: [1/30] Iters:[1380/1875] loss 0.2090, rec_loss 0.0064, p_loss 0.1741, utilization 0.0227, perplexity 1031.1844,
