dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: mmd_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5
training_pre: mmd_vq
saver_name_pre: mmd_vq_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 0.3979, rec_loss 0.0180, p_loss 0.3151, utilization 0.0815, perplexity 2112.5326,
Train Epoch: [1/30] Iters:[350/1875] loss 0.3885, rec_loss 0.0169, p_loss 0.3085, utilization 0.0850, perplexity 2249.4780,
Train Epoch: [1/30] Iters:[360/1875] loss 0.3768, rec_loss 0.0159, p_loss 0.2991, utilization 0.0879, perplexity 2412.4415,
Train Epoch: [1/30] Iters:[370/1875] loss 0.3683, rec_loss 0.0153, p_loss 0.2937, utilization 0.0915, perplexity 2603.1391,
Train Epoch: [1/30] Iters:[380/1875] loss 0.3592, rec_loss 0.0146, p_loss 0.2884, utilization 0.0956, perplexity 2796.0599,
Train Epoch: [1/30] Iters:[390/1875] loss 0.3575, rec_loss 0.0144, p_loss 0.2831, utilization 0.0980, perplexity 2904.5591,
Train Epoch: [1/30] Iters:[400/1875] loss 0.3535, rec_loss 0.0145, p_loss 0.2771, utilization 0.1016, perplexity 3078.2972,
Train Epoch: [1/30] Iters:[410/1875] loss 0.3520, rec_loss 0.0146, p_loss 0.2743, utilization 0.1044, perplexity 3179.6587,
Train Epoch: [1/30] Iters:[420/1875] loss 0.3501, rec_loss 0.0144, p_loss 0.2716, utilization 0.1068, perplexity 3294.8934,
Train Epoch: [1/30] Iters:[430/1875] loss 0.3529, rec_loss 0.0147, p_loss 0.2726, utilization 0.1093, perplexity 3399.6839,
Train Epoch: [1/30] Iters:[440/1875] loss 0.3455, rec_loss 0.0147, p_loss 0.2669, utilization 0.1123, perplexity 3579.4772,
Train Epoch: [1/30] Iters:[450/1875] loss 0.3461, rec_loss 0.0143, p_loss 0.2677, utilization 0.1138, perplexity 3629.5546,
Train Epoch: [1/30] Iters:[460/1875] loss 0.3391, rec_loss 0.0136, p_loss 0.2616, utilization 0.1171, perplexity 3806.5945,
Train Epoch: [1/30] Iters:[470/1875] loss 0.3365, rec_loss 0.0132, p_loss 0.2582, utilization 0.1200, perplexity 3958.3741,
Train Epoch: [1/30] Iters:[480/1875] loss 0.3264, rec_loss 0.0124, p_loss 0.2488, utilization 0.1224, perplexity 4114.8850,
Train Epoch: [1/30] Iters:[490/1875] loss 0.3254, rec_loss 0.0120, p_loss 0.2481, utilization 0.1254, perplexity 4288.5599,
Train Epoch: [1/30] Iters:[500/1875] loss 0.3160, rec_loss 0.0115, p_loss 0.2402, utilization 0.1284, perplexity 4515.6654,
Train Epoch: [1/30] Iters:[510/1875] loss 0.3130, rec_loss 0.0112, p_loss 0.2360, utilization 0.1304, perplexity 4679.9181,
Train Epoch: [1/30] Iters:[520/1875] loss 0.3098, rec_loss 0.0110, p_loss 0.2330, utilization 0.1336, perplexity 4883.2991,
Train Epoch: [1/30] Iters:[530/1875] loss 0.3101, rec_loss 0.0112, p_loss 0.2340, utilization 0.1368, perplexity 5036.7903,
Train Epoch: [1/30] Iters:[540/1875] loss 0.3070, rec_loss 0.0114, p_loss 0.2311, utilization 0.1382, perplexity 5088.7934,
Train Epoch: [1/30] Iters:[550/1875] loss 0.3082, rec_loss 0.0114, p_loss 0.2313, utilization 0.1389, perplexity 5122.1796,
Train Epoch: [1/30] Iters:[560/1875] loss 0.3063, rec_loss 0.0113, p_loss 0.2305, utilization 0.1411, perplexity 5228.2205,
Train Epoch: [1/30] Iters:[570/1875] loss 0.3033, rec_loss 0.0112, p_loss 0.2267, utilization 0.1427, perplexity 5287.7103,
Train Epoch: [1/30] Iters:[580/1875] loss 0.3036, rec_loss 0.0110, p_loss 0.2243, utilization 0.1440, perplexity 5364.0955,
Train Epoch: [1/30] Iters:[590/1875] loss 0.3044, rec_loss 0.0107, p_loss 0.2241, utilization 0.1470, perplexity 5563.8564,
Train Epoch: [1/30] Iters:[600/1875] loss 0.2978, rec_loss 0.0102, p_loss 0.2183, utilization 0.1515, perplexity 5810.3106,
Train Epoch: [1/30] Iters:[610/1875] loss 0.2994, rec_loss 0.0102, p_loss 0.2187, utilization 0.1546, perplexity 5961.9549,
Train Epoch: [1/30] Iters:[620/1875] loss 0.3028, rec_loss 0.0102, p_loss 0.2233, utilization 0.1566, perplexity 6123.5258,
Train Epoch: [1/30] Iters:[630/1875] loss 0.3013, rec_loss 0.0102, p_loss 0.2241, utilization 0.1599, perplexity 6373.3410,
Train Epoch: [1/30] Iters:[640/1875] loss 0.2988, rec_loss 0.0100, p_loss 0.2223, utilization 0.1610, perplexity 6385.4021,
Train Epoch: [1/30] Iters:[650/1875] loss 0.2983, rec_loss 0.0101, p_loss 0.2215, utilization 0.1621, perplexity 6443.9944,
Train Epoch: [1/30] Iters:[660/1875] loss 0.2951, rec_loss 0.0099, p_loss 0.2170, utilization 0.1642, perplexity 6609.5578,
Train Epoch: [1/30] Iters:[670/1875] loss 0.2907, rec_loss 0.0095, p_loss 0.2123, utilization 0.1669, perplexity 6743.7178,
Train Epoch: [1/30] Iters:[680/1875] loss 0.2877, rec_loss 0.0092, p_loss 0.2076, utilization 0.1690, perplexity 6875.0033,
Train Epoch: [1/30] Iters:[690/1875] loss 0.2875, rec_loss 0.0090, p_loss 0.2064, utilization 0.1722, perplexity 7119.6846,
Train Epoch: [1/30] Iters:[700/1875] loss 0.2888, rec_loss 0.0089, p_loss 0.2077, utilization 0.1750, perplexity 7213.0073,
Train Epoch: [1/30] Iters:[710/1875] loss 0.2883, rec_loss 0.0089, p_loss 0.2077, utilization 0.1756, perplexity 7199.7440,
Train Epoch: [1/30] Iters:[720/1875] loss 0.2862, rec_loss 0.0089, p_loss 0.2039, utilization 0.1760, perplexity 7220.9387,
Train Epoch: [1/30] Iters:[730/1875] loss 0.2851, rec_loss 0.0089, p_loss 0.2027, utilization 0.1777, perplexity 7253.3523,
Train Epoch: [1/30] Iters:[740/1875] loss 0.2819, rec_loss 0.0087, p_loss 0.1998, utilization 0.1790, perplexity 7281.1536,
Train Epoch: [1/30] Iters:[750/1875] loss 0.2846, rec_loss 0.0087, p_loss 0.2008, utilization 0.1800, perplexity 7355.1867,
Train Epoch: [1/30] Iters:[760/1875] loss 0.2859, rec_loss 0.0089, p_loss 0.2019, utilization 0.1825, perplexity 7526.8732,
Train Epoch: [1/30] Iters:[770/1875] loss 0.2835, rec_loss 0.0088, p_loss 0.2012, utilization 0.1855, perplexity 7638.2716,
Train Epoch: [1/30] Iters:[780/1875] loss 0.2823, rec_loss 0.0082, p_loss 0.1990, utilization 0.1864, perplexity 7705.1964,
Train Epoch: [1/30] Iters:[790/1875] loss 0.2815, rec_loss 0.0082, p_loss 0.1973, utilization 0.1877, perplexity 7782.2776,
Train Epoch: [1/30] Iters:[800/1875] loss 0.2752, rec_loss 0.0078, p_loss 0.1912, utilization 0.1897, perplexity 7953.3377,
Train Epoch: [1/30] Iters:[810/1875] loss 0.2730, rec_loss 0.0074, p_loss 0.1880, utilization 0.1913, perplexity 8015.0052,
Train Epoch: [1/30] Iters:[820/1875] loss 0.2716, rec_loss 0.0072, p_loss 0.1853, utilization 0.1928, perplexity 8181.9237,
Train Epoch: [1/30] Iters:[830/1875] loss 0.2689, rec_loss 0.0072, p_loss 0.1830, utilization 0.1944, perplexity 8262.1215,
Train Epoch: [1/30] Iters:[840/1875] loss 0.2702, rec_loss 0.0073, p_loss 0.1836, utilization 0.1962, perplexity 8348.3184,
