dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: lfq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0
training_pre: lfq
saver_name_pre: lfq_CelebAHQ_model_16_2_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[340/1875] loss 0.5463, rec_loss 0.0203, p_loss 0.3819, utilization 0.0086, perplexity 37.5576,
Train Epoch: [1/30] Iters:[350/1875] loss 0.5446, rec_loss 0.0200, p_loss 0.3799, utilization 0.0088, perplexity 38.6561,
Train Epoch: [1/30] Iters:[360/1875] loss 0.5381, rec_loss 0.0193, p_loss 0.3736, utilization 0.0089, perplexity 39.7298,
Train Epoch: [1/30] Iters:[370/1875] loss 0.5409, rec_loss 0.0190, p_loss 0.3753, utilization 0.0090, perplexity 40.2445,
Train Epoch: [1/30] Iters:[380/1875] loss 0.5386, rec_loss 0.0188, p_loss 0.3730, utilization 0.0091, perplexity 40.6917,
Train Epoch: [1/30] Iters:[390/1875] loss 0.5398, rec_loss 0.0190, p_loss 0.3717, utilization 0.0093, perplexity 42.2196,
Train Epoch: [1/30] Iters:[400/1875] loss 0.5382, rec_loss 0.0189, p_loss 0.3692, utilization 0.0094, perplexity 42.8972,
Train Epoch: [1/30] Iters:[410/1875] loss 0.5425, rec_loss 0.0190, p_loss 0.3727, utilization 0.0096, perplexity 43.7305,
Train Epoch: [1/30] Iters:[420/1875] loss 0.5413, rec_loss 0.0192, p_loss 0.3712, utilization 0.0099, perplexity 45.0415,
Train Epoch: [1/30] Iters:[430/1875] loss 0.5439, rec_loss 0.0196, p_loss 0.3728, utilization 0.0100, perplexity 45.8661,
Train Epoch: [1/30] Iters:[440/1875] loss 0.5369, rec_loss 0.0192, p_loss 0.3676, utilization 0.0099, perplexity 46.1034,
Train Epoch: [1/30] Iters:[450/1875] loss 0.5332, rec_loss 0.0190, p_loss 0.3637, utilization 0.0100, perplexity 46.6505,
Train Epoch: [1/30] Iters:[460/1875] loss 0.5248, rec_loss 0.0189, p_loss 0.3553, utilization 0.0101, perplexity 47.5160,
Train Epoch: [1/30] Iters:[470/1875] loss 0.5201, rec_loss 0.0183, p_loss 0.3494, utilization 0.0101, perplexity 48.0140,
Train Epoch: [1/30] Iters:[480/1875] loss 0.5111, rec_loss 0.0175, p_loss 0.3403, utilization 0.0102, perplexity 48.9317,
Train Epoch: [1/30] Iters:[490/1875] loss 0.5103, rec_loss 0.0172, p_loss 0.3380, utilization 0.0105, perplexity 49.9434,
Train Epoch: [1/30] Iters:[500/1875] loss 0.5048, rec_loss 0.0167, p_loss 0.3332, utilization 0.0107, perplexity 50.6373,
Train Epoch: [1/30] Iters:[510/1875] loss 0.5039, rec_loss 0.0165, p_loss 0.3312, utilization 0.0109, perplexity 51.6960,
Train Epoch: [1/30] Iters:[520/1875] loss 0.5015, rec_loss 0.0164, p_loss 0.3293, utilization 0.0111, perplexity 53.1945,
Train Epoch: [1/30] Iters:[530/1875] loss 0.5006, rec_loss 0.0159, p_loss 0.3283, utilization 0.0113, perplexity 53.8469,
Train Epoch: [1/30] Iters:[540/1875] loss 0.4983, rec_loss 0.0155, p_loss 0.3273, utilization 0.0113, perplexity 53.7431,
Train Epoch: [1/30] Iters:[550/1875] loss 0.4994, rec_loss 0.0155, p_loss 0.3266, utilization 0.0114, perplexity 55.6825,
Train Epoch: [1/30] Iters:[560/1875] loss 0.4955, rec_loss 0.0151, p_loss 0.3231, utilization 0.0114, perplexity 55.9915,
