Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.0659, rec_loss 0.0246, lpips_loss 0.1826, g_loss -0.0494, disc_weight 0.4000, disc_adaptive_weight 2.8540, d_loss 0.7119, logits_real 0.0375, logits_fake 0.0499,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.0770, rec_loss 0.0241, lpips_loss 0.1804, g_loss -0.0456, disc_weight 0.4000, disc_adaptive_weight 2.7887, d_loss 0.6929, logits_real 0.0362, logits_fake 0.0455,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.0888, rec_loss 0.0241, lpips_loss 0.1800, g_loss -0.0420, disc_weight 0.4000, disc_adaptive_weight 2.7770, d_loss 0.6767, logits_real 0.0345, logits_fake 0.0424,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.0945, rec_loss 0.0240, lpips_loss 0.1794, g_loss -0.0387, disc_weight 0.4000, disc_adaptive_weight 2.8235, d_loss 0.6614, logits_real 0.0323, logits_fake 0.0391,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.1073, rec_loss 0.0238, lpips_loss 0.1779, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 2.6276, d_loss 0.6485, logits_real 0.0307, logits_fake 0.0367,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.1163, rec_loss 0.0237, lpips_loss 0.1772, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 2.4906, d_loss 0.6362, logits_real 0.0291, logits_fake 0.0343,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.1246, rec_loss 0.0236, lpips_loss 0.1775, g_loss -0.0311, disc_weight 0.4000, disc_adaptive_weight 2.4345, d_loss 0.6249, logits_real 0.0273, logits_fake 0.0319,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.1352, rec_loss 0.0242, lpips_loss 0.1781, g_loss -0.0285, disc_weight 0.4000, disc_adaptive_weight 2.3721, d_loss 0.6155, logits_real 0.0252, logits_fake 0.0291,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.1397, rec_loss 0.0239, lpips_loss 0.1776, g_loss -0.0262, disc_weight 0.4000, disc_adaptive_weight 2.4176, d_loss 0.6072, logits_real 0.0234, logits_fake 0.0268,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.1396, rec_loss 0.0239, lpips_loss 0.1789, g_loss -0.0242, disc_weight 0.4000, disc_adaptive_weight 2.6764, d_loss 0.5994, logits_real 0.0216, logits_fake 0.0246,
